seq_id,CTDC_Hydrophobicity_G1,CTDC_Hydrophobicity_G2,CTDC_Hydrophobicity_G3,CTDC_VanDerWaals_G1,CTDC_VanDerWaals_G2,CTDC_VanDerWaals_G3,CTDC_Polarity_G1,CTDC_Polarity_G2,CTDC_Polarity_G3,CTDC_Polarizability_G1,CTDC_Polarizability_G2,CTDC_Polarizability_G3,CTDC_Charge_G1,CTDC_Charge_G2,CTDC_Charge_G3,CTDC_SecondaryStructure_G1,CTDC_SecondaryStructure_G2,CTDC_SecondaryStructure_G3,CTDC_SolventAccessibility_G1,CTDC_SolventAccessibility_G2,CTDC_SolventAccessibility_G3,label
pos_0,0.166667,0.333333,0.5,0.416667,0.416667,0.166667,0.5,0.333333,0.166667,0.333333,0.5,0.166667,0.083333,0.833333,0.083333,0.25,0.416667,0.333333,0.583333,0.166667,0.25,1
pos_1,0.266667,0.6,0.133333,0.6,0.2,0.2,0.2,0.533333,0.266667,0.533333,0.266667,0.2,0.133333,0.733333,0.133333,0.333333,0.2,0.466667,0.533333,0.266667,0.2,1
pos_2,0.222222,0.5,0.277778,0.444444,0.388889,0.166667,0.333333,0.388889,0.277778,0.444444,0.388889,0.166667,0.055556,0.777778,0.166667,0.611111,0.166667,0.222222,0.5,0.222222,0.277778,1
pos_3,0.333333,0.259259,0.407407,0.185185,0.37037,0.444444,0.518519,0.148148,0.333333,0.148148,0.407407,0.444444,0.148148,0.740741,0.111111,0.296296,0.481481,0.222222,0.407407,0.333333,0.259259,1
pos_4,0.375,0.21875,0.40625,0.25,0.34375,0.40625,0.40625,0.1875,0.40625,0.21875,0.375,0.40625,0.21875,0.71875,0.0625,0.4375,0.40625,0.15625,0.375,0.375,0.25,1
pos_5,0.35,0.35,0.3,0.35,0.3,0.35,0.35,0.25,0.4,0.35,0.3,0.35,0.15,0.7,0.15,0.5,0.25,0.25,0.45,0.35,0.2,1
pos_6,0.133333,0.6,0.266667,0.466667,0.133333,0.4,0.466667,0.4,0.133333,0.466667,0.133333,0.4,0.066667,0.866667,0.066667,0.133333,0.6,0.266667,0.266667,0.133333,0.6,1
pos_7,0.791667,0.125,0.083333,0.208333,0.416667,0.375,0.083333,0.125,0.791667,0.208333,0.416667,0.375,0.375,0.375,0.25,0.875,0.041667,0.083333,0.166667,0.791667,0.041667,1
pos_8,0.125,0.5,0.375,0.5625,0.375,0.0625,0.375,0.5,0.125,0.5,0.4375,0.0625,0.0,0.875,0.125,0.4375,0.1875,0.375,0.6875,0.125,0.1875,1
pos_9,0.533333,0.066667,0.4,0.133333,0.4,0.466667,0.4,0.066667,0.533333,0.133333,0.4,0.466667,0.333333,0.533333,0.133333,0.466667,0.4,0.133333,0.466667,0.533333,0.0,1
pos_10,0.533333,0.266667,0.2,0.466667,0.2,0.333333,0.2,0.266667,0.533333,0.466667,0.2,0.333333,0.2,0.533333,0.266667,0.666667,0.066667,0.266667,0.266667,0.533333,0.2,1
pos_11,0.470588,0.294118,0.235294,0.294118,0.294118,0.411765,0.235294,0.176471,0.588235,0.235294,0.352941,0.411765,0.235294,0.529412,0.235294,0.764706,0.058824,0.176471,0.294118,0.470588,0.235294,1
pos_12,0.2,0.4,0.4,0.35,0.4,0.25,0.45,0.35,0.2,0.3,0.45,0.25,0.1,0.85,0.05,0.4,0.35,0.25,0.6,0.2,0.2,1
pos_13,0.454545,0.409091,0.136364,0.363636,0.409091,0.227273,0.136364,0.318182,0.545455,0.227273,0.545455,0.227273,0.136364,0.681818,0.181818,0.454545,0.136364,0.409091,0.136364,0.454545,0.409091,1
pos_14,0.1875,0.375,0.4375,0.375,0.3125,0.3125,0.5,0.3125,0.1875,0.375,0.3125,0.3125,0.0,0.875,0.125,0.25,0.375,0.375,0.625,0.1875,0.1875,1
pos_15,0.333333,0.380952,0.285714,0.47619,0.238095,0.285714,0.285714,0.380952,0.333333,0.380952,0.333333,0.285714,0.238095,0.714286,0.047619,0.380952,0.238095,0.380952,0.333333,0.333333,0.333333,1
pos_16,0.285714,0.47619,0.238095,0.285714,0.190476,0.52381,0.380952,0.285714,0.333333,0.238095,0.238095,0.52381,0.238095,0.714286,0.047619,0.428571,0.333333,0.238095,0.333333,0.285714,0.380952,1
pos_17,0.166667,0.444444,0.388889,0.5,0.333333,0.166667,0.444444,0.333333,0.222222,0.388889,0.444444,0.166667,0.055556,0.833333,0.111111,0.277778,0.388889,0.333333,0.5,0.166667,0.333333,1
pos_18,0.35,0.55,0.1,0.5,0.3,0.2,0.1,0.5,0.4,0.4,0.4,0.2,0.1,0.85,0.05,0.45,0.1,0.45,0.15,0.35,0.5,1
pos_19,0.533333,0.133333,0.333333,0.133333,0.666667,0.2,0.4,0.066667,0.533333,0.133333,0.666667,0.2,0.133333,0.6,0.266667,0.533333,0.266667,0.2,0.333333,0.533333,0.133333,1
pos_20,0.272727,0.454545,0.272727,0.393939,0.272727,0.333333,0.333333,0.393939,0.272727,0.333333,0.333333,0.333333,0.151515,0.818182,0.030303,0.393939,0.30303,0.30303,0.454545,0.272727,0.272727,1
pos_21,0.35,0.4,0.25,0.45,0.25,0.3,0.25,0.35,0.4,0.3,0.4,0.3,0.1,0.7,0.2,0.55,0.2,0.25,0.3,0.35,0.35,1
pos_22,0.322581,0.322581,0.354839,0.290323,0.419355,0.290323,0.387097,0.290323,0.322581,0.290323,0.419355,0.290323,0.16129,0.741935,0.096774,0.548387,0.193548,0.258065,0.483871,0.322581,0.193548,1
pos_23,0.333333,0.333333,0.333333,0.4,0.333333,0.266667,0.333333,0.333333,0.333333,0.4,0.333333,0.266667,0.133333,0.733333,0.133333,0.4,0.266667,0.333333,0.6,0.333333,0.066667,1
pos_24,0.2,0.4,0.4,0.266667,0.4,0.333333,0.466667,0.266667,0.266667,0.2,0.466667,0.333333,0.133333,0.866667,0.0,0.333333,0.466667,0.2,0.466667,0.2,0.333333,1
pos_25,0.071429,0.642857,0.285714,0.428571,0.285714,0.285714,0.5,0.428571,0.071429,0.285714,0.428571,0.285714,0.0,1.0,0.0,0.5,0.357143,0.142857,0.571429,0.071429,0.357143,1
pos_26,0.2,0.6,0.2,0.533333,0.266667,0.2,0.266667,0.466667,0.266667,0.266667,0.533333,0.2,0.066667,0.866667,0.066667,0.4,0.133333,0.466667,0.4,0.2,0.4,1
pos_27,0.25,0.4,0.35,0.55,0.3,0.15,0.35,0.4,0.25,0.35,0.5,0.15,0.1,0.75,0.15,0.3,0.45,0.25,0.45,0.25,0.3,1
