seq_id,CTDT_Hydrophobicity_G1G2,CTDT_Hydrophobicity_G1G3,CTDT_Hydrophobicity_G2G3,CTDT_VanDerWaals_G1G2,CTDT_VanDerWaals_G1G3,CTDT_VanDerWaals_G2G3,CTDT_Polarity_G1G2,CTDT_Polarity_G1G3,CTDT_Polarity_G2G3,CTDT_Polarizability_G1G2,CTDT_Polarizability_G1G3,CTDT_Polarizability_G2G3,CTDT_Charge_G1G2,CTDT_Charge_G1G3,CTDT_Charge_G2G3,CTDT_SecondaryStructure_G1G2,CTDT_SecondaryStructure_G1G3,CTDT_SecondaryStructure_G2G3,CTDT_SolventAccessibility_G1G2,CTDT_SolventAccessibility_G1G3,CTDT_SolventAccessibility_G2G3,label
pos_0,0.090909,0.272727,0.181818,0.363636,0.090909,0.181818,0.181818,0.272727,0.090909,0.363636,0.0,0.272727,0.181818,0.0,0.181818,0.272727,0.272727,0.181818,0.272727,0.181818,0.090909,1
pos_1,0.357143,0.214286,0.071429,0.071429,0.214286,0.071429,0.142857,0.285714,0.285714,0.214286,0.214286,0.071429,0.285714,0.0,0.285714,0.357143,0.285714,0.071429,0.428571,0.285714,0.142857,1
pos_2,0.352941,0.117647,0.235294,0.352941,0.235294,0.117647,0.235294,0.117647,0.470588,0.352941,0.235294,0.117647,0.117647,0.0,0.352941,0.294118,0.235294,0.058824,0.294118,0.176471,0.176471,1
pos_3,0.153846,0.192308,0.307692,0.192308,0.115385,0.423077,0.192308,0.307692,0.038462,0.115385,0.115385,0.423077,0.115385,0.0,0.230769,0.230769,0.115385,0.269231,0.192308,0.307692,0.153846,1
pos_4,0.129032,0.322581,0.129032,0.16129,0.225806,0.258065,0.096774,0.354839,0.16129,0.16129,0.16129,0.322581,0.290323,0.032258,0.096774,0.354839,0.129032,0.193548,0.322581,0.16129,0.129032,1
pos_5,0.315789,0.105263,0.210526,0.263158,0.263158,0.263158,0.210526,0.210526,0.210526,0.263158,0.263158,0.263158,0.105263,0.105263,0.210526,0.263158,0.157895,0.157895,0.315789,0.210526,0.105263,1
pos_6,0.142857,0.071429,0.5,0.071429,0.428571,0.214286,0.428571,0.071429,0.142857,0.071429,0.428571,0.214286,0.142857,0.0,0.071429,0.142857,0.0,0.357143,0.071429,0.5,0.142857,1
pos_7,0.26087,0.173913,0.0,0.043478,0.217391,0.26087,0.0,0.173913,0.26087,0.043478,0.217391,0.26087,0.304348,0.173913,0.304348,0.043478,0.130435,0.043478,0.347826,0.0,0.086957,1
pos_8,0.0,0.133333,0.533333,0.6,0.066667,0.066667,0.533333,0.133333,0.0,0.666667,0.0,0.133333,0.0,0.0,0.133333,0.133333,0.6,0.2,0.133333,0.4,0.0,1
pos_9,0.071429,0.5,0.071429,0.071429,0.214286,0.428571,0.071429,0.5,0.071429,0.071429,0.214286,0.428571,0.428571,0.142857,0.142857,0.428571,0.142857,0.142857,0.571429,0.0,0.0,1
pos_10,0.285714,0.285714,0.142857,0.142857,0.428571,0.142857,0.142857,0.285714,0.285714,0.142857,0.428571,0.142857,0.214286,0.214286,0.357143,0.0,0.357143,0.071429,0.357143,0.142857,0.214286,1
pos_11,0.3125,0.25,0.1875,0.25,0.1875,0.3125,0.0625,0.375,0.3125,0.3125,0.125,0.375,0.3125,0.0625,0.25,0.0,0.125,0.0625,0.375,0.0625,0.1875,1
pos_12,0.157895,0.052632,0.263158,0.157895,0.263158,0.157895,0.315789,0.105263,0.105263,0.105263,0.210526,0.210526,0.157895,0.052632,0.052632,0.263158,0.210526,0.105263,0.052632,0.263158,0.157895,1
pos_13,0.238095,0.142857,0.142857,0.333333,0.142857,0.238095,0.095238,0.190476,0.285714,0.285714,0.047619,0.333333,0.190476,0.095238,0.190476,0.142857,0.238095,0.142857,0.142857,0.142857,0.238095,1
pos_14,0.066667,0.2,0.533333,0.4,0.2,0.266667,0.4,0.2,0.066667,0.4,0.2,0.266667,0.0,0.0,0.133333,0.133333,0.2,0.333333,0.2,0.2,0.066667,1
pos_15,0.3,0.05,0.3,0.35,0.25,0.0,0.3,0.05,0.3,0.35,0.25,0.0,0.15,0.0,0.1,0.15,0.3,0.1,0.1,0.25,0.25,1
pos_16,0.35,0.1,0.2,0.0,0.5,0.3,0.2,0.25,0.3,0.0,0.4,0.4,0.35,0.0,0.1,0.35,0.3,0.1,0.2,0.3,0.25,1
pos_17,0.235294,0.117647,0.352941,0.294118,0.117647,0.117647,0.235294,0.117647,0.235294,0.235294,0.117647,0.117647,0.117647,0.0,0.235294,0.235294,0.117647,0.235294,0.176471,0.411765,0.176471,1
pos_18,0.473684,0.0,0.105263,0.421053,0.157895,0.157895,0.052632,0.052632,0.526316,0.473684,0.105263,0.210526,0.157895,0.052632,0.052632,0.052632,0.526316,0.052632,0.052632,0.157895,0.421053,1
pos_19,0.214286,0.357143,0.071429,0.214286,0.071429,0.357143,0.071429,0.5,0.071429,0.214286,0.071429,0.357143,0.142857,0.142857,0.428571,0.285714,0.214286,0.071429,0.357143,0.071429,0.214286,1
