seq_id,GAAC_Aliphatic,GAAC_Aromatic,GAAC_Positive,GAAC_Negative,GAAC_Uncharged,label
pos_0,0.5,0.083333,0.083333,0.083333,0.25,1
pos_1,0.533333,0.066667,0.133333,0.133333,0.133333,1
pos_2,0.5,0.055556,0.111111,0.166667,0.166667,1
pos_3,0.222222,0.296296,0.148148,0.111111,0.222222,1
pos_4,0.28125,0.125,0.25,0.0625,0.28125,1
pos_5,0.45,0.1,0.2,0.15,0.1,1
pos_6,0.133333,0.333333,0.066667,0.066667,0.4,1
pos_7,0.166667,0.0,0.375,0.25,0.208333,1
pos_8,0.625,0.0625,0.0,0.125,0.1875,1
pos_9,0.333333,0.133333,0.333333,0.133333,0.066667,1
pos_10,0.4,0.0,0.2,0.266667,0.133333,1
pos_11,0.352941,0.0,0.352941,0.235294,0.058824,1
pos_12,0.6,0.1,0.1,0.05,0.15,1
pos_13,0.136364,0.0,0.227273,0.181818,0.454545,1
pos_14,0.375,0.3125,0.0,0.125,0.1875,1
pos_15,0.333333,0.0,0.238095,0.047619,0.380952,1
pos_16,0.333333,0.190476,0.285714,0.047619,0.142857,1
pos_17,0.444444,0.055556,0.111111,0.111111,0.277778,1
pos_18,0.1,0.05,0.15,0.05,0.65,1
pos_19,0.333333,0.066667,0.133333,0.266667,0.2,1
pos_20,0.454545,0.121212,0.151515,0.030303,0.242424,1
pos_21,0.25,0.1,0.15,0.2,0.3,1
pos_22,0.516129,0.064516,0.16129,0.096774,0.16129,1
pos_23,0.466667,0.133333,0.133333,0.133333,0.133333,1
pos_24,0.4,0.133333,0.2,0.0,0.266667,1
pos_25,0.5,0.285714,0.0,0.0,0.214286,1
pos_26,0.333333,0.066667,0.133333,0.066667,0.4,1
pos_27,0.25,0.05,0.1,0.15,0.45,1
pos_28,0.307692,0.076923,0.153846,0.115385,0.346154,1
pos_29,0.6,0.1,0.05,0.0,0.25,1
pos_30,0.388889,0.111111,0.0,0.222222,0.277778,1
pos_31,0.52381,0.095238,0.142857,0.0,0.238095,1
pos_32,0.533333,0.133333,0.2,0.066667,0.066667,1
pos_33,0.466667,0.066667,0.333333,0.066667,0.066667,1
pos_34,0.263158,0.157895,0.263158,0.0,0.315789,1
pos_35,0.25,0.0,0.2,0.05,0.5,1
pos_36,0.35,0.0,0.1,0.15,0.4,1
pos_37,0.266667,0.2,0.066667,0.2,0.266667,1
pos_38,0.6,0.0,0.066667,0.0,0.333333,1
