Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Best_Iter,Train_N,Test_N,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature,param_border_count,param_grow_policy,param_min_data_in_leaf,param_leaf_estimation_method,param_class_weights
0.7991,0.6844,0.8756,0.7317,0.5759,0.8192,180,345,49,83,AAC,20,0.8348,3,38,1533,657,460,4,0.10568529720322861,0.017654048052495083,0.0001587377469278184,0.5467102793432796,73,SymmetricTree,45,Gradient,"[1.0, 1.0687770422304368]"
0.8143,0.711,0.8832,0.754,0.6086,0.8468,187,348,46,76,DPC,400,0.8308,95,79,1533,657,174,10,0.08638040321240022,0.0023285851012169244,1.2171869052454277e-07,0.16127422374579395,166,Depthwise,5,Gradient,"[1.0, 1.0381439942441921]"
0.7854,0.7529,0.8071,0.7374,0.5564,0.8186,198,318,76,65,CTDC,21,0.8199,41,119,1533,657,413,3,0.12806101977813106,0.0745821075966061,2.5772748495303843,0.3447787612535067,85,SymmetricTree,26,Newton,"[1.0, 1.6903539123373768]"
0.8021,0.6806,0.8832,0.7336,0.5822,0.8264,179,348,46,84,CTDT,21,0.8142,53,84,1533,657,115,4,0.09747050921020066,0.3362041549304674,3.642359574162268e-07,0.6836004951205308,53,SymmetricTree,12,Newton,"[1.0, 1.0010214109598994]"
0.796,0.6578,0.8883,0.7208,0.5689,0.8139,173,350,44,90,GAAC,5,0.8162,93,15,1533,657,235,4,0.21534071693761292,4.353591443776849,0.0531678993028823,0.2906200771831112,156,SymmetricTree,20,Gradient,"[1.0, 1.161682654180023]"
0.7382,0.5741,0.8477,0.6371,0.4427,0.7899,151,334,60,112,PAAC,23,0.7891,92,101,1533,657,102,10,0.030218881829551188,0.009834778968289054,0.10295868973575906,0.8856289040797893,46,Lossguide,37,Gradient,"[1.0, 1.0686116805232082]"
0.6393,0.3042,0.8629,0.403,0.2032,0.6496,80,340,54,183,ProtBERT,1024,0.6562,69,59,1533,657,296,8,0.03167549781951881,0.008216597003298977,2.833707282237226e-07,0.7253055378919553,65,Lossguide,18,Gradient,"[1.0, 1.084533729039412]"
0.7002,0.4487,0.868,0.545,0.3543,0.7237,118,342,52,145,ProtT5,1024,0.7433,37,151,1533,657,154,8,0.043195842269144254,0.9005252361832015,0.04588589982279741,0.18862780889467995,238,Depthwise,8,Newton,"[1.0, 1.4503568752307712]"
0.6712,0.5741,0.736,0.583,0.3119,0.6843,151,290,104,112,ESM2,1280,0.7249,44,20,1533,657,282,9,0.06713352572053626,0.12408558756947143,3.9672425296454935e-09,0.8594047215512983,79,Lossguide,46,Gradient,"[1.0, 1.6738526410995114]"
0.7078,0.5513,0.8122,0.6017,0.3778,0.7356,145,320,74,118,BioBERT,768,0.7577,71,83,1533,657,187,9,0.06543411733326643,0.02997540216078765,1.1183148677914257e-05,0.08741570747715358,59,Lossguide,45,Gradient,"[1.0, 1.310059067624485]"
0.6408,0.616,0.6574,0.5786,0.2691,0.6859,162,259,135,101,ESMC,1152,0.722,64,16,1533,657,115,3,0.24298863676482868,2.5461597956598268,1.8079211304160693e-05,0.4160678332684129,245,Depthwise,32,Gradient,"[1.0, 1.6832446427651742]"
