Rank,Dataset,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,AAC,0.691,0.6122,0.7437,0.6133,0.356,0.6779,20
2,DPC,0.6758,0.6692,0.6802,0.623,0.3435,0.6747,400
3,PAAC,0.6728,0.6312,0.7005,0.6069,0.328,0.6658,23
4,GAAC,0.6788,0.5817,0.7437,0.5919,0.3274,0.6597,5
5,CTDC,0.6575,0.5932,0.7005,0.581,0.2918,0.6468,21
6,CTDT,0.6575,0.5856,0.7056,0.5779,0.2899,0.6456,21
7,ProtT5,0.6043,0.4487,0.7081,0.4758,0.1606,0.5784,1024
8,ESMC,0.5753,0.4753,0.6421,0.4726,0.1172,0.5587,1152
9,BioBERT,0.5677,0.4601,0.6396,0.4601,0.0997,0.5498,768
10,ESM2,0.5571,0.4563,0.6244,0.452,0.0804,0.5403,1280
11,ProtBERT,0.5464,0.4943,0.5812,0.4659,0.0744,0.5378,1024
