y_true,y_pred,prob_positive,prob_negative
0,0,0.3334541500543675,0.6665458499456325
1,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
1,0,0.0,1.0
0,0,0.33345415005436746,0.6665458499456325
0,1,1.0,0.0
0,1,1.0,0.0
1,0,0.0,1.0
1,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
0,1,0.6001304631441617,0.39986953685583826
1,0,0.0,1.0
1,0,0.4287045666356011,0.5712954333643989
1,1,1.0,0.0
0,1,0.6001304631441617,0.39986953685583826
0,0,0.4287045666356011,0.5712954333643989
1,0,0.33345415005436746,0.6665458499456325
0,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,1,1.0,0.0
1,1,1.0,0.0
0,1,1.0,0.0
1,0,0.3334541500543675,0.6665458499456325
0,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
0,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.4287045666356011,0.5712954333643989
0,1,1.0,0.0
1,1,1.0,0.0
0,1,1.0,0.0
0,0,0.3334541500543675,0.6665458499456325
0,0,0.33345415005436746,0.6665458499456325
0,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
1,1,1.0,0.0
1,1,1.0,0.0
0,1,1.0,0.0
1,0,0.0,1.0
0,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,1,1.0,0.0
1,1,1.0,0.0
0,1,0.5001359064963306,0.49986409350366945
1,1,1.0,0.0
1,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.4287045666356011,0.5712954333643989
0,0,0.23086574654956085,0.7691342534504392
1,0,0.0,1.0
0,0,0.4287045666356011,0.5712954333643989
1,1,1.0,0.0
1,0,0.0,1.0
1,1,0.5001359064963306,0.49986409350366945
1,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.42870456663560114,0.5712954333643989
1,1,1.0,0.0
1,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,1,0.5001359064963306,0.49986409350366945
1,0,0.0,1.0
0,0,0.0,1.0
0,0,0.23086574654956085,0.7691342534504392
0,0,0.0,1.0
0,0,0.4287045666356011,0.5712954333643989
0,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.3334541500543675,0.6665458499456325
1,1,1.0,0.0
0,1,1.0,0.0
1,1,1.0,0.0
1,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.37512742099898067,0.6248725790010193
0,0,0.0,1.0
0,1,0.6001304631441617,0.39986953685583826
1,0,0.0,1.0
