Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_max_depth,param_criterion,param_splitter,param_min_samples_split,param_min_samples_leaf,param_max_features,param_class_weight,param_ccp_alpha
0.7321,0.692,0.7589,0.6741,0.4474,0.7779,182,299,95,81,AAC,20,0.7907,56,1533,657,21.0,gini,best,15,20,,,0.00428185960314174
0.6895,0.6654,0.7056,0.6318,0.3659,0.7252,175,278,116,88,DPC,400,0.7121,76,1533,657,,gini,best,7,5,,balanced,0.0004474994839393856
0.7291,0.6654,0.7716,0.6629,0.4364,0.7846,175,304,90,88,CTDC,21,0.7714,74,1533,657,6.0,gini,best,4,20,,balanced,0.001130307971021106
0.7549,0.5133,0.9162,0.6265,0.4824,0.7485,135,361,33,128,CTDT,21,0.7437,21,1533,657,9.0,log_loss,best,5,18,,,0.011969160386150555
0.7839,0.635,0.8832,0.7017,0.5425,0.7803,167,348,46,96,GAAC,5,0.7639,12,1533,657,7.0,gini,best,18,9,,,0.0016792942467236116
0.6575,0.5932,0.7005,0.581,0.2918,0.6751,156,276,118,107,PAAC,23,0.7074,31,1533,657,5.0,gini,best,18,6,,balanced,0.00394180803908812
0.5525,0.3954,0.6574,0.4143,0.0538,0.5365,104,259,135,159,ProtBERT,1024,0.5775,75,1533,657,23.0,entropy,random,3,13,,,0.00374743647921481
0.5799,0.6008,0.566,0.5338,0.1634,0.6319,158,223,171,105,ProtT5,1024,0.645,77,1533,657,,gini,best,8,18,,balanced,0.0033925761486331566
0.5434,0.5665,0.5279,0.4983,0.0926,0.5767,149,208,186,114,ESM2,1280,0.6256,26,1533,657,,entropy,random,13,20,,balanced,0.008408037151281649
0.621,0.4563,0.731,0.4908,0.1931,0.635,120,288,106,143,BioBERT,768,0.6485,58,1533,657,4.0,entropy,best,15,11,,,8.859340836429907e-05
0.6195,0.4677,0.7208,0.496,0.193,0.6198,123,284,110,140,ESMC,1152,0.6327,75,1533,657,26.0,gini,best,11,20,sqrt,balanced,0.004164806732454772
