Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,AAC,0.8207,0.7823,0.6122,0.8959,0.6925,0.5395,0.8193,75,20
2,CTDT,0.7897,0.7352,0.4525,0.9239,0.5777,0.4403,0.8111,75,21
3,CTDC,0.8046,0.7732,0.5856,0.8985,0.674,0.5199,0.8085,83,21
4,GAAC,0.7889,0.7793,0.6122,0.8909,0.6895,0.5327,0.8056,89,5
5,DPC,0.7913,0.758,0.5437,0.901,0.6427,0.4869,0.7955,89,400
6,PAAC,0.7714,0.7397,0.4905,0.9061,0.6014,0.4472,0.772,69,23
7,BioBERT,0.7548,0.726,0.5513,0.8426,0.617,0.4155,0.7272,95,768
8,ESMC,0.7093,0.7017,0.4183,0.8909,0.5288,0.3583,0.7222,95,1152
9,ProtT5,0.7333,0.7002,0.4981,0.835,0.5708,0.3567,0.7078,98,1024
10,ESM2,0.7159,0.6834,0.5057,0.802,0.5612,0.3229,0.7059,97,1280
11,ProtBERT,0.6598,0.6484,0.5399,0.7208,0.5515,0.2627,0.6476,87,1024
