Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_max_depth,param_bootstrap,param_max_samples,param_max_leaf_nodes,param_n_estimators,param_criterion,param_min_samples_split,param_min_samples_leaf,param_max_features,param_class_weight,param_min_impurity_decrease
0.7823,0.6122,0.8959,0.6925,0.5395,0.8193,161,353,41,102,AAC,20,0.8207,75,1533,657,11.0,True,0.5261966148868106,498.0,405,entropy,12,1,1.0,,0.00197152949184289
0.758,0.5437,0.901,0.6427,0.4869,0.7955,143,355,39,120,DPC,400,0.7913,89,1533,657,30.0,True,0.8135564487866425,379.0,483,entropy,5,4,0.7,,0.00018306771760332732
0.7732,0.5856,0.8985,0.674,0.5199,0.8085,154,354,40,109,CTDC,21,0.8046,83,1533,657,,True,0.9388737447583023,330.0,297,gini,12,1,1.0,,0.0010777237268770575
0.7352,0.4525,0.9239,0.5777,0.4403,0.8111,119,364,30,144,CTDT,21,0.7897,75,1533,657,,True,0.9021804202255471,458.0,417,entropy,3,9,1.0,,0.001552614881489022
0.7793,0.6122,0.8909,0.6895,0.5327,0.8056,161,351,43,102,GAAC,5,0.7889,89,1533,657,,False,,,214,entropy,17,3,0.7,,7.379434770350483e-05
0.7397,0.4905,0.9061,0.6014,0.4472,0.772,129,357,37,134,PAAC,23,0.7714,69,1533,657,14.0,True,0.6350149790040285,,332,entropy,8,2,0.7,,0.0003689863667936786
0.6484,0.5399,0.7208,0.5515,0.2627,0.6476,142,284,110,121,ProtBERT,1024,0.6598,87,1533,657,,False,,,332,log_loss,14,2,0.3,balanced_subsample,0.003597910698414869
0.7002,0.4981,0.835,0.5708,0.3567,0.7078,131,329,65,132,ProtT5,1024,0.7333,98,1533,657,,False,,,214,log_loss,12,13,0.5,balanced_subsample,0.0010714520539415041
0.6834,0.5057,0.802,0.5612,0.3229,0.7059,133,316,78,130,ESM2,1280,0.7159,97,1533,657,25.0,False,,193.0,469,gini,13,10,1.0,balanced,4.5426181102238995e-05
0.726,0.5513,0.8426,0.617,0.4155,0.7272,145,332,62,118,BioBERT,768,0.7548,95,1533,657,22.0,False,,,248,log_loss,14,3,1.0,balanced,0.0037345704245267965
0.7017,0.4183,0.8909,0.5288,0.3583,0.7222,110,351,43,153,ESMC,1152,0.7093,95,1533,657,,True,0.6585150290545316,353.0,310,log_loss,9,6,0.5,balanced_subsample,0.0010169018656105092
