Rank,Dataset,N_used,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,DPC,250,0.7686,0.5932,0.8858,0.6724,0.5092,0.8274,400
2,AAC,250,0.7686,0.5703,0.901,0.6637,0.5102,0.8268,20
3,CTDT,300,0.7412,0.4905,0.9086,0.6028,0.4509,0.7974,21
4,CTDC,300,0.7412,0.5513,0.868,0.6304,0.4484,0.7837,21
5,PAAC,250,0.7367,0.4639,0.9188,0.5851,0.4426,0.7771,23
6,GAAC,150,0.7382,0.654,0.7944,0.6667,0.4515,0.7553,5
7,BioBERT,300,0.7123,0.403,0.9188,0.5287,0.3871,0.7253,768
8,ESMC,150,0.6758,0.3232,0.9112,0.4439,0.2972,0.7241,1152
9,ESM2,300,0.688,0.3346,0.9239,0.4619,0.3299,0.7143,1280
10,ProtT5,300,0.7047,0.3384,0.9492,0.4785,0.3789,0.7142,1024
11,ProtBERT,300,0.6423,0.1939,0.9416,0.3027,0.2101,0.6445,1024
