Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,AAC,0.7216,0.7032,0.3802,0.9188,0.5063,0.3656,0.748,17,20
2,DPC,0.6752,0.6788,0.4791,0.8122,0.5443,0.3101,0.721,14,400
3,ESMC,0.6784,0.7047,0.4677,0.8629,0.5591,0.3651,0.7147,55,1152
4,BioBERT,0.7054,0.6788,0.384,0.8756,0.4891,0.3031,0.6974,54,768
5,PAAC,0.6895,0.6788,0.4259,0.8477,0.5149,0.3049,0.6963,19,23
6,ESM2,0.6732,0.691,0.3802,0.8985,0.4963,0.3335,0.6798,62,1280
7,ProtT5,0.7062,0.6728,0.3992,0.8553,0.4941,0.2894,0.6749,22,1024
8,CTDT,0.6738,0.6438,0.3156,0.8629,0.415,0.2153,0.6662,52,21
9,CTDC,0.6595,0.6591,0.289,0.9061,0.4043,0.2533,0.658,13,21
10,GAAC,0.6746,0.6271,0.1445,0.9492,0.2368,0.1619,0.6493,55,5
11,ProtBERT,0.6126,0.6591,0.3232,0.8832,0.4315,0.2532,0.6422,64,1024
