Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_metric,param_algorithm,param_p,param_n_neighbors,param_weights,param_leaf_size
0.7032,0.3802,0.9188,0.5063,0.3656,0.748,100,362,32,163,AAC,20,0.7216,17,1533,657,minkowski,brute,1,22,distance,30
0.6788,0.4791,0.8122,0.5443,0.3101,0.721,126,320,74,137,DPC,400,0.6752,14,1533,657,manhattan,ball_tree,2,6,distance,62
0.6591,0.289,0.9061,0.4043,0.2533,0.658,76,357,37,187,CTDC,21,0.6595,13,1533,657,manhattan,auto,2,26,distance,30
0.6438,0.3156,0.8629,0.415,0.2153,0.6662,83,340,54,180,CTDT,21,0.6738,52,1533,657,minkowski,ball_tree,1,23,distance,74
0.6271,0.1445,0.9492,0.2368,0.1619,0.6493,38,374,20,225,GAAC,5,0.6746,55,1533,657,manhattan,kd_tree,2,26,uniform,86
0.6788,0.4259,0.8477,0.5149,0.3049,0.6963,112,334,60,151,PAAC,23,0.6895,19,1533,657,manhattan,auto,2,11,distance,30
0.6591,0.3232,0.8832,0.4315,0.2532,0.6422,85,348,46,178,ProtBERT,1024,0.6126,64,1533,657,cosine,brute,2,26,distance,30
0.6728,0.3992,0.8553,0.4941,0.2894,0.6749,105,337,57,158,ProtT5,1024,0.7062,22,1533,657,minkowski,brute,1,17,distance,30
0.691,0.3802,0.8985,0.4963,0.3335,0.6798,100,354,40,163,ESM2,1280,0.6732,62,1533,657,euclidean,auto,2,20,distance,30
0.6788,0.384,0.8756,0.4891,0.3031,0.6974,101,345,49,162,BioBERT,768,0.7054,54,1533,657,cosine,brute,2,29,distance,30
0.7047,0.4677,0.8629,0.5591,0.3651,0.7147,123,340,54,140,ESMC,1152,0.6784,55,1533,657,cosine,brute,2,20,distance,30
