Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Best_Iter,Train_N,Test_N,param_boosting_type,param_subsample,param_n_estimators,param_num_leaves,param_max_depth,param_learning_rate,param_min_child_samples,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_split_gain,param_scale_pos_weight,param_path_smooth,param_extra_trees
0.7428,0.7947,0.7081,0.7121,0.4927,0.8215,209,279,115,54,AAC,20,0.8303,76,0,1533,657,dart,0.5840252853989744,327,129,14,0.2929806730240025,18,0.38564937627985535,0.014577362924332628,8.797753806889435e-05,4.306540390007288,2.696321277499375,0.08127320363620522,False
0.5997,0.0,1.0,0.0,0.0,0.6305,0,394,0,263,DPC,400,0.8104,56,4,1533,657,gbdt,0.7430383904132379,263,62,8,0.06857699913463562,8,0.9068364967010607,0.0019996752371479838,3.2460856899947244e-06,0.4239007874252948,2.913251735764523,0.3140173415966171,False
0.79,0.7338,0.8274,0.7366,0.562,0.8304,193,326,68,70,CTDC,21,0.818,81,211,1533,657,goss,1.0,385,85,3,0.09522629929733405,92,0.5636835560347864,1.9018945403626868e-05,0.18840136172622704,4.7859774511105,1.4043019162703538,0.069521082821711,False
0.7976,0.7376,0.8376,0.7447,0.5771,0.8072,194,330,64,69,CTDT,21,0.814,72,55,1533,657,goss,1.0,413,58,9,0.01824976588774421,65,0.35311146637823865,2.6399586907392272e-08,0.00033484127446045843,3.8842943042933653,2.1366914553207836,0.43776183127111645,False
0.7397,0.7529,0.731,0.6984,0.4754,0.8072,198,288,106,65,GAAC,5,0.807,69,20,1533,657,goss,1.0,288,141,19,0.08689414274930264,39,0.9712607560451542,0.27943729070690965,1.2925415578362763e-08,1.7678193953218477,2.292889492339458,0.10000599180690632,False
0.7671,0.6882,0.8198,0.7029,0.5119,0.7904,181,323,71,82,PAAC,23,0.8024,86,79,1533,657,gbdt,0.7882018987190546,443,212,16,0.028304259995845144,7,0.31740169331854273,6.483488954994021e-07,1.5692300411476984e-08,0.8284849453761445,2.5025751781254333,0.47292408420269705,False
0.5997,0.0,1.0,0.0,0.0,0.6066,0,394,0,263,ProtBERT,1024,0.6665,67,3,1533,657,gbdt,0.7041906791470308,475,151,12,0.04671098083151629,11,0.7870980064344485,0.6418550088826563,6.673117954992144e-07,0.4935955781572632,2.9967293394993533,0.28692415767989193,True
0.688,0.597,0.7487,0.605,0.3473,0.7241,157,295,99,106,ProtT5,1024,0.741,82,170,1533,657,gbdt,0.6769761297131119,362,62,9,0.03336187209890806,25,0.7697564872588144,1.8523009336230208e-07,0.0008080998751532192,0.006092720449580841,2.393874323984332,0.8737543075166412,True
0.6804,0.6236,0.7183,0.6097,0.3395,0.7091,164,283,111,99,ESM2,1280,0.7268,52,0,1533,657,dart,0.5230942395388614,447,84,9,0.16338343468441602,19,0.6203327631359223,8.398244088052803e-06,0.008924075205252116,0.5229319649540038,2.1927987722047484,0.5512940913988693,True
0.6606,0.6578,0.6624,0.6081,0.3145,0.7184,173,261,133,90,BioBERT,768,0.7622,62,287,1533,657,gbdt,0.8369359857301425,457,156,11,0.010256728674786624,29,0.9361754008082576,1.7864771224574987e-07,0.09306827197000916,0.1476347228555261,1.989213401026671,0.814381999601357,True
0.6499,0.5627,0.7081,0.5627,0.2709,0.6838,148,279,115,115,ESMC,1152,0.7215,52,18,1533,657,gbdt,0.8491916164345932,384,40,10,0.03545790023773834,63,0.6925782128260003,0.14204403289568487,1.3826070127624293e-07,1.696474125299972,2.4532143037286396,0.09856908741804153,True
