Dataset,boosting_type,subsample,n_estimators,num_leaves,max_depth,learning_rate,min_child_samples,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,scale_pos_weight,path_smooth,extra_trees,best_iter,CV_AUC,Test_AUC
AAC,dart,0.5840252853989744,327,129,14,0.2929806730240025,18,0.38564937627985535,0.014577362924332628,8.797753806889435e-05,4.306540390007288,2.696321277499375,0.08127320363620522,False,0,0.8303,0.8215
DPC,gbdt,0.7430383904132379,263,62,8,0.06857699913463562,8,0.9068364967010607,0.0019996752371479838,3.2460856899947244e-06,0.4239007874252948,2.913251735764523,0.3140173415966171,False,4,0.8104,0.6305
CTDC,goss,1.0,385,85,3,0.09522629929733405,92,0.5636835560347864,1.9018945403626868e-05,0.18840136172622704,4.7859774511105,1.4043019162703538,0.069521082821711,False,211,0.818,0.8304
CTDT,goss,1.0,413,58,9,0.01824976588774421,65,0.35311146637823865,2.6399586907392272e-08,0.00033484127446045843,3.8842943042933653,2.1366914553207836,0.43776183127111645,False,55,0.814,0.8072
GAAC,goss,1.0,288,141,19,0.08689414274930264,39,0.9712607560451542,0.27943729070690965,1.2925415578362763e-08,1.7678193953218477,2.292889492339458,0.10000599180690632,False,20,0.807,0.8072
PAAC,gbdt,0.7882018987190546,443,212,16,0.028304259995845144,7,0.31740169331854273,6.483488954994021e-07,1.5692300411476984e-08,0.8284849453761445,2.5025751781254333,0.47292408420269705,False,79,0.8024,0.7904
ProtBERT,gbdt,0.7041906791470308,475,151,12,0.04671098083151629,11,0.7870980064344485,0.6418550088826563,6.673117954992144e-07,0.4935955781572632,2.9967293394993533,0.28692415767989193,True,3,0.6665,0.6066
ProtT5,gbdt,0.6769761297131119,362,62,9,0.03336187209890806,25,0.7697564872588144,1.8523009336230208e-07,0.0008080998751532192,0.006092720449580841,2.393874323984332,0.8737543075166412,True,170,0.741,0.7241
ESM2,dart,0.5230942395388614,447,84,9,0.16338343468441602,19,0.6203327631359223,8.398244088052803e-06,0.008924075205252116,0.5229319649540038,2.1927987722047484,0.5512940913988693,True,0,0.7268,0.7091
BioBERT,gbdt,0.8369359857301425,457,156,11,0.010256728674786624,29,0.9361754008082576,1.7864771224574987e-07,0.09306827197000916,0.1476347228555261,1.989213401026671,0.814381999601357,True,287,0.7622,0.7184
ESMC,gbdt,0.8491916164345932,384,40,10,0.03545790023773834,63,0.6925782128260003,0.14204403289568487,1.3826070127624293e-07,1.696474125299972,2.4532143037286396,0.09856908741804153,True,18,0.7215,0.6838
