Rank,Dataset,Leaves_used,Best_iter,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,AAC,63,43,0.793,0.7376,0.8299,0.7405,0.5683,0.8443,20
2,CTDT,31,51,0.796,0.7529,0.8249,0.7472,0.5763,0.8323,21
3,CTDC,31,45,0.7976,0.7338,0.8401,0.7437,0.5766,0.8287,21
4,GAAC,15,43,0.796,0.7034,0.8579,0.7341,0.5706,0.8105,5
5,PAAC,31,46,0.7336,0.6388,0.797,0.6575,0.4404,0.7952,23
6,DPC,31,36,0.7367,0.711,0.7538,0.6837,0.4597,0.7893,400
7,ProtT5,31,35,0.6925,0.5019,0.8198,0.5665,0.3411,0.7066,1024
8,BioBERT,127,20,0.6819,0.5437,0.7741,0.5778,0.3258,0.7044,768
9,ESMC,127,24,0.6788,0.5095,0.7919,0.5595,0.3143,0.688,1152
10,ESM2,127,25,0.6469,0.4715,0.764,0.5167,0.2453,0.6844,1280
11,ProtBERT,63,25,0.6362,0.4297,0.7741,0.486,0.2164,0.6461,1024
