Rank,Dataset,C_used,Penalty_used,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,BioBERT,0.1,l2,0.7093,0.6844,0.7259,0.6534,0.4052,0.7416,768
2,ESM2,0.01,l2,0.691,0.6312,0.731,0.6206,0.3602,0.7311,1280
3,ESMC,0.01,l2,0.6773,0.6274,0.7107,0.6089,0.3351,0.726,1152
4,ProtT5,0.01,l2,0.6651,0.6046,0.7056,0.5911,0.308,0.7141,1024
5,ProtBERT,0.01,l2,0.6286,0.635,0.6244,0.5779,0.2544,0.6617,1024
6,DPC,0.001,l2,0.554,0.5665,0.5457,0.5042,0.11,0.5694,400
7,AAC,1.0,l2,0.5403,0.5665,0.5228,0.4967,0.0876,0.5656,20
8,PAAC,10.0,l2,0.5266,0.5551,0.5076,0.4842,0.0615,0.5652,23
9,CTDT,10.0,l1,0.5327,0.5437,0.5254,0.4823,0.0677,0.5362,21
10,CTDC,100.0,l1,0.5145,0.5513,0.4898,0.4762,0.0404,0.5354,21
11,GAAC,1.0,l2,0.5023,0.5627,0.4619,0.4751,0.0243,0.5149,5
