Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,ESM2,0.7582,0.6925,0.6654,0.7107,0.6341,0.3712,0.732,79,1280
2,ESMC,0.7311,0.6788,0.6198,0.7183,0.6071,0.3359,0.7279,52,1152
3,BioBERT,0.7405,0.6865,0.6274,0.7259,0.6157,0.3512,0.7067,1,768
4,ProtT5,0.7302,0.6499,0.6236,0.6675,0.5878,0.2867,0.7067,65,1024
5,ProtBERT,0.675,0.6134,0.6502,0.5888,0.5738,0.2342,0.6608,56,1024
6,AAC,0.5872,0.5997,0.0,1.0,0.0,0.0,0.5627,51,20
7,DPC,0.5933,0.5601,0.4297,0.6472,0.4388,0.0775,0.5525,85,400
8,PAAC,0.5892,0.5358,0.5894,0.5,0.5041,0.0878,0.5517,62,23
9,CTDT,0.5544,0.5921,0.0418,0.9594,0.0759,0.003,0.5222,87,21
10,CTDC,0.5763,0.4962,0.5551,0.4569,0.4687,0.0118,0.5196,91,21
11,GAAC,0.534,0.4779,0.5741,0.4137,0.4682,-0.0121,0.5123,63,5
