Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_penalty,param_solver,param_C,param_max_iter,param_class_weight,param_fit_intercept,param_tol,param_l1_ratio
0.5997,0.0,1.0,0.0,0.0,0.5627,0,394,0,263,AAC,20,0.5872,51,1533,657,l2,lbfgs,0.00010676379657410914,3649,,True,0.0004619197312369208,
0.5601,0.4297,0.6472,0.4388,0.0775,0.5525,113,255,139,150,DPC,400,0.5933,85,1533,657,elasticnet,saga,0.22026153940943755,2219,,True,0.0003836082859200164,0.6915235788158225
0.4962,0.5551,0.4569,0.4687,0.0118,0.5196,146,180,214,117,CTDC,21,0.5763,91,1533,657,l1,liblinear,0.02793640480797433,224,,False,0.0009942782908794938,
0.5921,0.0418,0.9594,0.0759,0.003,0.5222,11,378,16,252,CTDT,21,0.5544,87,1533,657,l1,saga,0.11843453616979446,2097,,True,0.00783959017329294,
0.4779,0.5741,0.4137,0.4682,-0.0121,0.5123,151,163,231,112,GAAC,5,0.534,63,1533,657,l2,newton-cg,1.3713156628291254,3493,,False,0.004715464132875604,
0.5358,0.5894,0.5,0.5041,0.0878,0.5517,155,197,197,108,PAAC,23,0.5892,62,1533,657,l2,liblinear,0.0007971811162531162,4691,balanced,True,0.004606826522143485,
0.6134,0.6502,0.5888,0.5738,0.2342,0.6608,171,232,162,92,ProtBERT,1024,0.675,56,1533,657,l2,newton-cg,0.00281074198896653,733,,False,0.003460877236472557,
0.6499,0.6236,0.6675,0.5878,0.2867,0.7067,164,263,131,99,ProtT5,1024,0.7302,65,1533,657,l2,lbfgs,0.004236535272044489,2099,balanced,False,0.0002130368590047771,
0.6925,0.6654,0.7107,0.6341,0.3712,0.732,175,280,114,88,ESM2,1280,0.7582,79,1533,657,l1,saga,0.20243300794684416,2778,balanced,False,4.522086070679116e-06,
0.6865,0.6274,0.7259,0.6157,0.3512,0.7067,165,286,108,98,BioBERT,768,0.7405,1,1533,657,elasticnet,saga,0.02173487707341741,1958,,False,0.00023423849847112912,0.13949386065204183
0.6788,0.6198,0.7183,0.6071,0.3359,0.7279,163,283,111,100,ESMC,1152,0.7311,52,1533,657,l2,liblinear,0.0034494677537499105,3306,balanced,True,4.837565793731171e-06,
