Dataset,penalty,solver,C,max_iter,class_weight,fit_intercept,tol,l1_ratio,CV_AUC,Test_AUC
AAC,l2,lbfgs,0.00010676379657410914,3649,,True,0.0004619197312369208,,0.5872,0.5627
DPC,elasticnet,saga,0.22026153940943755,2219,,True,0.0003836082859200164,0.6915235788158225,0.5933,0.5525
CTDC,l1,liblinear,0.02793640480797433,224,,False,0.0009942782908794938,,0.5763,0.5196
CTDT,l1,saga,0.11843453616979446,2097,,True,0.00783959017329294,,0.5544,0.5222
GAAC,l2,newton-cg,1.3713156628291254,3493,,False,0.004715464132875604,,0.534,0.5123
PAAC,l2,liblinear,0.0007971811162531162,4691,balanced,True,0.004606826522143485,,0.5892,0.5517
ProtBERT,l2,newton-cg,0.00281074198896653,733,,False,0.003460877236472557,,0.675,0.6608
ProtT5,l2,lbfgs,0.004236535272044489,2099,balanced,False,0.0002130368590047771,,0.7302,0.7067
ESM2,l1,saga,0.20243300794684416,2778,balanced,False,4.522086070679116e-06,,0.7582,0.732
BioBERT,elasticnet,saga,0.02173487707341741,1958,,False,0.00023423849847112912,0.13949386065204183,0.7405,0.7067
ESMC,l2,liblinear,0.0034494677537499105,3306,balanced,True,4.837565793731171e-06,,0.7311,0.7279
