Rank,Dataset,Variant_used,Var_smoothing,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,DPC,BernoulliNB,N/A,0.7458,0.673,0.7944,0.6795,0.469,0.7682,400
2,ESMC,BernoulliNB,N/A,0.656,0.5513,0.7259,0.562,0.2791,0.6777,1152
3,BioBERT,BernoulliNB,N/A,0.6514,0.6274,0.6675,0.5903,0.2904,0.6766,768
4,ProtT5,GaussianNB,1e-09,0.6514,0.5627,0.7107,0.5638,0.2736,0.6425,1024
5,ESM2,ComplementNB,N/A,0.6104,0.5247,0.6675,0.5188,0.1915,0.6217,1280
6,ProtBERT,GaussianNB,1e-09,0.5951,0.5095,0.6523,0.5019,0.161,0.584,1024
7,CTDC,BernoulliNB,N/A,0.5921,0.3004,0.7868,0.3709,0.0989,0.5694,21
8,AAC,GaussianNB,1e-09,0.551,0.5513,0.5508,0.4957,0.1001,0.5691,20
9,PAAC,GaussianNB,1e-09,0.5373,0.5817,0.5076,0.5016,0.0877,0.5687,23
10,CTDT,GaussianNB,1e-09,0.5921,0.4144,0.7107,0.4486,0.1295,0.5479,21
11,GAAC,BernoulliNB,N/A,0.5997,0.0,1.0,0.0,0.0,0.5204,5
