y_true,y_pred,prob_positive,prob_negative
0,0,1.5378546549004557e-15,0.9999999999999984
1,0,8.71456173885229e-29,1.0
0,0,1.7466286636429322e-14,0.9999999999999826
1,0,7.90883365603543e-21,1.0
1,1,1.0,0.0
0,0,3.580163401484122e-08,0.999999964198366
0,0,6.965889772732238e-24,1.0
0,0,4.468914203287332e-11,0.9999999999553109
1,1,1.0,0.0
1,1,1.0,0.0
1,1,0.9611870499091562,0.038812950090843845
0,0,1.21978000043629e-26,1.0
0,0,1.291347921896823e-22,1.0
1,0,1.4493822932000443e-06,0.9999985506177068
1,0,2.296421172336175e-21,1.0
1,0,0.184934955982222,0.815065044017778
0,0,0.001309551239106185,0.9986904487608939
0,0,3.4317886676215294e-36,1.0
1,0,1.5238947265680968e-23,1.0
0,1,1.0,0.0
1,1,1.0,0.0
0,0,7.19199561997079e-31,1.0
0,1,1.0,0.0
1,1,1.0,0.0
0,0,1.686318799766378e-12,0.9999999999983137
1,0,1.103129353814627e-24,1.0
0,1,0.9994987531059399,0.000501246894060059
0,0,2.461497590234573e-18,1.0
0,0,2.86250344108248e-23,1.0
0,1,0.9999999013409755,9.865902450556518e-08
1,1,0.9999999999997726,2.2737367544323206e-13
0,0,8.818646115714591e-29,1.0
0,0,4.724907941857431e-19,1.0
0,0,1.2666135746221167e-06,0.9999987333864254
0,1,1.0,0.0
1,0,1.0002820695419517e-09,0.9999999989997179
0,1,1.0,0.0
0,0,1.328268109697268e-19,1.0
0,1,1.0,0.0
0,0,1.3366378227728035e-24,1.0
1,1,0.9999999986575858,1.342414179816842e-09
0,0,3.1135293201665734e-11,0.9999999999688647
0,0,1.102528037229372e-28,1.0
1,1,0.9999999999977263,2.2737367544323206e-12
1,0,7.35278085336655e-24,1.0
0,1,1.0,0.0
1,1,1.0,0.0
0,0,4.180009885871077e-26,1.0
1,1,0.999999999791271,2.0872903405688703e-10
0,0,3.9718483100486035e-20,1.0
0,0,0.07275752117031661,0.9272424788296834
1,1,1.0,0.0
0,0,5.962411176132589e-30,1.0
1,0,3.4886583538163847e-19,1.0
1,1,1.0,0.0
0,1,1.0,0.0
0,0,3.279877873408524e-08,0.9999999672012213
0,0,2.959998489444923e-39,1.0
1,0,5.111324669916424e-34,1.0
1,1,1.0,0.0
0,1,0.9999999999870397,1.2960299500264227e-11
1,0,1.0718591913635952e-18,1.0
0,0,1.218621949090765e-18,1.0
0,0,2.517671902883502e-13,0.9999999999997482
1,1,1.0,0.0
0,1,0.9999964048555335,3.595144466461697e-06
1,1,0.9999999999950901,4.909850304102292e-12
1,0,0.004561063643503457,0.9954389363564965
1,0,1.0017146199210213e-19,1.0
1,1,1.0,0.0
1,0,1.0063986344455788e-24,1.0
0,0,4.244374749103113e-15,0.9999999999999958
0,0,1.4392079951279468e-32,1.0
0,1,1.0,0.0
1,0,1.5895488063749115e-16,0.9999999999999999
1,0,1.603517777964773e-10,0.9999999998396483
0,0,6.917180632845598e-13,0.9999999999993083
0,0,4.224258933265263e-22,1.0
0,0,1.873155651985382e-07,0.9999998126844348
1,0,3.382993783403896e-13,0.9999999999996617
1,1,1.0,0.0
0,0,1.2540592187708526e-06,0.9999987459407812
0,0,1.238942155144093e-13,0.9999999999998761
0,0,3.087603178047031e-17,1.0
0,0,7.905544631887511e-20,1.0
0,0,3.008482300505582e-26,1.0
1,0,5.866051830562347e-11,0.9999999999413395
0,0,1.7172752208660973e-09,0.9999999982827248
0,1,1.0,0.0
0,0,0.008584818399507588,0.9914151816004924
0,1,1.0,0.0
0,1,0.9999999949429821,5.057017915532924e-09
0,0,4.205794893614923e-30,1.0
0,1,0.9999924152288049,7.584771195112694e-06
0,0,1.91441469791058e-21,1.0
1,0,0.0005381988559459729,0.999461801144054
0,0,1.6578454640303188e-36,1.0
1,1,0.9999987537399683,1.2462600317286743e-06
1,1,0.9999999999598685,4.013145371573046e-11
1,1,1.0,0.0
0,0,5.634521346113581e-34,1.0
0,0,1.2655971876967113e-29,1.0
0,0,3.2912324117344726e-34,1.0
0,0,2.332524839684819e-11,0.9999999999766748
0,1,1.0,0.0
0,1,0.9999999999997726,2.2737367544323206e-13
0,0,2.3412685604622278e-23,1.0
0,0,1.2358227459881454e-12,0.9999999999987642
0,0,3.8409199935794027e-14,0.9999999999999616
1,0,6.16875552247283e-20,1.0
0,0,1.629731340461026e-31,1.0
1,0,2.3861757790014788e-33,1.0
1,0,4.642174869835885e-30,1.0
0,1,0.9986255429227525,0.0013744570772474818
0,0,4.817497232087118e-22,1.0
0,1,1.0,0.0
0,0,0.16558155146632333,0.8344184485336766
1,0,2.0736849575216632e-14,0.9999999999999792
1,0,4.359968421251523e-26,1.0
1,0,5.032168859252517e-07,0.9999994967831141
1,0,1.1571553160506303e-15,0.9999999999999989
1,0,1.1641667536071164e-12,0.9999999999988358
0,0,1.0873146375881527e-12,0.9999999999989126
0,0,1.805177253470262e-32,1.0
1,0,5.495142704240085e-28,1.0
1,0,1.3996474318712494e-23,1.0
0,1,1.0,0.0
1,0,3.0085223671258526e-17,1.0
0,0,5.81626357739289e-19,1.0
0,1,1.0,0.0
1,1,0.9999999999583906,4.160938260611147e-11
0,1,1.0,0.0
0,0,3.0000028793906347e-13,0.9999999999997
1,1,0.9999898026129974,1.0197387002586211e-05
0,0,4.336774129572562e-34,1.0
0,1,0.9999994317692449,5.682307551158061e-07
0,1,0.9999999999937472,6.252776074688882e-12
0,0,4.014333038804584e-21,1.0
0,0,1.1703177305051084e-11,0.9999999999882968
0,0,0.224893436527544,0.775106563472456
1,1,1.0,0.0
0,0,2.3745918492054214e-13,0.9999999999997625
1,1,1.0,0.0
1,1,1.0,0.0
1,0,7.29095064577635e-10,0.9999999992709049
1,0,1.1125083228779498e-35,1.0
0,0,8.249850161955165e-12,0.9999999999917502
1,0,1.003905597507321e-16,0.9999999999999999
1,1,1.0,0.0
1,0,4.417407925913899e-16,0.9999999999999996
1,1,1.0,0.0
1,0,0.027397369427555846,0.9726026305724441
0,0,1.2786399896640123e-16,0.9999999999999999
0,0,1.6610813023084515e-10,0.9999999998338919
1,0,4.165036134540426e-26,1.0
0,1,1.0,0.0
1,0,0.0060719272020925245,0.9939280727979075
1,1,1.0,0.0
1,1,0.999976347093999,2.365290600103709e-05
1,1,1.0,0.0
1,0,5.523267192396534e-06,0.9999944767328076
1,1,1.0,0.0
1,1,1.0,0.0
0,1,1.0,0.0
1,0,0.0008980320091452646,0.9991019679908547
0,1,0.9999988028013495,1.197198650548792e-06
0,0,8.514212127891368e-23,1.0
0,0,1.4530099553438416e-09,0.9999999985469901
1,1,1.0,0.0
0,1,0.9999999999870397,1.2960299500264227e-11
0,0,0.18867701390485841,0.8113229860951416
1,1,1.0,0.0
1,1,1.0,0.0
1,0,2.323204129243728e-27,1.0
0,0,3.099651416258256e-21,1.0
0,0,2.399592774852659e-07,0.9999997600407226
1,1,1.0,0.0
0,0,1.2280290647906861e-25,1.0
0,1,1.0,0.0
0,1,0.9999999805095288,1.9490471236949247e-08
0,0,1.382357616680926e-28,1.0
1,0,3.612576210802757e-30,1.0
0,0,2.6950536180938865e-18,1.0
1,0,5.105889449964128e-15,0.9999999999999949
0,0,6.887250570821867e-12,0.9999999999931127
1,0,3.584539535678027e-17,1.0
1,0,2.053100523111497e-14,0.9999999999999795
0,0,1.2630432361865103e-26,1.0
1,1,1.0,0.0
1,0,7.526552427323971e-32,1.0
1,0,3.602176517533699e-25,1.0
0,0,2.7490732919508137e-13,0.9999999999997251
0,0,2.1845573005107797e-19,1.0
1,1,0.9999999102756232,8.97243768172018e-08
0,1,1.0,0.0
0,0,4.366749261788335e-13,0.9999999999995633
0,1,1.0,0.0
0,0,2.2618188002252646e-27,1.0
0,0,1.717007555054821e-26,1.0
0,0,9.728046675810875e-14,0.9999999999999027
0,0,1.0585747811353808e-14,0.9999999999999895
0,0,2.364167348024966e-14,0.9999999999999764
1,1,1.0,0.0
1,1,0.9999999999997726,2.2737367544323206e-13
1,0,9.889965994631391e-11,0.9999999999011003
0,0,0.006998479279790404,0.9930015207202096
0,0,2.6243970499184545e-10,0.9999999997375603
0,1,0.6731398791342196,0.3268601208657804
1,0,1.2863753052130512e-23,1.0
0,0,5.2508953328457616e-27,1.0
0,1,0.9999994713287185,5.286712815300021e-07
0,0,1.0225125191904925e-07,0.9999998977487481
1,0,1.7847191587949843e-16,0.9999999999999998
1,1,1.0,0.0
1,1,1.0,0.0
