Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,NB_Type,CV_AUC,Best_Trial,Train_N,Test_N,param_nb_type,param_alpha,param_binarize,param_class_prior_pos,param_var_smoothing
0.6621,0.4829,0.7817,0.5336,0.277,0.6718,127,308,86,136,AAC,20,bernoulli,0.687,34,1533,657,bernoulli,0.009899158685807357,0.19122140376653787,0.4563453302853052,
0.7565,0.6616,0.8198,0.685,0.4877,0.7744,174,323,71,89,DPC,400,bernoulli,0.7594,91,1533,657,bernoulli,0.19054688341246906,0.47660014164017056,0.3526113159069523,
0.586,0.3992,0.7107,0.4357,0.1142,0.5855,105,280,114,158,CTDC,21,bernoulli,0.6167,61,1533,657,bernoulli,0.008206586524092133,0.2894704343957567,0.5324619147010774,
0.5799,0.3688,0.7208,0.4128,0.0945,0.5849,97,284,110,166,CTDT,21,bernoulli,0.6527,88,1533,657,bernoulli,0.18783017260983637,0.19006057477707755,0.3988400043575761,
0.6195,0.2053,0.8959,0.3017,0.1411,0.6107,54,353,41,209,GAAC,5,bernoulli,0.5893,67,1533,657,bernoulli,0.4123216891509855,0.13822790230516604,0.5598883490720789,
0.6636,0.4867,0.7817,0.5367,0.2806,0.6726,128,308,86,135,PAAC,23,bernoulli,0.6627,31,1533,657,bernoulli,0.4822804353807075,0.16244816710019688,0.53050077625928,
0.5677,0.5019,0.6117,0.4818,0.1123,0.5664,132,241,153,131,ProtBERT,1024,bernoulli,0.6217,99,1533,657,bernoulli,0.0015338089938068341,0.3247032923609468,0.40988335595062775,
0.6393,0.6084,0.6599,0.5745,0.2643,0.6565,160,260,134,103,ProtT5,1024,bernoulli,0.6701,14,1533,657,bernoulli,0.0841693497142706,0.7234541628288469,0.6967549859402028,
0.6104,0.4639,0.7081,0.488,0.1755,0.6138,122,279,115,141,ESM2,1280,gaussian,0.6635,10,1533,657,gaussian,,,0.5695909807531638,2.8870818882329815e-08
0.6454,0.5703,0.6954,0.5629,0.2647,0.6757,150,274,120,113,BioBERT,768,bernoulli,0.7003,76,1533,657,bernoulli,2.5756494699622605,0.37804664928832726,0.5047217049550087,
0.6575,0.5513,0.7284,0.5631,0.2819,0.6778,145,287,107,118,ESMC,1152,bernoulli,0.6568,91,1533,657,bernoulli,0.04820679549278194,0.5847504673845668,0.541675332985235,
