Dataset,nb_type,alpha,binarize,class_prior_pos,CV_AUC,Test_AUC,var_smoothing
AAC,bernoulli,0.009899158685807357,0.19122140376653787,0.4563453302853052,0.687,0.6718,
DPC,bernoulli,0.19054688341246906,0.47660014164017056,0.3526113159069523,0.7594,0.7744,
CTDC,bernoulli,0.008206586524092133,0.2894704343957567,0.5324619147010774,0.6167,0.5855,
CTDT,bernoulli,0.18783017260983637,0.19006057477707755,0.3988400043575761,0.6527,0.5849,
GAAC,bernoulli,0.4123216891509855,0.13822790230516604,0.5598883490720789,0.5893,0.6107,
PAAC,bernoulli,0.4822804353807075,0.16244816710019688,0.53050077625928,0.6627,0.6726,
ProtBERT,bernoulli,0.0015338089938068341,0.3247032923609468,0.40988335595062775,0.6217,0.5664,
ProtT5,bernoulli,0.0841693497142706,0.7234541628288469,0.6967549859402028,0.6701,0.6565,
ESM2,gaussian,,,0.5695909807531638,0.6635,0.6138,2.8870818882329815e-08
BioBERT,bernoulli,2.5756494699622605,0.37804664928832726,0.5047217049550087,0.7003,0.6757,
ESMC,bernoulli,0.04820679549278194,0.5847504673845668,0.541675332985235,0.6568,0.6778,
