Rank,Dataset,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,AAC,0.7915,0.6502,0.8858,0.714,0.559,0.8284,20
2,DPC,0.7717,0.5856,0.8959,0.6725,0.5164,0.8187,400
3,CTDC,0.7808,0.6122,0.8934,0.691,0.5361,0.815,21
4,CTDT,0.7732,0.5779,0.9036,0.6711,0.5203,0.802,21
5,PAAC,0.7519,0.5399,0.8934,0.6353,0.4728,0.7896,23
6,GAAC,0.7412,0.6198,0.8223,0.6573,0.4528,0.7752,5
7,BioBERT,0.7139,0.4068,0.9188,0.5323,0.3906,0.738,768
8,ProtT5,0.6834,0.3346,0.9162,0.4583,0.3171,0.7106,1024
9,ESM2,0.6834,0.3764,0.8883,0.4877,0.3144,0.7044,1280
10,ESMC,0.6804,0.3384,0.9086,0.4588,0.3084,0.7011,1152
11,ProtBERT,0.656,0.2205,0.9467,0.3392,0.2519,0.6252,1024
