Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,AAC,0.8162,0.7976,0.6654,0.8858,0.7246,0.5722,0.8296,99,20
2,DPC,0.8216,0.7717,0.5894,0.8934,0.6739,0.5162,0.8227,90,400
3,CTDC,0.8113,0.7823,0.616,0.8934,0.6938,0.5394,0.8216,60,21
4,CTDT,0.8065,0.8097,0.711,0.8756,0.7495,0.5991,0.8104,84,21
5,GAAC,0.8031,0.8021,0.6578,0.8985,0.7269,0.5823,0.805,83,5
6,PAAC,0.7833,0.7489,0.5779,0.8629,0.6482,0.4656,0.7927,97,23
7,BioBERT,0.7542,0.7154,0.4601,0.8858,0.5641,0.39,0.7209,95,768
8,ESMC,0.7121,0.7139,0.4335,0.901,0.5481,0.3877,0.7187,41,1152
9,ProtT5,0.7444,0.7002,0.4068,0.8959,0.5207,0.3551,0.7158,81,1024
10,ESM2,0.7182,0.688,0.4373,0.8553,0.5287,0.3261,0.704,86,1280
11,ProtBERT,0.6537,0.6697,0.3612,0.8756,0.4668,0.2805,0.6466,73,1024
