Dataset,bootstrap,max_samples,n_estimators,criterion,min_samples_split,min_samples_leaf,max_features,class_weight,min_impurity_decrease,max_depth,CV_AUC,Test_AUC
AAC,True,0.6583520249828752,191,log_loss,8,3,log2,balanced,0.0012237867299269652,,0.8162,0.8296
DPC,True,0.9803814995345721,132,log_loss,15,1,log2,,1.5455114662805828e-05,,0.8216,0.8227
CTDC,True,0.547479182831336,384,entropy,16,11,0.7,,0.005415632916729031,,0.8113,0.8216
CTDT,True,0.72441775642484,474,entropy,6,8,0.7,balanced_subsample,0.006403584325043274,10.0,0.8065,0.8104
GAAC,False,,248,log_loss,8,12,0.5,,0.0014807178587333642,9.0,0.8031,0.805
PAAC,True,0.7481423588910618,326,log_loss,4,1,1.0,balanced_subsample,0.003328244110057991,26.0,0.7833,0.7927
ProtBERT,True,0.5514901852652541,391,entropy,9,9,0.5,balanced,0.008217184285354673,,0.6537,0.6466
ProtT5,True,0.8964889166933819,398,log_loss,7,3,0.5,balanced_subsample,0.0048911766938041475,,0.7444,0.7158
ESM2,True,0.687891131093872,481,entropy,6,4,0.5,balanced_subsample,0.008867626117070792,,0.7182,0.704
BioBERT,True,0.9310076097236198,314,log_loss,12,6,0.3,,4.171351415554331e-05,,0.7542,0.7209
ESMC,True,0.9126730837092979,316,entropy,5,2,0.5,balanced_subsample,0.0064967594981592885,,0.7121,0.7187
