Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_kernel,param_C,param_class_weight,param_shrinking,param_gamma,param_degree,param_coef0
0.5616,0.5513,0.5685,0.5017,0.1176,0.5821,145,224,170,118,AAC,20,0.6153,80,1533,657,rbf,0.06370213884665078,balanced,True,auto,3,0.0
0.6606,0.5095,0.7614,0.5458,0.2789,0.6834,134,300,94,129,DPC,400,0.6925,72,1533,657,rbf,4.47460929948933,balanced,True,auto,3,0.0
0.5312,0.635,0.4619,0.5202,0.0961,0.5597,167,182,212,96,CTDC,21,0.5922,96,1533,657,rbf,1.069839983191125,balanced,False,scale,3,0.0
0.6027,0.076,0.9543,0.1329,0.0637,0.5783,20,376,18,243,CTDT,21,0.592,79,1533,657,sigmoid,123.90199608834513,,True,0.0043919923523738245,3,-0.9300687005425607
0.6088,0.2548,0.8452,0.3427,0.1236,0.6516,67,333,61,196,GAAC,5,0.638,78,1533,657,rbf,1.2271306182092805,,False,9.90513349950699,3,0.0
0.5723,0.597,0.5558,0.5277,0.1497,0.6076,157,219,175,106,PAAC,23,0.6219,64,1533,657,rbf,0.45388897250299914,balanced,True,auto,3,0.0
0.6865,0.4411,0.8503,0.5297,0.3229,0.6873,116,335,59,147,ProtBERT,1024,0.6955,92,1533,657,rbf,1.3608382990296501,,False,auto,3,0.0
0.7093,0.5741,0.7995,0.6126,0.3838,0.7359,151,315,79,112,ProtT5,1024,0.755,80,1533,657,rbf,4.288303008869907,balanced,False,auto,3,0.0
0.7184,0.5247,0.8477,0.5987,0.3977,0.7456,138,334,60,125,ESM2,1280,0.7525,49,1533,657,linear,0.008298342235412445,,True,scale,3,0.0
0.7321,0.5209,0.8731,0.6089,0.4278,0.7322,137,344,50,126,BioBERT,768,0.7475,79,1533,657,rbf,1.3575935866924753,,True,scale,3,0.0
0.7032,0.4677,0.8604,0.5578,0.3617,0.7421,123,339,55,140,ESMC,1152,0.7262,13,1533,657,poly,15.689929657917906,,False,0.00020648898673587604,4,0.47200972806273866
