Rank,Dataset,Depth_used,Best_iter,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,CTDC,7,93,0.7934,0.7123,0.8474,0.7337,0.5659,0.8167,21
2,CTDT,7,97,0.7756,0.661,0.8519,0.7018,0.5257,0.8087,21
3,AAC,6,78,0.788,0.6986,0.8474,0.7247,0.5537,0.8065,20
4,GAAC,7,26,0.7647,0.6164,0.8633,0.6767,0.5004,0.7964,5
5,PAAC,7,99,0.7086,0.637,0.7563,0.6359,0.393,0.7598,23
6,DPC,8,98,0.7086,0.6952,0.7175,0.6559,0.4066,0.7463,400
7,BioBERT,4,99,0.6799,0.5753,0.7494,0.5895,0.3277,0.734,768
8,ProtT5,7,97,0.71,0.5616,0.8087,0.6074,0.3831,0.7231,1024
9,ESM2,7,99,0.6648,0.5445,0.7449,0.5648,0.2935,0.7148,1280
10,ESMC,6,14,0.6744,0.476,0.8064,0.5388,0.3,0.7083,1152
11,ProtBERT,7,94,0.6279,0.4692,0.7335,0.5018,0.2085,0.648,1024
