Rank,Dataset,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,GAAC,0.6963,0.5993,0.7608,0.6119,0.3628,0.6745,5
2,AAC,0.6963,0.5651,0.7836,0.5978,0.3567,0.6743,20
3,DPC,0.6854,0.5822,0.754,0.5965,0.3392,0.6681,400
4,CTDC,0.6648,0.5959,0.7107,0.5868,0.3051,0.6533,21
5,CTDT,0.6539,0.589,0.697,0.5762,0.2842,0.643,21
6,PAAC,0.6375,0.5548,0.6925,0.5501,0.2466,0.6236,23
7,BioBERT,0.6252,0.4966,0.7107,0.5142,0.21,0.6036,768
8,ESM2,0.6183,0.524,0.6811,0.5231,0.2049,0.6025,1280
9,ProtT5,0.6074,0.4795,0.6925,0.4938,0.1738,0.586,1024
10,ESMC,0.5787,0.4932,0.6355,0.4832,0.1279,0.5643,1152
11,ProtBERT,0.5363,0.4349,0.6036,0.4283,0.0384,0.5193,1024
