y_true,y_pred,prob_positive,prob_negative
0,1,1.0,0.0
0,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
0,1,1.0,0.0
0,0,0.0,1.0
1,0,0.0,1.0
1,1,1.0,0.0
1,1,1.0,0.0
1,0,0.0,1.0
1,1,1.0,0.0
1,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
1,0,0.0,1.0
0,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
1,1,1.0,0.0
1,1,1.0,0.0
1,1,1.0,0.0
1,0,0.0,1.0
1,0,0.0,1.0
1,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
1,1,1.0,0.0
0,1,1.0,0.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
1,1,1.0,0.0
1,0,0.0,1.0
1,1,1.0,0.0
1,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
1,1,1.0,0.0
1,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
1,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
1,1,1.0,0.0
0,1,1.0,0.0
0,1,1.0,0.0
1,0,0.0,1.0
1,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
1,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
1,1,1.0,0.0
1,1,1.0,0.0
1,1,1.0,0.0
1,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
0,1,1.0,0.0
0,1,1.0,0.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
1,1,1.0,0.0
1,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
1,0,0.0,1.0
0,1,1.0,0.0
1,0,0.0,1.0
1,1,1.0,0.0
0,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
1,0,0.0,1.0
0,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
1,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
1,1,1.0,0.0
0,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
1,0,0.0,1.0
0,0,0.0,1.0
1,1,1.0,0.0
0,1,1.0,0.0
0,1,1.0,0.0
1,1,1.0,0.0
1,1,1.0,0.0
1,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
0,0,0.0,1.0
0,1,1.0,0.0
0,0,0.0,1.0
1,0,0.0,1.0
0,1,1.0,0.0
0,1,1.0,0.0
0,1,1.0,0.0
1,1,1.0,0.0
0,0,0.0,1.0
1,1,1.0,0.0
0,1,1.0,0.0
0,0,0.0,1.0
