Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,CTDC,0.7597,0.7674,0.5856,0.8884,0.668,0.5062,0.7786,74,21
2,GAAC,0.7628,0.7729,0.5856,0.8975,0.6732,0.5186,0.7674,98,5
3,AAC,0.7735,0.725,0.6918,0.7472,0.6678,0.4345,0.7667,74,20
4,CTDT,0.7593,0.7606,0.5171,0.9226,0.6331,0.4953,0.7439,90,21
5,PAAC,0.7292,0.6635,0.6233,0.6902,0.5967,0.3097,0.6847,93,23
6,DPC,0.6972,0.658,0.5993,0.697,0.5833,0.294,0.6515,72,400
7,ESM2,0.6254,0.5869,0.6507,0.5444,0.5572,0.1915,0.6487,76,1280
8,ProtT5,0.6218,0.6279,0.5514,0.6788,0.5421,0.229,0.6369,75,1024
9,ESMC,0.6361,0.6621,0.3219,0.8884,0.4322,0.2597,0.6325,82,1152
10,BioBERT,0.6375,0.5992,0.5548,0.6287,0.5251,0.1809,0.5885,93,768
11,ProtBERT,0.5427,0.5226,0.4144,0.5945,0.4095,0.0089,0.5212,50,1024
