Dataset,criterion,splitter,min_samples_split,min_samples_leaf,max_features,class_weight,ccp_alpha,max_depth,CV_AUC,Test_AUC
AAC,entropy,best,18,14,,balanced,0.0028510545265397593,,0.7735,0.7667
DPC,gini,best,2,20,,balanced,0.00034287078095178534,27.0,0.6972,0.6515
CTDC,gini,best,12,13,,balanced,0.00470135562682536,6.0,0.7597,0.7786
CTDT,entropy,best,11,20,,,0.006908609830445854,15.0,0.7593,0.7439
GAAC,gini,best,6,15,,balanced,0.002460075257346899,,0.7628,0.7674
PAAC,gini,best,17,19,,balanced,0.0011406380879180828,21.0,0.7292,0.6847
ProtBERT,log_loss,random,11,1,log2,balanced,0.0014879323721677345,,0.5427,0.5212
ProtT5,gini,best,10,15,,balanced,0.004933621418645445,,0.6218,0.6369
ESM2,entropy,best,16,9,,balanced,0.003952896180304377,4.0,0.6254,0.6487
BioBERT,gini,best,18,1,log2,,0.005609350885859245,,0.6375,0.5885
ESMC,gini,best,17,15,,,0.006530942651780442,6.0,0.6361,0.6325
