Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,AAC,0.822,0.7962,0.6096,0.9203,0.705,0.5711,0.8181,94,20
2,CTDC,0.7886,0.7948,0.6918,0.8633,0.7292,0.567,0.8117,43,21
3,CTDT,0.7934,0.7633,0.524,0.9226,0.6388,0.5012,0.8064,92,21
4,GAAC,0.7836,0.7209,0.4041,0.9317,0.5364,0.4093,0.7902,93,5
5,PAAC,0.7886,0.7524,0.5514,0.8861,0.6402,0.4729,0.7782,65,23
6,DPC,0.7724,0.7346,0.6336,0.8018,0.656,0.4412,0.7733,94,400
7,BioBERT,0.7463,0.7196,0.4589,0.8929,0.5666,0.3993,0.7575,65,768
8,ProtT5,0.7327,0.7182,0.4075,0.9248,0.536,0.4011,0.7502,93,1024
9,ESM2,0.7102,0.6908,0.4932,0.8223,0.5603,0.336,0.7295,96,1280
10,ESMC,0.716,0.6922,0.3664,0.9089,0.4875,0.3364,0.723,50,1152
11,ProtBERT,0.6192,0.6512,0.2329,0.9294,0.3478,0.2323,0.66,73,1024
