y_true,y_pred,prob_positive,prob_negative
0,0,0.285,0.7150000000000001
0,0,0.15,0.85
1,0,0.49,0.51
0,0,0.16,0.84
1,0,0.34,0.6599999999999999
0,0,0.355,0.645
0,0,0.275,0.725
0,0,0.17,0.83
0,0,0.24,0.76
1,0,0.155,0.845
1,1,0.725,0.275
1,0,0.395,0.605
1,1,0.545,0.45499999999999996
1,1,0.75,0.25
1,1,0.52,0.48
0,0,0.27,0.73
0,0,0.27,0.73
1,1,0.715,0.28500000000000003
0,1,0.68,0.31999999999999995
1,1,0.73,0.27
0,0,0.15,0.85
1,1,0.75,0.25
1,1,0.535,0.46499999999999997
1,0,0.285,0.7150000000000001
1,1,0.685,0.31499999999999995
1,1,0.73,0.27
1,1,0.565,0.43500000000000005
1,1,0.675,0.32499999999999996
0,0,0.335,0.665
0,0,0.27,0.73
1,0,0.24,0.76
0,0,0.13,0.87
0,0,0.255,0.745
1,0,0.45,0.55
0,0,0.255,0.745
0,0,0.265,0.735
1,0,0.35,0.65
0,0,0.195,0.8049999999999999
0,0,0.18,0.8200000000000001
0,0,0.435,0.565
0,0,0.29,0.71
1,0,0.44,0.56
1,0,0.35,0.65
1,1,0.725,0.275
1,1,0.54,0.45999999999999996
1,1,0.76,0.24
0,0,0.3,0.7
0,0,0.295,0.7050000000000001
1,1,0.675,0.32499999999999996
1,1,0.79,0.20999999999999996
1,0,0.43,0.5700000000000001
0,0,0.195,0.8049999999999999
0,0,0.29,0.71
1,1,0.63,0.37
0,0,0.245,0.755
1,1,0.72,0.28
0,0,0.355,0.645
0,0,0.145,0.855
0,0,0.305,0.6950000000000001
0,0,0.16,0.84
1,0,0.295,0.7050000000000001
0,0,0.13,0.87
0,0,0.24,0.76
0,0,0.265,0.735
0,0,0.255,0.745
1,1,0.535,0.46499999999999997
1,1,0.73,0.27
0,0,0.405,0.595
0,0,0.21,0.79
1,1,0.675,0.32499999999999996
0,0,0.305,0.6950000000000001
0,0,0.285,0.7150000000000001
0,0,0.435,0.565
1,0,0.335,0.665
0,0,0.32,0.6799999999999999
0,0,0.195,0.8049999999999999
1,1,0.61,0.39
1,1,0.655,0.345
1,1,0.805,0.19499999999999995
0,0,0.425,0.575
0,0,0.49,0.51
0,0,0.175,0.825
1,1,0.63,0.37
1,1,0.525,0.475
1,1,0.745,0.255
0,1,0.57,0.43000000000000005
1,1,0.695,0.30500000000000005
1,1,0.67,0.32999999999999996
1,0,0.32,0.6799999999999999
1,1,0.705,0.29500000000000004
1,1,0.705,0.29500000000000004
0,0,0.23,0.77
0,0,0.435,0.565
1,1,0.58,0.42000000000000004
0,0,0.205,0.795
0,0,0.28,0.72
1,1,0.62,0.38
1,0,0.495,0.505
0,0,0.17,0.83
0,0,0.435,0.565
1,1,0.59,0.41000000000000003
0,0,0.185,0.815
0,0,0.17,0.83
0,0,0.315,0.685
1,1,0.685,0.31499999999999995
0,0,0.21,0.79
1,0,0.255,0.745
