y_true,y_pred,prob_positive,prob_negative
0,0,0.284,0.716
0,0,0.424,0.5760000000000001
1,1,0.608,0.392
0,0,0.256,0.744
1,0,0.24,0.76
0,0,0.192,0.808
0,0,0.364,0.636
0,0,0.104,0.896
0,0,0.24,0.76
1,0,0.4,0.6
1,0,0.496,0.504
1,0,0.212,0.788
1,0,0.468,0.532
1,1,0.672,0.32799999999999996
1,0,0.26,0.74
0,0,0.392,0.608
0,0,0.388,0.612
1,1,0.684,0.31599999999999995
0,1,0.596,0.404
1,1,0.732,0.268
0,0,0.124,0.876
1,1,0.528,0.472
1,1,0.632,0.368
1,0,0.456,0.544
1,0,0.5,0.5
1,1,0.624,0.376
1,1,0.66,0.33999999999999997
1,1,0.668,0.33199999999999996
0,0,0.388,0.612
0,0,0.292,0.708
1,0,0.272,0.728
0,0,0.304,0.696
0,0,0.22,0.78
1,1,0.588,0.41200000000000003
0,0,0.2,0.8
0,0,0.308,0.692
1,0,0.356,0.644
0,0,0.224,0.776
0,0,0.092,0.908
0,0,0.272,0.728
0,0,0.344,0.656
1,1,0.516,0.484
1,0,0.38,0.62
1,0,0.448,0.552
1,0,0.34,0.6599999999999999
1,1,0.884,0.11599999999999999
0,0,0.376,0.624
0,0,0.244,0.756
1,1,0.668,0.33199999999999996
1,1,0.532,0.46799999999999997
1,1,0.608,0.392
0,0,0.34,0.6599999999999999
0,0,0.184,0.8160000000000001
1,1,0.648,0.352
0,0,0.204,0.796
1,1,0.656,0.344
0,0,0.296,0.704
0,0,0.248,0.752
0,0,0.444,0.556
0,0,0.228,0.772
1,0,0.252,0.748
0,0,0.2,0.8
0,0,0.184,0.8160000000000001
0,0,0.272,0.728
0,0,0.228,0.772
1,1,0.54,0.45999999999999996
1,1,0.624,0.376
0,0,0.396,0.604
0,0,0.172,0.8280000000000001
1,0,0.44,0.56
0,0,0.312,0.688
0,0,0.2,0.8
0,0,0.3,0.7
1,0,0.34,0.6599999999999999
0,0,0.488,0.512
0,0,0.172,0.8280000000000001
1,1,0.508,0.492
1,1,0.632,0.368
1,1,0.86,0.14
0,0,0.256,0.744
0,0,0.064,0.9359999999999999
0,0,0.264,0.736
1,1,0.54,0.45999999999999996
1,1,0.584,0.41600000000000004
1,0,0.384,0.616
0,1,0.68,0.31999999999999995
1,1,0.532,0.46799999999999997
1,1,0.636,0.364
1,0,0.272,0.728
1,1,0.596,0.404
1,1,0.516,0.484
0,1,0.516,0.484
0,0,0.284,0.716
1,0,0.464,0.536
0,0,0.396,0.604
0,0,0.404,0.596
1,1,0.572,0.42800000000000005
1,0,0.376,0.624
0,0,0.3,0.7
0,0,0.312,0.688
1,0,0.468,0.532
0,0,0.204,0.796
0,0,0.3,0.7
0,0,0.416,0.5840000000000001
1,0,0.436,0.5640000000000001
0,0,0.316,0.6839999999999999
1,1,0.548,0.45199999999999996
0,1,0.536,0.46399999999999997
0,0,0.316,0.6839999999999999
1,1,0.624,0.376
0,0,0.1,0.9
1,0,0.136,0.864
0,0,0.36,0.64
0,1,0.516,0.484
0,0,0.08,0.92
1,1,0.728,0.272
1,1,0.536,0.46399999999999997
0,0,0.232,0.768
0,0,0.324,0.6759999999999999
1,0,0.488,0.512
0,0,0.288,0.712
1,1,0.628,0.372
0,0,0.292,0.708
1,0,0.228,0.772
1,1,0.584,0.41600000000000004
0,1,0.524,0.476
0,0,0.244,0.756
0,0,0.164,0.836
0,0,0.224,0.776
0,0,0.252,0.748
0,0,0.168,0.832
0,0,0.48,0.52
1,0,0.444,0.556
0,0,0.248,0.752
0,0,0.34,0.6599999999999999
0,0,0.152,0.848
0,0,0.428,0.5720000000000001
1,0,0.44,0.56
1,0,0.404,0.596
0,0,0.228,0.772
1,0,0.488,0.512
0,1,0.536,0.46399999999999997
0,0,0.396,0.604
0,0,0.296,0.704
0,0,0.32,0.6799999999999999
0,0,0.128,0.872
0,0,0.196,0.804
0,1,0.604,0.396
0,0,0.276,0.724
0,1,0.612,0.388
0,0,0.34,0.6599999999999999
1,0,0.296,0.704
0,0,0.0,1.0
1,0,0.256,0.744
0,0,0.448,0.552
0,1,0.52,0.48
1,1,0.66,0.33999999999999997
1,0,0.432,0.5680000000000001
1,1,0.66,0.33999999999999997
1,1,0.568,0.43200000000000005
0,0,0.348,0.652
0,0,0.268,0.732
0,0,0.168,0.832
0,0,0.224,0.776
1,1,0.536,0.46399999999999997
0,1,0.616,0.384
0,0,0.304,0.696
0,0,0.296,0.704
1,0,0.448,0.552
0,0,0.26,0.74
1,0,0.16,0.84
0,0,0.268,0.732
0,0,0.496,0.504
0,0,0.244,0.756
1,0,0.284,0.716
0,0,0.16,0.84
0,0,0.256,0.744
0,0,0.388,0.612
0,0,0.292,0.708
0,0,0.148,0.852
0,0,0.356,0.644
0,0,0.412,0.5880000000000001
1,1,0.536,0.46399999999999997
0,0,0.232,0.768
1,0,0.296,0.704
1,0,0.5,0.5
0,0,0.42,0.5800000000000001
1,1,0.504,0.496
0,0,0.248,0.752
0,1,0.544,0.45599999999999996
1,1,0.64,0.36
1,1,0.656,0.344
0,0,0.18,0.8200000000000001
1,1,0.588,0.41200000000000003
1,1,0.508,0.492
1,1,0.636,0.364
1,1,0.512,0.488
1,1,0.54,0.45999999999999996
0,0,0.316,0.6839999999999999
1,0,0.22,0.78
0,0,0.152,0.848
0,1,0.548,0.45199999999999996
0,0,0.356,0.644
0,0,0.192,0.808
0,0,0.204,0.796
0,0,0.264,0.736
1,1,0.608,0.392
1,0,0.476,0.524
0,0,0.388,0.612
1,0,0.472,0.528
0,0,0.18,0.8200000000000001
0,0,0.236,0.764
0,0,0.312,0.688
0,0,0.356,0.644
0,0,0.256,0.744
1,1,0.664,0.33599999999999997
0,0,0.276,0.724
0,0,0.244,0.756
1,0,0.288,0.712
0,0,0.308,0.692
0,0,0.284,0.716
1,0,0.456,0.544
0,1,0.572,0.42800000000000005
0,1,0.604,0.396
0,0,0.256,0.744
1,0,0.264,0.736
0,0,0.44,0.56
0,0,0.36,0.64
0,0,0.128,0.872
0,1,0.524,0.476
1,1,0.584,0.41600000000000004
0,0,0.224,0.776
1,1,0.72,0.28
1,1,0.516,0.484
0,0,0.2,0.8
0,0,0.288,0.712
0,0,0.336,0.6639999999999999
0,0,0.308,0.692
1,1,0.512,0.488
1,1,0.612,0.388
0,0,0.32,0.6799999999999999
0,0,0.336,0.6639999999999999
1,0,0.344,0.656
1,1,0.528,0.472
0,0,0.4,0.6
0,0,0.328,0.6719999999999999
0,0,0.32,0.6799999999999999
0,0,0.304,0.696
0,0,0.236,0.764
1,1,0.66,0.33999999999999997
1,0,0.164,0.836
1,1,0.66,0.33999999999999997
0,0,0.272,0.728
0,0,0.252,0.748
1,1,0.656,0.344
0,0,0.448,0.552
0,1,0.512,0.488
1,0,0.496,0.504
1,1,0.656,0.344
0,1,0.532,0.46799999999999997
0,0,0.492,0.508
1,0,0.24,0.76
0,0,0.204,0.796
0,0,0.136,0.864
0,0,0.328,0.6719999999999999
1,0,0.328,0.6719999999999999
0,0,0.396,0.604
1,1,0.524,0.476
0,0,0.304,0.696
1,0,0.352,0.648
1,0,0.344,0.656
0,0,0.172,0.8280000000000001
0,0,0.212,0.788
1,1,0.56,0.43999999999999995
1,1,0.852,0.14800000000000002
0,0,0.172,0.8280000000000001
0,0,0.092,0.908
0,0,0.38,0.62
0,0,0.5,0.5
1,0,0.38,0.62
0,0,0.348,0.652
0,0,0.164,0.836
1,1,0.568,0.43200000000000005
1,1,0.64,0.36
1,1,0.588,0.41200000000000003
1,1,0.532,0.46799999999999997
1,1,0.64,0.36
1,1,0.616,0.384
1,1,0.648,0.352
1,0,0.464,0.536
0,1,0.66,0.33999999999999997
0,0,0.212,0.788
0,0,0.336,0.6639999999999999
0,0,0.428,0.5720000000000001
0,0,0.396,0.604
1,0,0.292,0.708
0,1,0.772,0.22799999999999998
0,0,0.352,0.648
1,1,0.684,0.31599999999999995
1,0,0.424,0.5760000000000001
0,0,0.28,0.72
1,0,0.5,0.5
1,1,0.556,0.44399999999999995
0,0,0.396,0.604
0,0,0.232,0.768
1,1,0.588,0.41200000000000003
0,0,0.328,0.6719999999999999
0,0,0.404,0.596
1,0,0.38,0.62
0,0,0.392,0.608
1,0,0.348,0.652
1,1,0.812,0.18799999999999994
0,0,0.34,0.6599999999999999
1,1,0.708,0.29200000000000004
0,0,0.232,0.768
0,0,0.316,0.6839999999999999
1,0,0.32,0.6799999999999999
0,1,0.592,0.40800000000000003
0,0,0.268,0.732
0,0,0.316,0.6839999999999999
1,1,0.632,0.368
0,1,0.648,0.352
1,0,0.224,0.776
0,0,0.448,0.552
0,0,0.232,0.768
0,0,0.32,0.6799999999999999
0,0,0.176,0.8240000000000001
1,1,0.528,0.472
0,0,0.136,0.864
1,0,0.32,0.6799999999999999
1,0,0.496,0.504
0,0,0.192,0.808
0,0,0.148,0.852
1,1,0.608,0.392
0,0,0.412,0.5880000000000001
0,0,0.336,0.6639999999999999
1,1,0.508,0.492
1,1,0.572,0.42800000000000005
0,0,0.444,0.556
0,0,0.176,0.8240000000000001
0,0,0.484,0.516
1,0,0.372,0.628
0,0,0.196,0.804
1,0,0.416,0.5840000000000001
0,0,0.308,0.692
0,0,0.38,0.62
1,1,0.512,0.488
1,1,0.612,0.388
0,0,0.388,0.612
0,1,0.696,0.30400000000000005
1,1,0.636,0.364
1,0,0.272,0.728
0,0,0.128,0.872
1,0,0.44,0.56
0,0,0.128,0.872
0,1,0.616,0.384
1,1,0.7,0.30000000000000004
0,0,0.412,0.5880000000000001
0,0,0.176,0.8240000000000001
1,0,0.5,0.5
1,0,0.288,0.712
1,1,0.52,0.48
0,0,0.164,0.836
1,1,0.54,0.45999999999999996
0,0,0.244,0.756
1,1,0.704,0.29600000000000004
0,0,0.204,0.796
1,0,0.496,0.504
1,0,0.428,0.5720000000000001
0,0,0.268,0.732
0,0,0.34,0.6599999999999999
0,0,0.236,0.764
0,0,0.236,0.764
0,0,0.372,0.628
1,0,0.492,0.508
0,0,0.312,0.688
0,0,0.452,0.548
1,0,0.296,0.704
1,1,0.636,0.364
1,1,0.812,0.18799999999999994
1,0,0.256,0.744
1,0,0.436,0.5640000000000001
0,0,0.264,0.736
0,0,0.428,0.5720000000000001
0,0,0.308,0.692
1,0,0.256,0.744
0,0,0.164,0.836
0,0,0.208,0.792
0,0,0.424,0.5760000000000001
0,0,0.224,0.776
0,0,0.388,0.612
0,0,0.192,0.808
1,1,0.528,0.472
1,1,0.536,0.46399999999999997
1,1,0.72,0.28
1,1,0.628,0.372
0,0,0.228,0.772
1,1,0.576,0.42400000000000004
0,0,0.296,0.704
0,0,0.188,0.812
1,1,0.596,0.404
0,1,0.552,0.44799999999999995
0,0,0.436,0.5640000000000001
0,0,0.284,0.716
1,1,0.664,0.33599999999999997
0,0,0.408,0.5920000000000001
1,1,0.608,0.392
0,0,0.196,0.804
1,0,0.224,0.776
0,1,0.776,0.22399999999999998
0,0,0.224,0.776
0,1,0.724,0.276
0,0,0.22,0.78
0,0,0.344,0.656
1,1,0.712,0.28800000000000003
0,0,0.148,0.852
0,0,0.108,0.892
1,1,0.712,0.28800000000000003
1,1,0.592,0.40800000000000003
0,0,0.204,0.796
0,0,0.22,0.78
1,1,0.66,0.33999999999999997
0,0,0.288,0.712
0,0,0.2,0.8
0,0,0.384,0.616
0,0,0.24,0.76
0,0,0.136,0.864
1,1,0.624,0.376
0,0,0.404,0.596
1,0,0.42,0.5800000000000001
1,1,0.572,0.42800000000000005
1,0,0.408,0.5920000000000001
0,0,0.316,0.6839999999999999
1,1,0.62,0.38
1,1,0.756,0.244
0,0,0.268,0.732
0,0,0.252,0.748
1,1,0.692,0.30800000000000005
0,0,0.3,0.7
0,0,0.376,0.624
0,0,0.14,0.86
1,1,0.52,0.48
1,0,0.212,0.788
0,0,0.232,0.768
0,1,0.548,0.45199999999999996
0,0,0.092,0.908
0,0,0.336,0.6639999999999999
0,0,0.272,0.728
1,1,0.676,0.32399999999999995
1,0,0.248,0.752
0,0,0.2,0.8
