Rank,Dataset,N_used,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,AAC,200,0.7907,0.6096,0.9112,0.6994,0.5583,0.8289,20
2,CTDC,250,0.7606,0.5514,0.8998,0.6479,0.4919,0.8211,21
3,DPC,300,0.7715,0.589,0.8929,0.6732,0.5153,0.8166,400
4,CTDT,300,0.7373,0.4829,0.9066,0.5949,0.4412,0.7994,21
5,PAAC,100,0.7373,0.4589,0.9226,0.5826,0.4441,0.7874,23
6,BioBERT,300,0.7278,0.4281,0.9271,0.5568,0.4236,0.7443,768
7,ProtT5,300,0.6949,0.3219,0.9431,0.4574,0.3515,0.737,1024
8,ESM2,150,0.6867,0.3322,0.9226,0.4586,0.3253,0.7304,1280
9,ESMC,250,0.6813,0.3253,0.918,0.4492,0.3108,0.7255,1152
10,GAAC,200,0.7223,0.6096,0.7973,0.6369,0.4139,0.7188,5
11,ProtBERT,300,0.6416,0.1507,0.9681,0.2514,0.2153,0.6604,1024
