Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_metric,param_algorithm,param_p,param_leaf_size,param_n_neighbors,param_weights
0.7114,0.3733,0.9362,0.5082,0.3885,0.7524,109,411,28,183,AAC,20,0.7441,15,1704,731,minkowski,kd_tree,1,100,30,distance
0.6566,0.4144,0.8178,0.4909,0.2547,0.7011,121,359,80,171,DPC,400,0.683,18,1704,731,minkowski,ball_tree,1,82,3,distance
0.6334,0.2192,0.9089,0.3232,0.1796,0.6693,64,399,40,228,CTDC,21,0.6405,43,1704,731,manhattan,ball_tree,2,91,25,distance
0.6471,0.3219,0.8633,0.4215,0.2225,0.6826,94,379,60,198,CTDT,21,0.6651,52,1704,731,manhattan,ball_tree,2,72,25,distance
0.6279,0.274,0.8633,0.3704,0.1709,0.6386,80,379,60,212,GAAC,5,0.6751,50,1704,731,manhattan,kd_tree,2,40,15,distance
0.6731,0.3425,0.8929,0.4556,0.2877,0.7017,100,392,47,192,PAAC,23,0.7156,30,1704,731,manhattan,brute,2,30,30,distance
0.6594,0.2637,0.9226,0.3821,0.2542,0.6197,77,405,34,215,ProtBERT,1024,0.6047,12,1704,731,cosine,brute,2,30,30,distance
0.6799,0.3973,0.8679,0.4979,0.3049,0.6927,116,381,58,176,ProtT5,1024,0.6857,29,1704,731,manhattan,kd_tree,2,71,18,distance
0.6594,0.3459,0.8679,0.4479,0.2538,0.6755,101,381,58,191,ESM2,1280,0.6825,19,1704,731,cosine,brute,2,30,21,distance
0.6963,0.3938,0.8975,0.5088,0.3451,0.7158,115,394,45,177,BioBERT,768,0.7113,31,1704,731,cosine,brute,2,30,28,distance
0.6785,0.3493,0.8975,0.4647,0.3016,0.6997,102,394,45,190,ESMC,1152,0.6939,41,1704,731,cosine,brute,2,30,28,distance
