Rank,Dataset,CV_AUC,Best_Iter,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,CTDC,0.8109,0,0.7989,0.7192,0.8519,0.7407,0.5774,0.8167,83,21
2,AAC,0.8243,0,0.7866,0.7089,0.8383,0.7263,0.552,0.812,91,20
3,CTDT,0.8017,259,0.788,0.7021,0.8451,0.7257,0.554,0.807,73,21
4,DPC,0.7936,0,0.7387,0.7432,0.7358,0.6944,0.471,0.797,79,400
5,GAAC,0.804,192,0.7729,0.7123,0.8132,0.7148,0.5262,0.7954,54,5
6,PAAC,0.7976,311,0.7688,0.637,0.8565,0.6876,0.51,0.7861,89,23
7,BioBERT,0.7351,0,0.6895,0.6301,0.7289,0.6185,0.357,0.7429,92,768
8,ProtT5,0.7305,0,0.7182,0.4521,0.8952,0.5617,0.3963,0.7403,85,1024
9,ESM2,0.7165,0,0.6854,0.5274,0.7904,0.5725,0.3294,0.7214,82,1280
10,ESMC,0.7191,180,0.7086,0.4692,0.8679,0.5626,0.3733,0.7186,87,1152
11,ProtBERT,0.6276,124,0.6402,0.2774,0.8815,0.3812,0.2018,0.6503,95,1024
