Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Best_Iter,Train_N,Test_N,param_boosting_type,param_subsample,param_n_estimators,param_num_leaves,param_max_depth,param_learning_rate,param_min_child_samples,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_split_gain,param_scale_pos_weight,param_path_smooth,param_extra_trees
0.7866,0.7089,0.8383,0.7263,0.552,0.812,207,368,71,85,AAC,20,0.8243,91,0,1704,731,dart,0.9078633354537415,395,55,3,0.21507735307269524,40,0.9568252525908645,0.0005406028021611593,2.874600742191278e-07,1.2841464410865684,1.563325762013081,0.047139517128263815,False
0.7387,0.7432,0.7358,0.6944,0.471,0.797,217,323,116,75,DPC,400,0.7936,79,0,1704,731,dart,0.8376883610401565,232,253,18,0.07707554292265381,5,0.41764716970202986,0.0022563677242359637,2.0520905158269305e-05,0.9527819698057107,2.959365249543598,0.5283877769440942,False
0.7989,0.7192,0.8519,0.7407,0.5774,0.8167,210,374,65,82,CTDC,21,0.8109,83,0,1704,731,dart,0.8013411169418938,406,49,9,0.10036132475762793,15,0.30388467040313244,1.5312670436272652e-06,0.7725378235012684,1.9083528449862146,1.9388925580831655,0.13240832569905364,False
0.788,0.7021,0.8451,0.7257,0.554,0.807,205,371,68,87,CTDT,21,0.8017,73,259,1704,731,gbdt,0.864612980213112,302,60,15,0.00891649471265699,23,0.34986997719904867,0.0210479774857713,0.00011300435498839922,3.648442644611852,1.9985493746735346,0.35373622367267477,False
0.7729,0.7123,0.8132,0.7148,0.5262,0.7954,208,357,82,84,GAAC,5,0.804,54,192,1704,731,gbdt,0.8924302124150274,358,71,17,0.01448623917237611,27,0.569816029856747,0.003616082329342683,0.061213211060715485,1.2091803923723659,2.10716341236408,0.6241728156167445,False
0.7688,0.637,0.8565,0.6876,0.51,0.7861,186,376,63,106,PAAC,23,0.7976,89,311,1704,731,goss,1.0,492,39,12,0.006117956959350267,10,0.3609400320124921,0.012458917662616942,1.0849655718786726,0.495988663899962,1.4316867019281774,0.022003902797091975,False
0.6402,0.2774,0.8815,0.3812,0.2018,0.6503,81,387,52,211,ProtBERT,1024,0.6276,95,124,1704,731,goss,1.0,340,77,16,0.012879918840180325,10,0.7930064972122185,0.0030540291481101047,1.1874853707754382e-08,1.58231141193988,1.0205941803286749,0.31229730545132967,True
0.7182,0.4521,0.8952,0.5617,0.3963,0.7403,132,393,46,160,ProtT5,1024,0.7305,85,0,1704,731,dart,0.6590895396244573,266,67,19,0.06036640264606619,7,0.44501420356559473,0.00037096827501062083,0.0006497066762041416,0.013797479344773288,1.035963166295369,0.24910193642882153,True
0.6854,0.5274,0.7904,0.5725,0.3294,0.7214,154,347,92,138,ESM2,1280,0.7165,82,0,1704,731,dart,0.817700659634779,428,164,16,0.12425123112976347,59,0.944791709622791,0.0006827731572352935,3.310552915004044e-05,0.28361120871683676,1.4422516991962353,0.6784477932665421,True
0.6895,0.6301,0.7289,0.6185,0.357,0.7429,184,320,119,108,BioBERT,768,0.7351,92,0,1704,731,dart,0.9339364617437717,395,182,19,0.21182679103339974,95,0.6586857768614724,0.0008238041112467296,0.004265316742647786,1.5008318291214628,1.7162363957661744,0.7176793670429211,True
0.7086,0.4692,0.8679,0.5626,0.3733,0.7186,137,381,58,155,ESMC,1152,0.7191,87,180,1704,731,gbdt,0.7711919658823971,366,116,5,0.03132275308159979,59,0.6247917043059651,5.843339231593486e-07,0.00013304071070443304,0.048885309464637317,1.0548648319540526,0.12622265225575607,True
