Dataset,penalty,solver,C,max_iter,class_weight,fit_intercept,tol,l1_ratio,CV_AUC,Test_AUC
AAC,l2,lbfgs,0.012660539425408096,4180,balanced,False,0.009969069558221856,,0.5809,0.5714
DPC,elasticnet,saga,0.009135035365181395,2669,,False,1.407333028455948e-05,0.1479524429115764,0.5981,0.5835
CTDC,elasticnet,saga,0.029986361043087977,409,,False,1.8815531348690223e-06,0.9696048638251105,0.5597,0.5302
CTDT,elasticnet,saga,0.04424618409801989,2345,,False,6.110320799197055e-06,0.4227716423460555,0.5457,0.52
GAAC,l2,liblinear,0.0001548734956442606,4990,,False,0.008193449288766936,,0.5268,0.5115
PAAC,l2,liblinear,0.000467331823419684,3851,balanced,True,9.572676788442446e-05,,0.5873,0.564
ProtBERT,l2,newton-cg,0.0012902632506281194,1119,,True,8.212589003960868e-06,,0.6444,0.6614
ProtT5,l2,liblinear,0.004511980169981691,2256,balanced,False,1.1929479442416498e-05,,0.7043,0.7382
ESM2,elasticnet,saga,0.303477356308485,3228,balanced,False,0.006488182096824385,0.5960335537836029,0.755,0.7475
BioBERT,l2,saga,0.039325331786273454,4262,,False,0.0002222231442727931,,0.7316,0.7327
ESMC,l2,liblinear,0.008871840634018573,4472,balanced,True,8.487860934696093e-06,,0.7265,0.7233
