Rank,Dataset,NB_Type,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,DPC,bernoulli,0.7664,0.7715,0.6712,0.8383,0.7013,0.5183,0.7769,79,400
2,BioBERT,bernoulli,0.6808,0.6744,0.5959,0.7267,0.5939,0.3222,0.6973,81,768
3,ESMC,bernoulli,0.6733,0.6525,0.4692,0.7745,0.5189,0.2552,0.6783,81,1152
4,ESM2,bernoulli,0.6648,0.632,0.5514,0.6856,0.5448,0.2361,0.6696,93,1280
5,AAC,bernoulli,0.6976,0.6676,0.4829,0.7904,0.5371,0.2873,0.6637,96,20
6,PAAC,bernoulli,0.6536,0.6416,0.3836,0.8132,0.4609,0.2183,0.6572,81,23
7,ProtT5,bernoulli,0.6529,0.6211,0.5753,0.6515,0.5481,0.2239,0.6524,99,1024
8,CTDT,bernoulli,0.6546,0.6183,0.387,0.7722,0.4475,0.1716,0.6118,61,21
9,GAAC,bernoulli,0.5984,0.6115,0.2123,0.877,0.3039,0.1197,0.5861,83,5
10,CTDC,bernoulli,0.5927,0.5773,0.2877,0.7699,0.3522,0.0649,0.5653,98,21
11,ProtBERT,bernoulli,0.589,0.5718,0.4281,0.6674,0.444,0.0969,0.5583,81,1024
