Dataset,nb_type,alpha,binarize,class_prior_pos,CV_AUC,Test_AUC
AAC,bernoulli,0.23174936116904055,0.1516999598518423,0.4931801086921123,0.6976,0.6637
DPC,bernoulli,0.23928914141882496,0.49951893883895954,0.6443450732861411,0.7664,0.7769
CTDC,bernoulli,3.385143570799025,0.593875876221196,0.30878806562714184,0.5927,0.5653
CTDT,bernoulli,0.009218917781736344,0.18366209239761494,0.6254179429886841,0.6546,0.6118
GAAC,bernoulli,2.573326065333767,0.13761683062784863,0.315215663462923,0.5984,0.5861
PAAC,bernoulli,0.027026881342881316,0.17728681411428357,0.4279657418840772,0.6536,0.6572
ProtBERT,bernoulli,0.010021339102702644,0.3127566501023742,0.4681284888547553,0.589,0.5583
ProtT5,bernoulli,0.976956518101987,0.7032919677406188,0.43875960894201516,0.6529,0.6524
ESM2,bernoulli,0.0018493832567495142,0.6922533055534704,0.4241993910231276,0.6648,0.6696
BioBERT,bernoulli,0.8023339635593604,0.2961784375437159,0.5735320904116581,0.6808,0.6973
ESMC,bernoulli,0.15063958957171272,0.3317524772129789,0.4655800362847606,0.6733,0.6783
