Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,CTDC,0.7993,0.8098,0.7123,0.8747,0.7495,0.5991,0.8245,72,21
2,AAC,0.8206,0.7962,0.6575,0.8884,0.7205,0.5688,0.8185,70,20
3,CTDT,0.7965,0.8057,0.6712,0.8952,0.7341,0.5896,0.8129,81,21
4,GAAC,0.7972,0.7934,0.6747,0.8724,0.7229,0.5633,0.7992,20,5
5,DPC,0.7943,0.7811,0.6404,0.8747,0.7004,0.5361,0.7942,75,400
6,PAAC,0.7926,0.7538,0.5342,0.8998,0.6341,0.4768,0.7732,81,23
7,BioBERT,0.7402,0.7278,0.4795,0.8929,0.5846,0.418,0.7597,97,768
8,ProtT5,0.7301,0.7114,0.4726,0.8702,0.5667,0.3796,0.7434,91,1024
9,ESM2,0.7121,0.7114,0.4075,0.9134,0.5301,0.3828,0.7299,97,1280
10,ESMC,0.7155,0.6895,0.387,0.8907,0.4989,0.3281,0.7188,90,1152
11,ProtBERT,0.6245,0.6676,0.2603,0.9385,0.3848,0.2798,0.6538,74,1024
