Dataset,max_depth,bootstrap,max_samples,n_estimators,criterion,min_samples_split,min_samples_leaf,max_features,class_weight,min_impurity_decrease,CV_AUC,Test_AUC
AAC,23.0,True,0.5423375390325311,227,entropy,5,1,1.0,balanced_subsample,0.005003880304873979,0.8206,0.8185
DPC,28.0,True,0.5476808311072088,274,entropy,9,1,log2,balanced_subsample,0.0016663383450379635,0.7943,0.7942
CTDC,14.0,True,0.909290198833115,238,entropy,19,10,0.7,balanced_subsample,0.0017575187812497598,0.7993,0.8245
CTDT,10.0,True,0.9594797856217938,363,entropy,12,7,0.7,balanced_subsample,0.00216711512603459,0.7965,0.8129
GAAC,,True,0.6770817201508793,167,log_loss,2,1,log2,balanced,0.00449698514178375,0.7972,0.7992
PAAC,11.0,True,0.7123305822344673,300,entropy,12,1,1.0,,0.000352083768084765,0.7926,0.7732
ProtBERT,,True,0.7088406647325926,371,entropy,14,2,1.0,balanced_subsample,0.006328825644675826,0.6245,0.6538
ProtT5,20.0,False,,311,entropy,4,7,0.3,balanced_subsample,0.0010429051555048167,0.7301,0.7434
ESM2,,True,0.8994812499317606,392,log_loss,5,1,0.3,,0.005727214714644904,0.7121,0.7299
BioBERT,16.0,False,,476,entropy,12,1,0.3,,0.0043103482584465795,0.7402,0.7597
ESMC,,True,0.9964932117930638,255,log_loss,7,3,1.0,balanced_subsample,0.00619339275836764,0.7155,0.7188
