Rank,Dataset,Kernel_used,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,ESM2,rbf,0.7004,0.5342,0.8109,0.5876,0.3604,0.7542,1280
2,ProtT5,rbf,0.7319,0.5514,0.8519,0.6216,0.4274,0.7539,1024
3,BioBERT,rbf,0.7401,0.5856,0.8428,0.6429,0.4469,0.7459,768
4,ESMC,rbf,0.7045,0.5342,0.8178,0.5909,0.3687,0.7389,1152
5,DPC,poly,0.606,0.8288,0.4579,0.6269,0.2957,0.7045,400
6,ProtBERT,rbf,0.6689,0.5274,0.7631,0.56,0.2977,0.6919,1024
7,PAAC,rbf,0.5787,0.6062,0.5604,0.5347,0.1631,0.6246,23
8,AAC,rbf,0.5705,0.5788,0.5649,0.5184,0.1408,0.6211,20
9,CTDT,rbf,0.5718,0.6096,0.5467,0.5321,0.1532,0.613,21
10,CTDC,rbf,0.5349,0.6027,0.4897,0.5087,0.091,0.5733,21
11,GAAC,poly,0.435,0.9041,0.123,0.5611,0.0421,0.5569,5
