Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_kernel,param_C,param_class_weight,param_shrinking,param_gamma,param_degree,param_coef0
0.5677,0.5651,0.5695,0.5108,0.1319,0.6188,165,250,189,127,AAC,20,0.6207,15,1704,731,rbf,1.7313372154799516,balanced,True,scale,3,0.0
0.4378,0.9589,0.0911,0.5767,0.0953,0.7163,280,40,399,12,DPC,400,0.6983,60,1704,731,poly,545.4268658498451,balanced,True,0.3251512590305264,5,-0.6436331115138182
0.539,0.5753,0.5148,0.4993,0.0884,0.5758,168,226,213,124,CTDC,21,0.5817,53,1704,731,rbf,2.0140980500235193,balanced,True,scale,3,0.0
0.5609,0.5925,0.5399,0.5187,0.1297,0.6164,173,237,202,119,CTDT,21,0.5881,90,1704,731,rbf,1.3637385852103043,balanced,True,scale,3,0.0
0.3995,1.0,0.0,0.5709,0.0,0.4278,292,0,439,0,GAAC,5,0.6078,28,1704,731,rbf,0.001220308864252449,balanced,True,8.861541075085228,3,0.0
0.6306,0.339,0.8246,0.4231,0.1875,0.6199,99,362,77,193,PAAC,23,0.6294,77,1704,731,rbf,1.23523317836498,balanced,False,0.19668843423869264,3,0.0
0.6005,0.0,1.0,0.0,0.0,0.6811,0,439,0,292,ProtBERT,1024,0.6589,32,1704,731,rbf,0.008371043565860976,,True,scale,3,0.0
0.7264,0.5959,0.8132,0.635,0.42,0.7734,174,357,82,118,ProtT5,1024,0.7269,4,1704,731,rbf,2.6285043252772544,balanced,True,auto,3,0.0
0.71,0.5171,0.8383,0.5875,0.3785,0.754,151,368,71,141,ESM2,1280,0.7556,60,1704,731,linear,0.00815008193612546,,False,scale,3,0.0
0.7237,0.5753,0.8223,0.6245,0.4122,0.7468,168,361,78,124,BioBERT,768,0.7383,68,1704,731,poly,0.04826331815965161,balanced,True,scale,5,0.9856051615727437
0.725,0.5068,0.8702,0.5956,0.4111,0.7424,148,382,57,144,ESMC,1152,0.7419,73,1704,731,rbf,2.7941404646413783,,False,auto,3,0.0
