Dataset,kernel,C,class_weight,shrinking,gamma,degree,coef0,CV_AUC,Test_AUC
AAC,rbf,1.7313372154799516,balanced,True,scale,3,0.0,0.6207,0.6188
DPC,poly,545.4268658498451,balanced,True,0.3251512590305264,5,-0.6436331115138182,0.6983,0.7163
CTDC,rbf,2.0140980500235193,balanced,True,scale,3,0.0,0.5817,0.5758
CTDT,rbf,1.3637385852103043,balanced,True,scale,3,0.0,0.5881,0.6164
GAAC,rbf,0.001220308864252449,balanced,True,8.861541075085228,3,0.0,0.6078,0.4278
PAAC,rbf,1.23523317836498,balanced,False,0.19668843423869264,3,0.0,0.6294,0.6199
ProtBERT,rbf,0.008371043565860976,,True,scale,3,0.0,0.6589,0.6811
ProtT5,rbf,2.6285043252772544,balanced,True,auto,3,0.0,0.7269,0.7734
ESM2,linear,0.00815008193612546,,False,scale,3,0.0,0.7556,0.754
BioBERT,poly,0.04826331815965161,balanced,True,scale,5,0.9856051615727437,0.7383,0.7468
ESMC,rbf,2.7941404646413783,,False,auto,3,0.0,0.7419,0.7424
