y_true,y_pred,prob_positive,prob_negative
0,0,0.0772135,0.9227865
0,0,0.1552895,0.84471047
1,0,0.35745394,0.64254606
0,0,0.18649079,0.8135092
1,0,0.32138535,0.6786146
0,0,0.21087387,0.78912616
0,0,0.20502448,0.7949755
0,0,0.042769726,0.95723027
0,0,0.13505994,0.86494005
1,0,0.07871958,0.92128044
1,1,0.96794385,0.032056153
1,0,0.31376946,0.68623054
1,1,0.8065173,0.1934827
1,1,0.9519166,0.048083425
1,1,0.77002025,0.22997975
0,0,0.24189876,0.7581012
0,0,0.34262633,0.65737367
1,1,0.9417035,0.0582965
0,1,0.897285,0.102715015
1,1,0.96675974,0.03324026
0,0,0.11687973,0.8831203
1,1,0.9633009,0.036699116
1,1,0.9485753,0.051424682
1,0,0.12078793,0.8792121
1,1,0.9263217,0.073678315
1,1,0.96590024,0.034099758
1,1,0.8951604,0.10483962
1,1,0.96984833,0.030151665
0,0,0.40370938,0.5962906
0,0,0.09804976,0.90195024
1,0,0.3034199,0.6965801
0,0,0.07104688,0.9289531
0,0,0.24409875,0.7559012
1,1,0.6371967,0.36280328
0,0,0.18090355,0.81909645
0,0,0.47207004,0.52792996
1,0,0.4904596,0.50954044
0,0,0.12090369,0.8790963
0,0,0.043969933,0.9560301
0,0,0.4633304,0.5366696
0,0,0.18494868,0.8150513
1,1,0.690864,0.30913597
1,0,0.3718774,0.62812257
1,1,0.9071067,0.0928933
1,1,0.7711637,0.2288363
1,1,0.85876656,0.14123344
0,0,0.30872825,0.6912718
0,0,0.2861414,0.7138586
1,1,0.93349695,0.06650305
1,1,0.9644144,0.035585582
1,1,0.86427605,0.13572395
0,0,0.08431412,0.9156859
0,0,0.33708382,0.6629162
1,1,0.86926824,0.13073176
0,0,0.14030378,0.8596962
1,1,0.9573702,0.04262978
0,0,0.17986412,0.8201359
0,0,0.23629642,0.7637036
0,0,0.1751008,0.8248992
0,0,0.04289732,0.95710266
1,0,0.22732401,0.772676
0,0,0.08996381,0.9100362
0,0,0.2838436,0.71615636
0,0,0.07427618,0.9257238
0,0,0.27912793,0.72087204
1,1,0.75825065,0.24174935
1,1,0.87788975,0.12211025
0,0,0.42205107,0.5779489
0,0,0.08420172,0.9157983
1,1,0.9362692,0.06373078
0,0,0.12755615,0.87244385
0,0,0.26191902,0.738081
0,1,0.56903076,0.43096924
1,0,0.30642036,0.6935797
0,1,0.68806624,0.31193376
0,0,0.1262699,0.87373006
1,1,0.7376614,0.26233858
1,1,0.95995116,0.040048838
1,1,0.917666,0.08233398
0,1,0.5253666,0.4746334
0,1,0.7677564,0.2322436
0,0,0.0786941,0.9213059
1,1,0.7078015,0.29219848
1,1,0.8813421,0.11865789
1,1,0.9590886,0.040911376
0,1,0.8587789,0.1412211
1,1,0.9300145,0.06998551
1,1,0.9711288,0.028871179
1,0,0.16830508,0.8316949
1,1,0.97163963,0.028360367
1,1,0.9714035,0.02859652
0,0,0.24698772,0.7530123
0,0,0.2575244,0.7424756
1,1,0.9353479,0.064652085
0,0,0.07857391,0.92142606
0,1,0.5141265,0.48587352
1,1,0.8221401,0.1778599
1,1,0.64127296,0.35872704
0,0,0.27953038,0.7204696
0,0,0.4396617,0.56033826
1,1,0.9166402,0.08335978
0,0,0.34968287,0.65031713
0,0,0.050862115,0.94913787
0,0,0.42396805,0.5760319
1,1,0.9649264,0.03507358
0,0,0.118336536,0.88166344
1,0,0.23281325,0.76718676
0,1,0.54197854,0.45802146
0,0,0.18342932,0.8165707
1,1,0.9709427,0.029057324
0,0,0.41546315,0.58453685
1,0,0.082711376,0.9172886
0,0,0.16505115,0.83494884
0,1,0.89818597,0.10181403
0,0,0.118554965,0.88144505
1,1,0.8599372,0.14006281
1,0,0.41550022,0.5844998
0,0,0.1532857,0.8467143
0,0,0.21477877,0.7852212
1,0,0.4989712,0.5010288
0,0,0.056568604,0.9434314
1,1,0.85292,0.14708
0,0,0.046379786,0.9536202
1,0,0.43885115,0.5611489
1,1,0.8412501,0.15874988
0,0,0.44163808,0.5583619
0,0,0.2167741,0.7832259
0,0,0.16698523,0.8330148
0,0,0.24038859,0.7596114
0,0,0.06223373,0.93776625
0,0,0.45096987,0.5490301
0,1,0.787774,0.21222597
1,1,0.95910513,0.040894866
0,0,0.29397067,0.7060293
0,0,0.2977242,0.7022758
0,1,0.52219355,0.47780645
0,1,0.6042501,0.39574993
1,1,0.90894943,0.091050565
1,0,0.15445471,0.8455453
0,0,0.091280065,0.90871996
1,1,0.8580745,0.14192551
0,1,0.8681052,0.13189483
0,0,0.38029337,0.61970663
0,0,0.24705118,0.7529488
0,1,0.94735384,0.05264616
0,0,0.10683143,0.89316857
0,0,0.13422592,0.8657741
0,1,0.8121289,0.1878711
0,0,0.16870555,0.8312944
0,1,0.85518837,0.14481163
0,0,0.164147,0.835853
1,0,0.15562567,0.8443743
0,0,0.23919415,0.76080585
1,0,0.23708473,0.76291525
0,0,0.20463394,0.79536605
0,1,0.6228551,0.37714487
1,1,0.9712607,0.028739274
1,1,0.547234,0.452766
1,1,0.91404593,0.08595407
1,1,0.9598528,0.040147185
0,0,0.124200635,0.87579936
0,0,0.4518428,0.5481572
0,0,0.21380216,0.78619784
0,0,0.10894014,0.8910599
1,1,0.982601,0.017399013
0,1,0.8972513,0.10274869
0,0,0.23675878,0.76324123
0,0,0.15807873,0.84192127
1,0,0.2830389,0.7169611
0,0,0.2192553,0.7807447
1,1,0.5571,0.4429
0,0,0.1882552,0.8117448
0,0,0.21825323,0.78174675
0,0,0.08693034,0.91306967
1,1,0.60175776,0.39824224
0,0,0.11424559,0.8857544
0,0,0.18513934,0.81486064
0,0,0.07802711,0.9219729
0,1,0.61881906,0.38118094
0,0,0.35798272,0.64201725
0,0,0.2483914,0.7516086
0,0,0.28793,0.71207
1,1,0.8198654,0.1801346
0,0,0.43264693,0.56735307
1,0,0.3551949,0.6448051
1,1,0.7921123,0.20788771
0,0,0.13951257,0.86048746
1,1,0.9056222,0.094377816
0,1,0.5757478,0.4242522
0,1,0.8490114,0.15098858
1,1,0.97520626,0.024793744
1,1,0.8575965,0.14240348
0,0,0.24604766,0.7539523
1,1,0.9073307,0.09266931
1,1,0.85156804,0.14843196
1,1,0.93481797,0.06518203
1,1,0.9312275,0.068772495
1,1,0.815031,0.18496901
0,0,0.2364047,0.7635953
1,0,0.29759625,0.7024038
0,0,0.078646146,0.9213539
0,0,0.15867558,0.84132445
0,0,0.19022456,0.8097755
0,0,0.1715945,0.8284055
0,0,0.46394438,0.5360556
0,0,0.21830797,0.781692
1,0,0.31895733,0.6810427
1,1,0.61539596,0.38460404
0,0,0.058776557,0.94122344
1,1,0.69469,0.30531
0,0,0.2491962,0.7508038
0,0,0.36618522,0.6338148
0,0,0.3493276,0.65067244
0,0,0.06429006,0.93570995
0,0,0.38069198,0.619308
1,1,0.9666069,0.033393085
0,1,0.586292,0.41370797
0,0,0.16081993,0.83918005
1,1,0.62838906,0.37161094
0,0,0.47439617,0.52560383
0,0,0.4061443,0.59385574
1,1,0.8244622,0.17553782
0,1,0.86030954,0.13969046
0,0,0.2683233,0.7316767
0,0,0.034528308,0.9654717
1,1,0.7808329,0.21916711
0,0,0.29460543,0.70539457
0,0,0.3404074,0.6595926
0,0,0.18405765,0.81594235
0,1,0.8780848,0.12191522
1,1,0.9412966,0.058703423
0,0,0.20822005,0.79177994
1,1,0.851264,0.148736
1,1,0.9152012,0.08479881
0,0,0.48849624,0.51150376
0,0,0.47647536,0.52352464
0,0,0.069637485,0.9303625
0,0,0.11905553,0.8809445
1,1,0.7190993,0.28090072
1,1,0.7291327,0.2708673
0,0,0.22827645,0.77172357
0,0,0.4505496,0.5494504
1,0,0.26406604,0.73593396
1,1,0.79374427,0.20625573
0,0,0.36937758,0.6306224
0,0,0.09195605,0.908044
0,0,0.19815888,0.80184114
