y_true,y_pred,prob_positive,prob_negative
0,0,0.27788696,0.722113
0,0,0.39963603,0.60036397
1,1,0.6877972,0.3122028
0,0,0.16911095,0.83088905
1,0,0.27482945,0.72517055
0,0,0.1257438,0.8742562
0,1,0.6465586,0.35344142
0,0,0.11826098,0.881739
0,0,0.23387703,0.76612294
1,0,0.22425485,0.77574515
1,1,0.8143206,0.18567938
1,0,0.21563895,0.78436106
1,1,0.88305384,0.11694616
1,1,0.8949813,0.105018675
1,0,0.35402995,0.64597005
0,1,0.5762719,0.4237281
0,0,0.36528328,0.63471675
1,1,0.78829575,0.21170425
0,1,0.81430715,0.18569285
1,1,0.94876957,0.05123043
0,0,0.22341873,0.7765813
1,1,0.78561646,0.21438354
1,1,0.8990918,0.10090822
1,0,0.38372675,0.6162733
1,1,0.93556315,0.06443685
1,1,0.94455916,0.055440843
1,1,0.8836392,0.11636078
1,1,0.9140518,0.08594823
0,0,0.44760275,0.55239725
0,0,0.3568894,0.64311063
1,0,0.21533497,0.78466505
0,0,0.38101175,0.6189883
0,1,0.52587825,0.47412175
1,1,0.7379132,0.2620868
0,0,0.1581177,0.8418823
0,0,0.27342156,0.7265785
1,0,0.33086544,0.66913456
0,0,0.23148856,0.7685114
0,0,0.18668513,0.81331486
0,0,0.44930562,0.55069435
0,0,0.24741,0.75259
1,1,0.9097998,0.090200186
1,0,0.26008415,0.73991585
1,1,0.6996817,0.3003183
1,1,0.7124945,0.2875055
1,1,0.7942908,0.20570922
0,0,0.4464197,0.5535803
0,0,0.23849605,0.76150393
1,1,0.95824695,0.041753054
1,1,0.9235412,0.07645881
1,1,0.87685674,0.123143256
0,0,0.4952889,0.5047111
0,0,0.2361997,0.76380026
1,1,0.90305364,0.09694636
0,0,0.24925514,0.7507449
1,1,0.92782533,0.07217467
0,0,0.20054741,0.7994526
0,0,0.28650215,0.7134979
0,0,0.46440053,0.53559947
0,0,0.17118736,0.82881266
1,0,0.2997062,0.7002938
0,0,0.1276408,0.8723592
0,0,0.3903305,0.6096695
0,0,0.19916321,0.8008368
0,0,0.30005568,0.6999443
1,1,0.6879655,0.3120345
1,1,0.9114228,0.08857721
0,0,0.38810676,0.61189324
0,0,0.23194428,0.76805574
1,1,0.8290127,0.17098731
0,0,0.33048198,0.669518
0,0,0.3334365,0.6665635
0,0,0.35331237,0.6466876
1,0,0.1859115,0.81408846
0,0,0.46934837,0.5306516
0,0,0.26174548,0.73825455
1,1,0.8875808,0.11241919
1,1,0.886486,0.113514006
1,1,0.8064094,0.19359058
0,0,0.38414562,0.6158544
0,0,0.15536378,0.8446362
0,0,0.11137191,0.88862807
1,1,0.7143108,0.28568918
1,1,0.7126629,0.28733712
1,1,0.8112629,0.1887371
0,1,0.878098,0.12190199
1,1,0.8737969,0.12620312
1,1,0.89990044,0.10009956
1,0,0.3474994,0.6525006
1,1,0.8394071,0.16059291
1,1,0.855844,0.14415598
0,0,0.37926245,0.62073755
0,0,0.36010382,0.63989615
1,1,0.88218844,0.11781156
0,0,0.36171725,0.6382828
0,0,0.24103846,0.75896156
1,1,0.91229695,0.08770305
1,0,0.4926881,0.50731194
0,0,0.22073965,0.77926034
0,0,0.4849872,0.5150128
1,1,0.80568504,0.19431496
0,1,0.5040817,0.49591827
0,0,0.13083954,0.8691605
0,0,0.47081676,0.52918327
1,1,0.7805394,0.2194606
0,0,0.25668433,0.7433157
1,0,0.48356014,0.51643986
0,1,0.6213247,0.37867528
0,0,0.2482186,0.7517814
1,1,0.92023236,0.079767644
0,0,0.2248396,0.77516043
1,0,0.3685723,0.6314277
0,0,0.43161967,0.56838036
0,1,0.80708826,0.19291174
0,0,0.19909441,0.8009056
1,1,0.79866517,0.20133483
1,1,0.846894,0.15310597
0,0,0.19381686,0.80618316
0,0,0.20042929,0.7995707
1,1,0.6442189,0.35578108
0,0,0.32795513,0.6720449
1,1,0.873518,0.12648201
0,0,0.18635024,0.8136498
1,0,0.3169027,0.6830973
1,1,0.79101706,0.20898294
0,0,0.46576685,0.53423315
0,0,0.23834203,0.76165795
0,0,0.2304476,0.7695524
0,0,0.18924847,0.81075156
0,0,0.19685838,0.8031416
0,0,0.15482615,0.84517384
0,1,0.73201776,0.26798224
1,1,0.858156,0.14184397
0,0,0.31183365,0.6881664
0,0,0.41904086,0.58095914
0,0,0.24861623,0.7513838
0,1,0.52785915,0.47214085
1,1,0.74597067,0.25402933
1,0,0.48112866,0.5188713
0,0,0.28769356,0.71230644
1,1,0.7850714,0.21492863
0,1,0.6911248,0.3088752
0,0,0.43761078,0.56238925
0,0,0.4947887,0.5052113
0,1,0.6917659,0.3082341
0,0,0.13617273,0.8638273
0,0,0.21554102,0.784459
0,1,0.8264281,0.17357188
0,0,0.2587648,0.7412352
0,1,0.9123507,0.087649286
0,0,0.25229305,0.74770695
1,0,0.45023328,0.5497667
0,1,0.52196056,0.47803944
1,0,0.331767,0.66823304
0,1,0.53325933,0.46674067
0,1,0.7015082,0.29849178
1,1,0.88705486,0.11294514
1,0,0.42767242,0.5723276
1,1,0.9249835,0.0750165
1,1,0.81052566,0.18947434
0,0,0.26635733,0.7336427
0,0,0.29127067,0.7087293
0,0,0.47543067,0.52456933
0,0,0.083955295,0.9160447
1,1,0.9110229,0.0889771
0,1,0.9055385,0.0944615
0,0,0.38844988,0.6115501
0,0,0.2810441,0.7189559
1,0,0.39532393,0.60467607
0,0,0.20603953,0.79396045
1,0,0.194935,0.80506504
0,0,0.25718197,0.742818
0,0,0.48649138,0.5135086
0,0,0.1513699,0.8486301
1,0,0.42886674,0.57113326
0,0,0.3284452,0.6715548
0,0,0.29189822,0.70810175
0,1,0.57260394,0.42739606
0,0,0.31340027,0.68659973
0,0,0.2061129,0.7938871
0,1,0.51204145,0.48795855
0,0,0.48817036,0.5118296
1,1,0.5890873,0.4109127
0,0,0.31049612,0.6895039
1,0,0.28501424,0.7149857
1,1,0.7678163,0.2321837
0,0,0.46333987,0.53666013
1,1,0.8502479,0.14975208
0,1,0.6120084,0.3879916
0,1,0.7358366,0.26416337
1,1,0.92086303,0.07913697
1,1,0.7880408,0.21195918
0,0,0.22925138,0.7707486
1,1,0.8386571,0.16134292
1,1,0.8024726,0.19752741
1,1,0.8994486,0.10055143
1,1,0.905482,0.094518006
1,1,0.8183346,0.18166542
0,0,0.44499284,0.55500716
1,0,0.17516452,0.8248355
0,0,0.25613943,0.7438606
0,0,0.42564988,0.5743501
0,1,0.51992047,0.48007953
0,0,0.25546205,0.74453795
0,0,0.37434012,0.6256599
0,0,0.22572127,0.77427876
1,0,0.4688541,0.53114593
1,1,0.802049,0.19795102
0,0,0.3790582,0.62094176
1,1,0.87664014,0.12335986
0,0,0.21104571,0.78895426
0,0,0.2921973,0.7078027
0,0,0.2073579,0.7926421
0,0,0.36896533,0.6310347
0,0,0.25852802,0.741472
1,1,0.8003108,0.19968921
0,0,0.3972302,0.6027698
0,0,0.2280331,0.77196693
1,0,0.4086385,0.5913615
0,0,0.37067506,0.6293249
0,1,0.6556766,0.3443234
1,1,0.79513025,0.20486975
0,1,0.88697606,0.11302394
0,1,0.77396876,0.22603124
0,0,0.3085695,0.6914305
1,0,0.3393962,0.66060376
