y_true,y_pred,prob_positive,prob_negative
0,0,0.44331938,0.5566806
0,1,0.58004004,0.41995996
1,1,0.65366465,0.34633535
0,0,0.46878523,0.5312148
1,0,0.27645203,0.72354794
0,0,0.28631595,0.7136841
0,0,0.4437878,0.5562122
0,0,0.40398037,0.5960196
0,0,0.33011106,0.669889
1,0,0.2675817,0.7324183
1,1,0.8721812,0.12781882
1,0,0.3596225,0.6403775
1,1,0.7600824,0.23991758
1,1,0.79010403,0.20989597
1,1,0.632965,0.36703497
0,0,0.26024005,0.7397599
0,0,0.38144407,0.6185559
1,1,0.5416388,0.4583612
0,1,0.82302874,0.17697126
1,1,0.78240246,0.21759754
0,0,0.18460825,0.8153918
1,1,0.869497,0.130503
1,1,0.8869175,0.11308253
1,0,0.46082255,0.5391774
1,1,0.7175646,0.28243542
1,1,0.91757286,0.082427144
1,1,0.87056947,0.12943053
1,1,0.86638653,0.13361347
0,0,0.35124257,0.64875746
0,0,0.2250877,0.7749123
1,0,0.21532679,0.7846732
0,0,0.32620332,0.67379665
0,0,0.41931987,0.58068013
1,1,0.6641413,0.3358587
0,0,0.26823106,0.73176897
0,0,0.21872067,0.7812793
1,0,0.2312044,0.7687956
0,1,0.5099302,0.4900698
0,0,0.21028352,0.7897165
0,0,0.34475672,0.6552433
0,1,0.61574346,0.38425654
1,1,0.67324173,0.32675827
1,1,0.5095219,0.4904781
1,1,0.8209029,0.17909712
1,1,0.62816304,0.37183696
1,1,0.8395491,0.16045088
0,0,0.36117724,0.6388228
0,0,0.30283532,0.69716465
1,1,0.90842086,0.09157914
1,1,0.62355983,0.37644017
1,1,0.8383998,0.16160017
0,0,0.47621763,0.5237824
0,0,0.34833202,0.65166795
1,1,0.6015818,0.3984182
0,0,0.31327254,0.68672746
1,1,0.86012965,0.13987035
0,0,0.22133872,0.77866125
0,0,0.32988155,0.67011845
0,0,0.44592133,0.5540787
0,0,0.4223936,0.57760644
1,0,0.334872,0.665128
0,0,0.31018054,0.68981946
0,0,0.40239158,0.59760845
0,0,0.20195323,0.79804677
0,0,0.37516707,0.6248329
1,1,0.6393493,0.36065072
1,1,0.9359783,0.06402171
0,1,0.6039938,0.39600623
0,0,0.27125785,0.7287421
1,1,0.62437266,0.37562734
0,0,0.17310153,0.82689846
0,0,0.40700462,0.5929954
0,0,0.36496836,0.63503164
1,0,0.31963083,0.68036914
0,0,0.3306277,0.6693723
0,0,0.33833802,0.661662
1,1,0.8673911,0.13260889
1,1,0.9123066,0.08769339
1,1,0.892098,0.10790199
0,0,0.3065189,0.6934811
0,0,0.2814514,0.7185486
0,0,0.22323799,0.776762
1,1,0.8248045,0.17519552
1,1,0.8305553,0.16944468
1,1,0.9045559,0.09544408
0,1,0.83323944,0.16676056
1,1,0.8831789,0.11682111
1,1,0.8206631,0.1793369
1,0,0.430561,0.569439
1,1,0.81726474,0.18273526
1,1,0.80691373,0.19308627
0,0,0.47531855,0.52468145
0,0,0.28772575,0.71227425
1,1,0.85610104,0.14389896
0,1,0.6113488,0.3886512
0,1,0.53758633,0.46241367
1,1,0.8140201,0.1859799
1,1,0.84501624,0.15498376
0,0,0.3733404,0.62665963
0,0,0.4483976,0.55160236
1,1,0.8170818,0.18291819
0,0,0.39884505,0.6011549
0,0,0.33756948,0.6624305
0,0,0.4109872,0.5890128
1,1,0.8298459,0.1701541
0,0,0.29930958,0.7006904
1,0,0.2701318,0.7298682
0,0,0.22478046,0.77521956
0,0,0.14679411,0.8532059
1,1,0.91383106,0.086168945
0,0,0.4043286,0.5956714
1,0,0.18020622,0.81979376
0,0,0.37236062,0.6276394
0,1,0.8993746,0.100625396
0,0,0.26438278,0.7356172
1,1,0.80077237,0.19922763
1,1,0.7734503,0.22654969
0,1,0.5862669,0.41373312
0,0,0.46864915,0.53135085
1,1,0.7462437,0.25375628
0,0,0.2828257,0.7171743
1,1,0.8804359,0.119564116
0,0,0.4936666,0.5063334
1,0,0.267228,0.732772
1,1,0.7097431,0.29025692
0,1,0.5866993,0.4133007
0,0,0.2561076,0.74389243
0,0,0.21999864,0.78000134
0,0,0.22476482,0.7752352
0,0,0.34080747,0.65919256
0,0,0.43087417,0.56912583
0,1,0.8066222,0.1933778
1,1,0.8556446,0.14435542
0,0,0.3248209,0.6751791
0,0,0.22056825,0.77943176
0,0,0.1962224,0.8037776
0,0,0.4733815,0.5266185
1,1,0.85553527,0.14446473
1,0,0.3460724,0.65392756
0,0,0.26839474,0.7316053
1,1,0.8040276,0.19597238
0,1,0.65022844,0.34977156
0,0,0.44809455,0.55190545
0,0,0.2024247,0.7975753
0,1,0.86200714,0.13799286
0,0,0.17313167,0.8268683
0,1,0.5391386,0.46086138
0,1,0.7800773,0.21992272
0,0,0.40173748,0.59826255
0,1,0.8558317,0.14416832
0,0,0.18276003,0.81724
1,0,0.47191027,0.52808976
0,1,0.6410395,0.3589605
1,0,0.43867847,0.5613215
0,0,0.43267784,0.56732213
0,0,0.2645315,0.7354685
1,1,0.88322306,0.11677694
1,1,0.68443847,0.31556153
1,1,0.914028,0.08597201
1,1,0.90885186,0.09114814
0,1,0.52105665,0.47894335
0,0,0.27346775,0.7265322
0,1,0.5554752,0.44452482
0,0,0.24653089,0.7534691
1,1,0.8509361,0.14906389
0,1,0.9340285,0.06597149
0,0,0.30993164,0.69006836
0,0,0.19139098,0.808609
1,0,0.4010903,0.59890974
0,0,0.34120297,0.658797
1,0,0.36410728,0.63589275
0,0,0.11364024,0.88635975
0,0,0.38245514,0.6175449
0,0,0.31879058,0.68120944
1,0,0.25910166,0.7408984
0,1,0.5379446,0.4620554
0,0,0.26781464,0.73218536
0,1,0.55028117,0.44971883
0,0,0.34592807,0.6540719
0,0,0.282606,0.717394
0,0,0.23935916,0.76064086
0,0,0.23057535,0.7694247
1,1,0.5465757,0.45342427
0,0,0.4656046,0.5343954
1,0,0.21204318,0.78795683
1,1,0.84674585,0.15325415
0,0,0.3926666,0.6073334
1,1,0.7838374,0.21616262
0,0,0.38517162,0.61482835
0,1,0.8496544,0.15034562
1,1,0.9042235,0.0957765
1,1,0.9220238,0.07797623
0,0,0.323607,0.67639303
1,1,0.8667642,0.13323581
1,1,0.8285827,0.1714173
1,1,0.8467314,0.15326858
1,1,0.82074785,0.17925215
1,1,0.8291594,0.17084062
0,0,0.37586468,0.6241353
1,0,0.33466417,0.66533583
0,0,0.21987917,0.78012085
0,1,0.5321436,0.4678564
0,1,0.58226633,0.41773367
0,0,0.4859494,0.5140506
0,0,0.4246832,0.5753168
0,0,0.2887426,0.7112574
1,0,0.29257098,0.70742905
1,1,0.8674148,0.13258523
0,0,0.21159604,0.788404
1,1,0.78279734,0.21720266
0,1,0.7484368,0.2515632
0,0,0.27708662,0.7229134
0,0,0.43386123,0.56613874
0,0,0.30480674,0.6951933
0,1,0.5034816,0.49651837
1,1,0.8918535,0.10814649
0,0,0.29004177,0.7099582
0,0,0.25020164,0.74979836
1,0,0.42458683,0.57541317
0,0,0.23421173,0.76578826
0,1,0.6068236,0.39317638
1,1,0.75394505,0.24605495
0,1,0.7912738,0.20872623
0,0,0.15084891,0.8491511
0,1,0.55780023,0.44219977
1,0,0.36227363,0.63772637
0,0,0.44096914,0.5590309
0,0,0.4617416,0.53825843
0,0,0.2032122,0.7967878
