y_true,y_pred,prob_positive,prob_negative
0,0,0.020289334,0.97971064
0,0,0.008862726,0.99113727
1,0,0.28524044,0.7147596
0,0,0.015040213,0.9849598
1,0,0.004107631,0.99589235
0,1,0.5022164,0.4977836
0,1,0.70455444,0.29544556
0,0,0.19459057,0.80540943
0,0,0.032317545,0.9676825
1,0,0.02292941,0.97707057
1,1,0.98591214,0.014087856
1,1,0.56032866,0.43967134
1,1,0.94267666,0.057323337
1,1,0.856542,0.14345801
1,1,0.6410345,0.35896552
0,0,0.024335347,0.9756647
0,0,0.2811302,0.7188698
1,1,0.9415223,0.0584777
0,1,0.955612,0.044387996
1,1,0.9059666,0.09403342
0,0,0.008698868,0.9913011
1,1,0.7589189,0.24108112
1,1,0.84416586,0.15583414
1,0,0.0066602095,0.9933398
1,1,0.9785423,0.021457672
1,1,0.9297997,0.070200324
1,1,0.88483953,0.115160465
1,1,0.98584205,0.014157951
0,1,0.5036343,0.49636573
0,0,0.23267806,0.76732194
1,0,0.029355243,0.9706448
0,0,0.04623011,0.95376986
0,0,0.1327951,0.8672049
1,1,0.6507463,0.3492537
0,0,0.16105193,0.8389481
0,0,0.054313462,0.9456865
1,0,0.10452011,0.8954799
0,0,0.015951755,0.98404825
0,0,0.005319681,0.99468035
0,0,0.1413666,0.8586334
0,0,0.02247087,0.9775291
1,1,0.58043486,0.41956514
1,0,0.1753729,0.8246271
1,1,0.80472016,0.19527984
1,1,0.85327,0.14673
1,1,0.9586175,0.04138249
0,0,0.03676694,0.96323305
0,0,0.097320125,0.90267986
1,1,0.96754974,0.03245026
1,1,0.9504463,0.049553692
1,1,0.9802737,0.019726276
0,0,0.05956555,0.94043446
0,0,0.32737833,0.67262167
1,0,0.4700976,0.5299024
0,0,0.06545187,0.93454814
1,1,0.99115866,0.008841336
0,0,0.14624436,0.85375565
0,0,0.086360864,0.9136391
0,0,0.02781334,0.9721867
0,0,0.03494908,0.96505094
1,0,0.05469574,0.9453043
0,0,0.12037939,0.8796206
0,0,0.28433335,0.71566665
0,0,0.123175584,0.87682444
0,0,0.055425834,0.9445742
1,1,0.9235132,0.076486826
1,1,0.8534849,0.14651507
0,1,0.8925874,0.10741258
0,0,0.3622891,0.6377109
1,1,0.9255484,0.074451625
0,0,0.32244977,0.6775502
0,0,0.07507558,0.92492443
0,0,0.0058492343,0.99415076
1,0,0.13579045,0.86420953
0,1,0.61011446,0.38988554
0,0,0.017298304,0.9827017
1,1,0.94476956,0.05523044
1,1,0.99252254,0.0074774623
1,1,0.8642232,0.13577682
0,1,0.6884938,0.3115062
0,1,0.5004596,0.4995404
0,0,0.02276605,0.97723395
1,1,0.9281573,0.07184267
1,1,0.9076616,0.09233838
1,0,0.37528053,0.6247195
0,1,0.7118985,0.2881015
1,1,0.88541996,0.114580035
1,1,0.8682856,0.1317144
1,0,0.19123141,0.8087686
1,1,0.9824995,0.01750052
1,1,0.94638103,0.053618968
0,0,0.16055359,0.8394464
0,0,0.09335428,0.9066457
1,1,0.88120705,0.11879295
0,0,0.013622803,0.9863772
0,0,0.33400863,0.66599137
1,1,0.8928029,0.107197106
1,1,0.98664063,0.013359368
0,0,0.048394207,0.9516058
0,0,0.15363039,0.8463696
1,1,0.98879796,0.011202037
0,0,0.2670338,0.7329662
0,0,0.021115338,0.97888464
0,0,0.2958164,0.7041836
1,1,0.89139676,0.10860324
0,0,0.112188354,0.88781166
1,0,0.1360311,0.8639689
0,1,0.84959495,0.15040505
0,0,0.2412756,0.7587244
1,1,0.9600641,0.039935887
0,1,0.93175477,0.06824523
1,0,0.00603287,0.9939671
0,0,0.03992377,0.9600762
0,1,0.96235234,0.037647665
0,1,0.61179036,0.38820964
1,1,0.9866237,0.013376296
1,1,0.79514694,0.20485306
0,0,0.27131182,0.7286882
0,1,0.65284634,0.34715366
1,1,0.7698751,0.23012489
0,0,0.02247707,0.9775229
1,0,0.41755563,0.58244437
0,0,0.017038047,0.98296195
1,0,0.0018440096,0.998156
1,1,0.9663394,0.03366059
0,0,0.3133901,0.68660986
0,0,0.0986799,0.9013201
0,1,0.62316155,0.37683845
0,0,0.2610766,0.73892343
0,0,0.015074837,0.98492515
0,0,0.0039607706,0.9960392
0,1,0.8211917,0.17880827
1,1,0.7100256,0.2899744
0,0,0.1684156,0.8315844
0,0,0.079391606,0.9206084
0,0,0.30901334,0.69098663
0,0,0.015371814,0.9846282
1,1,0.9976286,0.0023713708
1,0,0.09142876,0.90857124
0,0,0.03796259,0.9620374
1,1,0.95287377,0.047126234
0,1,0.6311615,0.3688385
0,0,0.15536606,0.84463394
0,0,0.054665435,0.94533455
0,1,0.9102059,0.0897941
0,0,0.014328233,0.98567176
0,0,0.10976025,0.8902398
0,1,0.5214023,0.4785977
0,0,0.3042999,0.6957001
0,1,0.9119191,0.08808088
0,0,0.0019026272,0.99809736
1,0,0.091795035,0.908205
0,0,0.059143852,0.94085616
