y_true,y_pred,prob_positive,prob_negative
0,0,0.09411867,0.90588135
0,0,0.1065534,0.8934466
1,1,0.53912115,0.46087885
0,0,0.14944945,0.85055053
1,0,0.29884106,0.70115894
0,0,0.36866122,0.6313388
0,1,0.64297295,0.35702705
0,0,0.30137014,0.69862986
0,0,0.17074566,0.8292543
1,0,0.0646388,0.9353612
1,1,0.9704358,0.029564202
1,0,0.3814528,0.6185472
1,1,0.878165,0.12183499
1,1,0.9312937,0.068706274
1,1,0.6725981,0.32740188
0,0,0.20564531,0.7943547
0,0,0.44455177,0.55544823
1,1,0.89751947,0.10248053
0,1,0.8123301,0.18766987
1,1,0.7426113,0.2573887
0,0,0.43288964,0.56711036
1,1,0.7206381,0.2793619
1,0,0.38345838,0.6165416
1,0,0.19715829,0.8028417
1,1,0.5563911,0.44360888
1,1,0.9147612,0.085238814
1,1,0.83802503,0.16197497
1,1,0.7707269,0.22927308
0,0,0.38948515,0.6105149
0,0,0.06396158,0.93603843
1,0,0.38635904,0.61364096
0,0,0.22850403,0.77149594
0,0,0.28022572,0.71977425
1,0,0.48669693,0.51330304
0,0,0.17535014,0.8246499
0,0,0.34256184,0.65743816
1,0,0.16840631,0.8315937
0,0,0.30252817,0.69747186
0,0,0.32093328,0.6790667
0,1,0.5367025,0.4632975
0,0,0.13442071,0.8655793
1,0,0.39817995,0.60182005
1,0,0.21378699,0.78621304
1,1,0.96473163,0.035268366
1,0,0.29568806,0.70431197
1,0,0.45546803,0.54453194
0,0,0.28842366,0.71157634
0,0,0.4500046,0.5499954
1,0,0.4391695,0.5608305
1,1,0.97996897,0.020031035
1,0,0.25784203,0.74215794
0,0,0.11967054,0.8803295
0,0,0.26227206,0.73772794
1,1,0.84795123,0.15204877
0,0,0.21952535,0.78047466
1,1,0.8417391,0.15826088
0,0,0.13339299,0.866607
0,0,0.09184335,0.90815663
0,0,0.3509099,0.6490901
0,0,0.1228767,0.8771233
1,0,0.07481764,0.92518234
0,0,0.082888044,0.91711193
0,0,0.39352003,0.60648
0,0,0.15229726,0.84770274
0,0,0.17819263,0.8218074
1,0,0.119514115,0.8804859
1,1,0.945023,0.054977
0,0,0.44412068,0.55587935
0,0,0.20575365,0.7942463
1,1,0.9249019,0.0750981
0,0,0.38756037,0.61243963
0,0,0.1194393,0.8805607
0,0,0.3214072,0.6785928
1,1,0.78373575,0.21626425
0,1,0.5409891,0.4590109
0,0,0.27779898,0.722201
1,1,0.5733103,0.42668968
1,1,0.6840952,0.3159048
1,0,0.43974182,0.56025815
0,0,0.11387203,0.88612795
0,0,0.35912302,0.640877
0,0,0.043709047,0.95629096
1,1,0.6089912,0.3910088
1,1,0.7419457,0.25805432
1,0,0.3645978,0.6354022
0,1,0.8168697,0.18313032
1,1,0.6317707,0.36822933
1,1,0.7691618,0.23083818
1,0,0.2601447,0.7398553
1,1,0.6722275,0.3277725
1,0,0.3581807,0.6418193
0,1,0.6294936,0.3705064
0,0,0.18130562,0.81869435
1,0,0.45664757,0.5433524
0,0,0.048037622,0.95196235
0,0,0.49028525,0.5097147
1,1,0.81468093,0.18531907
1,1,0.6355202,0.36447978
0,0,0.06259043,0.9374096
0,0,0.31353784,0.68646216
1,1,0.5444884,0.45551163
0,0,0.09662556,0.90337443
0,0,0.07967538,0.9203246
0,0,0.11491398,0.885086
1,0,0.48993337,0.5100666
0,0,0.04299766,0.95700234
1,1,0.77114755,0.22885245
0,0,0.42254692,0.5774531
0,0,0.17370051,0.8262995
1,1,0.9048588,0.09514117
0,0,0.21724275,0.7827573
1,0,0.093669645,0.90633035
0,0,0.24264665,0.75735337
0,0,0.4520851,0.54791486
0,0,0.055790972,0.94420904
1,1,0.72888124,0.27111876
1,1,0.5221327,0.4778673
0,0,0.11703176,0.88296825
0,0,0.23450851,0.7654915
1,1,0.5128856,0.48711443
0,0,0.30980402,0.690196
1,1,0.7144806,0.28551942
0,0,0.11673798,0.88326204
1,0,0.26440972,0.7355903
1,0,0.34901544,0.6509845
0,1,0.5856279,0.4143721
0,0,0.16110463,0.8388954
0,0,0.4505429,0.5494571
0,1,0.6360916,0.3639084
0,0,0.13211867,0.8678813
0,0,0.28321996,0.71678007
0,1,0.7357019,0.26429808
1,0,0.3414408,0.6585592
0,0,0.098713495,0.9012865
0,0,0.12813821,0.8718618
0,0,0.3145668,0.6854332
0,1,0.56651986,0.43348014
1,1,0.64310247,0.35689753
1,0,0.29663488,0.7033651
0,0,0.087338425,0.91266155
1,0,0.3866851,0.61331487
0,0,0.40720853,0.59279144
0,0,0.25288635,0.74711365
0,0,0.35032722,0.64967275
0,1,0.85085416,0.14914584
0,0,0.11821033,0.8817897
0,0,0.14177416,0.8582258
0,1,0.82077736,0.17922264
0,0,0.3744025,0.6255975
0,1,0.55389875,0.44610125
0,0,0.06308091,0.9369191
1,0,0.27663627,0.72336376
0,0,0.181265,0.818735
1,0,0.26209843,0.73790157
0,0,0.12387885,0.87612116
0,1,0.5608695,0.43913049
1,1,0.9450777,0.054922283
1,0,0.49348578,0.5065142
1,1,0.8740515,0.12594849
1,1,0.9623719,0.037628114
0,0,0.24008246,0.75991756
0,0,0.19354399,0.806456
0,0,0.1385552,0.86144483
0,0,0.08662711,0.9133729
1,0,0.37859717,0.62140286
0,1,0.67508507,0.32491493
0,0,0.13985743,0.8601426
0,1,0.61747855,0.38252145
1,0,0.4968255,0.50317454
0,0,0.1998402,0.8001598
1,0,0.38656664,0.61343336
0,0,0.4463897,0.5536103
0,1,0.5708838,0.4291162
0,0,0.10245742,0.8975426
1,1,0.5890447,0.4109553
0,1,0.82512826,0.17487174
0,0,0.09465575,0.90534425
0,0,0.14115292,0.8588471
0,0,0.36947447,0.6305255
0,0,0.18285038,0.81714964
