y_true,y_pred,prob_positive,prob_negative
0,0,0.19036938,0.80963063
0,0,0.059831295,0.9401687
1,0,0.18469545,0.8153045
0,0,0.040435083,0.9595649
1,0,0.2702889,0.72971106
0,0,0.2919067,0.7080933
0,0,0.3592604,0.64073956
0,0,0.3003579,0.69964206
0,0,0.20907894,0.7909211
1,0,0.04915518,0.9508448
1,1,0.92862236,0.071377635
1,0,0.4210462,0.5789538
1,0,0.32289565,0.67710435
1,1,0.9330207,0.06697929
1,1,0.7000252,0.2999748
0,0,0.43620482,0.5637952
0,0,0.33836898,0.661631
1,1,0.71058726,0.28941274
0,1,0.6740955,0.3259045
1,1,0.9645869,0.035413086
0,0,0.09461694,0.90538305
1,1,0.89093727,0.10906273
1,0,0.4816286,0.5183714
1,0,0.27452475,0.72547525
1,0,0.42586505,0.57413495
1,1,0.7192373,0.28076267
1,1,0.74678475,0.25321525
1,1,0.8837515,0.11624849
0,0,0.2104085,0.7895915
0,0,0.22716403,0.77283597
1,0,0.27965054,0.72034943
0,0,0.16545577,0.83454424
0,0,0.24109851,0.7589015
1,0,0.30045664,0.69954336
0,0,0.4395269,0.5604731
0,0,0.30585015,0.69414985
1,0,0.22018033,0.77981967
0,0,0.071159646,0.92884034
0,0,0.27366787,0.7263321
0,0,0.49971098,0.500289
0,0,0.23005798,0.76994205
1,1,0.50116444,0.49883556
1,0,0.22844659,0.7715534
1,1,0.7641604,0.2358396
1,0,0.4129116,0.5870884
1,0,0.200451,0.799549
0,0,0.3147451,0.68525493
0,0,0.29833552,0.70166445
1,0,0.4492394,0.5507606
1,1,0.93361735,0.06638265
1,1,0.55765754,0.44234246
0,0,0.07898957,0.92101043
0,0,0.11041566,0.88958436
1,0,0.32080704,0.67919296
0,0,0.20059322,0.79940677
1,1,0.95652527,0.043474734
0,0,0.081082806,0.9189172
0,0,0.09432508,0.90567493
0,0,0.09606749,0.9039325
0,0,0.28288162,0.7171184
1,0,0.40930396,0.59069604
0,0,0.11374107,0.88625896
0,0,0.14352411,0.8564759
0,0,0.10274559,0.8972544
0,0,0.3655897,0.63441026
1,0,0.36094958,0.6390504
1,1,0.89949167,0.10050833
0,0,0.2732613,0.7267387
0,0,0.24531256,0.7546874
1,1,0.9610877,0.038912296
0,0,0.31572977,0.68427026
0,0,0.1261392,0.87386084
0,0,0.43735528,0.5626447
1,1,0.8541767,0.1458233
0,0,0.31372723,0.68627274
0,0,0.33560908,0.6643909
1,1,0.6242921,0.37570792
1,1,0.95567507,0.044324934
1,1,0.9605675,0.039432526
0,0,0.14867848,0.8513215
0,0,0.21685061,0.78314936
0,0,0.23786241,0.7621376
1,1,0.87151426,0.12848574
1,1,0.5056971,0.49430293
1,0,0.40789577,0.5921042
0,0,0.43130758,0.56869245
1,1,0.9647221,0.035277903
1,1,0.9804277,0.019572318
1,0,0.20790517,0.7920948
1,0,0.302975,0.697025
1,1,0.75420594,0.24579406
0,1,0.73588383,0.26411617
0,0,0.258027,0.74197304
1,0,0.4035547,0.5964453
0,0,0.112108186,0.8878918
0,1,0.6155645,0.38443547
1,0,0.4100244,0.5899756
1,0,0.41586643,0.58413357
0,0,0.07254963,0.92745036
0,1,0.5955362,0.40446383
1,1,0.7052106,0.29478937
0,0,0.25671,0.74329
0,0,0.11155632,0.8884437
0,0,0.318617,0.681383
1,1,0.5739432,0.4260568
0,0,0.065184124,0.9348159
1,0,0.46314356,0.5368564
0,0,0.3208914,0.6791086
0,0,0.097567745,0.90243226
1,1,0.9084092,0.09159082
0,0,0.1327784,0.8672216
1,0,0.22794804,0.77205193
0,1,0.72292066,0.27707934
0,1,0.52641475,0.47358525
0,0,0.057302535,0.94269747
1,1,0.9190907,0.08090931
1,0,0.17733674,0.82266325
0,0,0.29833966,0.70166034
0,0,0.47472718,0.52527285
1,0,0.24748965,0.75251037
0,0,0.2354707,0.7645293
1,1,0.80058867,0.19941133
0,0,0.0933656,0.9066344
1,0,0.14750278,0.8524972
1,0,0.1295444,0.8704556
0,0,0.38409156,0.61590844
0,0,0.34741428,0.65258574
0,0,0.28685355,0.71314645
0,0,0.34402263,0.65597737
0,0,0.12934552,0.87065446
0,0,0.14851111,0.8514889
0,0,0.31783044,0.68216956
1,1,0.5798109,0.42018908
0,0,0.10250205,0.89749795
0,0,0.088976964,0.911023
0,0,0.26010883,0.7398912
0,1,0.5231481,0.47685188
1,1,0.76398325,0.23601675
1,1,0.5461395,0.45386052
0,0,0.053199977,0.9468
1,1,0.63591725,0.36408275
0,0,0.26079673,0.7392033
0,0,0.24258767,0.7574123
0,0,0.45287588,0.54712415
0,1,0.89641714,0.10358286
0,0,0.37150666,0.6284933
0,0,0.14698713,0.85301286
0,1,0.90872926,0.091270745
0,1,0.5488164,0.45118362
0,1,0.5953109,0.40468907
0,0,0.07140163,0.92859834
1,0,0.19557032,0.80442965
0,0,0.13388383,0.86611617
1,1,0.56694317,0.43305683
0,0,0.29447982,0.70552015
0,1,0.6543824,0.3456176
1,1,0.8007159,0.19928408
1,1,0.52090013,0.47909987
1,1,0.86989826,0.13010174
1,1,0.8966759,0.103324115
0,0,0.12767875,0.87232125
0,0,0.32737267,0.67262733
