y_true,y_pred,prob_positive,prob_negative
0,0,0.33601543,0.66398454
0,0,0.4020951,0.5979049
1,0,0.3970856,0.6029144
0,0,0.20898744,0.7910125
1,0,0.37231678,0.6276832
0,0,0.3670309,0.63296914
0,0,0.4031045,0.59689546
0,0,0.29586244,0.70413756
0,0,0.40286407,0.5971359
1,0,0.3230032,0.6769968
1,1,0.7467362,0.25326377
1,1,0.56395453,0.43604547
1,0,0.49256068,0.5074393
1,1,0.79226875,0.20773125
1,0,0.23490632,0.7650937
0,0,0.27586678,0.72413325
0,0,0.30894718,0.6910528
1,1,0.5658381,0.4341619
0,1,0.55543154,0.44456846
1,1,0.641792,0.358208
0,0,0.37708598,0.622914
1,1,0.7005007,0.29949927
1,0,0.44077614,0.5592239
1,1,0.65340334,0.34659666
1,0,0.46803436,0.5319656
1,1,0.6767402,0.32325977
1,1,0.7299336,0.27006638
1,1,0.6045626,0.39543742
0,1,0.59983516,0.40016484
0,0,0.19547144,0.8045286
1,0,0.36612847,0.63387156
0,0,0.35832912,0.6416709
0,0,0.3952911,0.6047089
1,0,0.44854912,0.55145085
0,1,0.52513766,0.47486234
0,0,0.29062295,0.70937705
1,0,0.20614363,0.7938564
0,0,0.26238385,0.7376162
0,0,0.4662805,0.53371954
0,0,0.4675144,0.5324856
0,0,0.33858907,0.6614109
1,0,0.49889618,0.5011038
1,1,0.50191367,0.49808633
1,1,0.7373097,0.2626903
1,0,0.33026862,0.6697314
1,1,0.5130435,0.48695648
0,0,0.4149191,0.58508086
0,0,0.4897435,0.5102565
1,0,0.45341426,0.54658574
1,1,0.7682662,0.2317338
1,0,0.2676895,0.73231053
0,0,0.29211515,0.70788485
0,0,0.48660302,0.513397
1,1,0.5289151,0.4710849
0,0,0.44664678,0.5533532
1,1,0.6497285,0.35027152
0,0,0.38381088,0.6161891
0,0,0.39432424,0.60567576
0,0,0.32455233,0.6754477
0,0,0.38439354,0.6156064
1,0,0.30511925,0.6948807
0,0,0.39953354,0.6004665
0,0,0.3239222,0.67607784
0,0,0.239871,0.760129
0,1,0.54041994,0.45958006
1,0,0.21260038,0.78739965
1,1,0.666137,0.33386302
0,0,0.45296788,0.5470321
0,0,0.35135606,0.648644
1,0,0.4237436,0.5762564
0,0,0.4467702,0.5532298
0,0,0.26453507,0.73546493
0,0,0.26099014,0.73900986
1,0,0.45506707,0.54493296
0,1,0.54279387,0.45720613
0,0,0.395697,0.604303
1,1,0.7799242,0.22007579
1,1,0.6563785,0.3436215
1,1,0.5188103,0.48118973
0,1,0.6114039,0.38859612
0,1,0.5098994,0.49010062
0,0,0.23140101,0.768599
1,1,0.61669177,0.38330823
1,1,0.53705764,0.46294236
1,1,0.55694747,0.44305253
0,0,0.4047078,0.5952922
1,1,0.51256144,0.48743856
1,1,0.6738458,0.32615417
1,1,0.6054653,0.3945347
1,1,0.6507692,0.34923083
1,0,0.47529376,0.52470624
0,1,0.53912234,0.46087766
0,0,0.449752,0.550248
1,1,0.55081844,0.44918156
0,0,0.30717298,0.692827
0,0,0.45817485,0.5418252
1,1,0.61798674,0.38201326
1,1,0.5362305,0.4637695
0,0,0.384139,0.615861
0,1,0.68444985,0.31555015
1,1,0.6234495,0.3765505
0,0,0.36904648,0.63095355
0,0,0.4992078,0.5007922
0,0,0.43220767,0.5677923
1,1,0.65023714,0.34976286
0,0,0.3433758,0.6566242
1,1,0.53811884,0.46188116
0,0,0.27734756,0.72265244
0,0,0.4356395,0.5643605
1,1,0.67657673,0.32342327
0,0,0.39165255,0.6083474
1,0,0.43671015,0.5632899
0,1,0.5656337,0.4343663
0,1,0.57550746,0.42449254
0,0,0.49534714,0.50465286
1,1,0.5778628,0.4221372
1,1,0.54065335,0.45934665
0,1,0.51864964,0.48135036
0,1,0.55340666,0.44659334
1,0,0.49964288,0.50035715
0,1,0.5697765,0.43022352
1,1,0.7145818,0.2854182
0,0,0.40614158,0.5938584
1,0,0.4446717,0.5553283
1,1,0.59257936,0.40742064
0,1,0.51673317,0.48326683
0,0,0.36927024,0.6307298
0,0,0.25722215,0.7427778
0,0,0.43750414,0.5624958
0,0,0.4079653,0.5920347
0,0,0.29445398,0.705546
0,1,0.543389,0.45661098
1,0,0.4534449,0.5465551
0,0,0.2897777,0.7102223
0,0,0.1893083,0.8106917
0,0,0.32486215,0.6751379
0,1,0.5018513,0.49814868
1,1,0.6207108,0.3792892
1,0,0.37822613,0.62177384
0,0,0.32920077,0.67079926
1,1,0.62501,0.37499
0,1,0.77407414,0.22592586
0,0,0.36140916,0.6385908
0,0,0.3978376,0.60216236
0,1,0.555046,0.44495398
0,0,0.27553722,0.72446275
0,1,0.59475845,0.40524155
0,0,0.3196869,0.6803131
0,1,0.5678944,0.4321056
0,1,0.50399506,0.49600494
0,0,0.26770055,0.73229945
1,0,0.47393465,0.52606535
0,0,0.28799376,0.7120062
1,0,0.34314978,0.6568502
0,0,0.41083315,0.5891669
0,1,0.6721794,0.3278206
1,1,0.7742091,0.22579092
1,1,0.5882138,0.4117862
1,0,0.4962488,0.50375116
1,1,0.7243468,0.27565318
0,0,0.26831603,0.73168397
0,1,0.5610473,0.43895268
0,0,0.4251295,0.57487047
0,0,0.23976077,0.76023924
1,0,0.2454368,0.7545632
0,1,0.5820124,0.41798759
0,1,0.53707284,0.46292716
0,0,0.4991051,0.5008949
1,0,0.4096585,0.5903415
0,0,0.33477855,0.66522145
1,1,0.6543579,0.3456421
0,0,0.109552555,0.89044744
0,1,0.53382015,0.46617985
0,0,0.3438501,0.65614986
1,1,0.54076135,0.45923865
0,0,0.477372,0.522628
0,0,0.45109794,0.54890203
0,0,0.2999193,0.7000807
0,0,0.46498874,0.5350113
0,1,0.59214485,0.40785515
0,1,0.5536598,0.4463402
0,1,0.58969736,0.41030264
1,1,0.5545177,0.4454823
0,1,0.5031272,0.49687278
1,1,0.61298466,0.38701534
1,0,0.4905117,0.50948834
0,0,0.413736,0.586264
1,1,0.5665506,0.4334494
0,1,0.59138703,0.40861297
0,1,0.6430271,0.35697287
1,0,0.48879585,0.5112041
1,1,0.6485274,0.35147262
0,0,0.2055077,0.7944923
1,1,0.5155061,0.4844939
1,0,0.30699512,0.69300485
1,1,0.518696,0.481304
1,0,0.4022365,0.59776354
1,1,0.64716005,0.35283995
0,0,0.27029324,0.72970676
1,0,0.30693203,0.69306797
0,0,0.37453902,0.625461
0,0,0.49072573,0.50927424
0,0,0.27295896,0.727041
0,1,0.5012027,0.4987973
0,0,0.49002507,0.50997496
0,0,0.3210002,0.6789998
1,0,0.48759672,0.51240325
1,1,0.6151479,0.3848521
0,1,0.5276769,0.47232312
1,0,0.4671327,0.5328673
0,0,0.4855836,0.5144164
0,0,0.32119066,0.67880934
0,0,0.4417881,0.5582119
0,0,0.32774392,0.6722561
0,1,0.5384393,0.46156073
1,1,0.52950174,0.47049826
0,1,0.620263,0.37973702
0,0,0.40785977,0.5921402
1,0,0.25844985,0.74155015
0,1,0.5076433,0.49235672
0,1,0.56547916,0.43452084
1,1,0.631065,0.368935
0,1,0.66541713,0.33458287
0,0,0.35296896,0.64703107
0,0,0.25731716,0.7426828
1,1,0.70023257,0.29976743
0,0,0.47070432,0.5292957
0,0,0.42637104,0.57362896
0,0,0.3795053,0.6204947
0,0,0.44782192,0.5521781
1,1,0.56502414,0.43497586
0,0,0.4865775,0.5134225
1,1,0.7744825,0.22551751
1,0,0.40474385,0.59525615
0,0,0.39607888,0.6039211
0,1,0.58181006,0.41818994
0,0,0.49349898,0.506501
0,0,0.3413514,0.6586486
1,1,0.727187,0.27281302
1,0,0.43252635,0.56747365
0,0,0.4294516,0.5705484
0,0,0.28237003,0.71762997
1,1,0.5246312,0.4753688
1,1,0.585126,0.41487402
0,0,0.4082305,0.59176946
0,1,0.5651316,0.4348684
0,1,0.55918795,0.44081205
0,1,0.550792,0.44920802
0,1,0.59432846,0.40567154
1,1,0.6521771,0.3478229
1,1,0.5275639,0.47243607
1,1,0.5588288,0.44117123
0,0,0.4851684,0.5148316
0,0,0.32824513,0.67175484
1,1,0.64917326,0.35082674
0,1,0.5751234,0.42487657
0,1,0.6200516,0.37994838
1,0,0.42773488,0.57226515
1,1,0.68387717,0.31612283
0,1,0.62551624,0.37448376
0,0,0.43464744,0.56535256
1,0,0.37812164,0.6218784
0,0,0.3554402,0.6445598
0,1,0.6733826,0.32661742
0,0,0.44118008,0.5588199
1,1,0.62465215,0.37534785
0,0,0.45671088,0.5432891
1,0,0.2984548,0.70154524
0,0,0.46522707,0.53477293
1,1,0.51381415,0.48618585
1,0,0.38878572,0.6112143
0,0,0.40543115,0.59456885
0,1,0.5417676,0.4582324
1,1,0.52544314,0.47455686
1,1,0.7154459,0.28455412
0,0,0.43145895,0.56854105
0,1,0.70931244,0.29068756
