y_true,y_pred,prob_positive,prob_negative
0,0,0.28134146,0.71865857
0,0,0.16780148,0.8321985
1,0,0.2718806,0.7281194
0,0,0.0970059,0.9029941
1,0,0.4419753,0.5580247
0,0,0.2560036,0.7439964
0,0,0.4049322,0.5950678
0,0,0.29905507,0.7009449
0,0,0.2580588,0.7419412
1,0,0.12943885,0.8705611
1,1,0.94275284,0.057247162
1,0,0.4062051,0.59379494
1,0,0.48531517,0.5146848
1,1,0.8307055,0.16929448
1,0,0.48617452,0.5138255
0,0,0.25742516,0.7425748
0,0,0.3968922,0.6031078
1,1,0.74471974,0.25528026
0,1,0.85266405,0.14733595
1,0,0.41643217,0.58356786
0,0,0.20562302,0.79437697
1,1,0.8793601,0.12063992
1,0,0.48644754,0.5135524
1,0,0.23452204,0.76547796
1,0,0.39660522,0.60339475
1,1,0.53709275,0.46290725
1,1,0.7415259,0.2584741
1,1,0.8384082,0.16159183
0,1,0.7163001,0.28369993
0,0,0.1256694,0.8743306
1,0,0.32084197,0.67915803
0,0,0.32014343,0.67985654
0,0,0.40410855,0.5958915
1,0,0.35515875,0.64484125
0,0,0.22584568,0.7741543
0,0,0.31899634,0.6810037
1,0,0.17430294,0.82569706
0,0,0.21345972,0.78654027
0,0,0.22881304,0.77118695
0,0,0.3738842,0.6261158
0,0,0.09966361,0.9003364
1,1,0.6817467,0.31825328
1,0,0.25658467,0.74341536
1,1,0.73337734,0.26662266
1,0,0.4639288,0.5360712
1,1,0.6060384,0.3939616
0,0,0.20958865,0.79041135
0,0,0.17581834,0.8241817
1,0,0.27960637,0.72039366
1,1,0.89290696,0.107093036
1,0,0.3413299,0.65867007
0,0,0.3445455,0.6554545
0,0,0.24888559,0.7511144
1,1,0.5487193,0.4512807
0,0,0.35622436,0.64377564
1,1,0.80554354,0.19445646
0,0,0.22724555,0.77275443
0,0,0.19269615,0.80730385
0,0,0.30359092,0.6964091
0,0,0.30149755,0.6985024
1,0,0.43815908,0.5618409
0,0,0.13039382,0.8696062
0,0,0.27245796,0.72754204
0,0,0.26735872,0.7326413
0,0,0.14332108,0.8566789
1,0,0.24937257,0.7506274
1,1,0.9118175,0.08818251
0,0,0.3920213,0.6079787
0,0,0.16287123,0.83712876
1,1,0.75052047,0.24947953
0,0,0.20312198,0.79687804
0,0,0.17125861,0.8287414
0,0,0.42860362,0.57139635
1,0,0.4818251,0.5181749
0,0,0.40015408,0.5998459
0,0,0.22943847,0.7705615
1,1,0.6933068,0.3066932
1,1,0.6957731,0.30422688
1,1,0.6069722,0.39302778
0,0,0.20201537,0.7979846
0,0,0.2224862,0.7775138
0,0,0.09000399,0.90999603
1,1,0.59020793,0.40979207
1,0,0.43834305,0.56165695
1,1,0.7322636,0.26773638
0,1,0.84545493,0.15454507
1,1,0.60599726,0.39400274
1,1,0.7318611,0.2681389
1,0,0.32232422,0.6776758
1,1,0.70699096,0.29300904
1,0,0.29643542,0.7035646
0,0,0.49033156,0.50966847
0,0,0.27593532,0.7240647
1,1,0.8013363,0.19866371
0,0,0.23121385,0.76878613
0,0,0.43823543,0.5617646
1,1,0.7764049,0.22359508
1,0,0.2768809,0.72311914
0,0,0.3117893,0.6882107
0,0,0.39726433,0.60273564
1,1,0.7084208,0.2915792
0,0,0.25075924,0.74924076
0,0,0.14727007,0.8527299
0,0,0.17391028,0.82608974
1,0,0.30939537,0.6906046
0,0,0.20249656,0.7975035
1,0,0.38680694,0.61319304
0,0,0.21585703,0.784143
0,0,0.16504635,0.83495367
1,1,0.94131577,0.05868423
0,0,0.17438833,0.82561165
1,0,0.14815648,0.85184354
0,0,0.26282763,0.73717237
0,1,0.65737957,0.34262043
0,0,0.13905436,0.86094564
1,1,0.7483898,0.25161022
1,0,0.42312863,0.5768714
0,1,0.5032281,0.49677187
0,0,0.46937773,0.53062224
1,0,0.38174185,0.6182581
0,0,0.3039191,0.6960809
1,1,0.5102417,0.4897583
0,0,0.26836568,0.7316343
1,0,0.26514235,0.7348577
1,0,0.19465004,0.80534995
0,0,0.4692248,0.5307752
0,0,0.19642511,0.8035749
0,0,0.40497068,0.59502935
0,0,0.20497343,0.79502654
0,0,0.1675059,0.8324941
0,0,0.3478697,0.6521303
0,1,0.5893969,0.4106031
1,0,0.2666025,0.7333975
0,0,0.114837006,0.885163
0,0,0.23648025,0.76351976
0,0,0.32366657,0.6763334
0,0,0.23907821,0.7609218
1,0,0.4869526,0.5130474
1,0,0.32894155,0.6710584
0,0,0.20378718,0.7962128
1,1,0.7308871,0.26911288
0,0,0.33227372,0.6677263
0,0,0.28498933,0.71501064
0,0,0.24192098,0.75807905
0,1,0.8499613,0.15003872
0,0,0.20143342,0.7985666
0,0,0.27336404,0.72663593
0,1,0.5423775,0.45762253
0,0,0.1810607,0.8189393
0,0,0.47685748,0.5231425
0,0,0.2150642,0.78493583
1,0,0.25038433,0.74961567
0,0,0.13054244,0.86945754
1,0,0.36176568,0.6382343
0,0,0.1915956,0.8084044
0,1,0.65663624,0.34336376
1,1,0.8819534,0.11804658
1,0,0.34805313,0.6519469
1,1,0.63553655,0.36446345
1,1,0.88975734,0.110242665
0,0,0.18433519,0.8156648
0,0,0.23947981,0.7605202
0,0,0.3834139,0.6165861
0,0,0.15039115,0.84960884
1,0,0.4400645,0.5599355
0,1,0.8422364,0.1577636
0,0,0.3490289,0.6509711
0,0,0.38141358,0.6185864
1,0,0.4170591,0.58294094
0,0,0.23345573,0.7665443
1,0,0.4527496,0.5472504
0,0,0.3044059,0.6955941
0,1,0.6717334,0.32826662
0,0,0.16002138,0.83997864
1,0,0.3215799,0.67842007
0,0,0.2930002,0.7069998
0,0,0.19051237,0.80948764
0,0,0.23391601,0.76608396
0,0,0.28469124,0.7153088
0,0,0.26876387,0.7312361
0,0,0.23929727,0.7607027
0,0,0.4434778,0.5565222
1,0,0.41456074,0.58543926
0,0,0.17129502,0.82870495
1,0,0.32415605,0.67584395
1,1,0.5994833,0.4005167
0,0,0.30069408,0.6993059
1,0,0.30201724,0.6979828
0,0,0.37936643,0.6206336
0,1,0.6634084,0.3365916
1,0,0.3056558,0.69434416
1,1,0.71903753,0.28096247
0,0,0.20000425,0.7999958
1,1,0.77410907,0.22589093
1,0,0.12418864,0.87581134
1,1,0.5584633,0.44153672
1,0,0.2591973,0.7408027
1,1,0.6561913,0.3438087
0,0,0.22757758,0.77242243
1,0,0.24377778,0.75622225
0,0,0.17911087,0.8208891
0,0,0.2613227,0.73867726
0,0,0.15902236,0.84097767
0,0,0.2058155,0.7941845
0,1,0.5121629,0.48783708
0,0,0.2307239,0.7692761
1,0,0.1198001,0.8801999
1,0,0.43671224,0.56328773
0,0,0.15154849,0.8484515
1,1,0.69007635,0.30992365
0,0,0.2319606,0.7680394
0,0,0.30099675,0.6990032
0,0,0.24679519,0.7532048
0,0,0.15536709,0.8446329
0,0,0.45196077,0.5480392
1,1,0.5444265,0.4555735
0,0,0.31553912,0.6844609
0,0,0.38275602,0.617244
1,0,0.15765344,0.84234655
0,0,0.12831794,0.87168205
0,0,0.4363904,0.5636096
1,0,0.29446736,0.70553267
0,1,0.65673494,0.34326506
0,0,0.23435773,0.7656423
0,0,0.13497218,0.8650278
1,0,0.36095056,0.6390494
0,0,0.3191956,0.6808044
0,0,0.15460868,0.84539133
