Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,CTDC,0.8107,0.7866,0.7363,0.82,0.7338,0.5557,0.8204,75,21
2,AAC,0.8298,0.7825,0.7192,0.8246,0.7254,0.5454,0.8165,61,20
3,DPC,0.8103,0.788,0.7158,0.836,0.7295,0.5555,0.8162,71,400
4,CTDT,0.8031,0.7715,0.7397,0.7927,0.7212,0.5284,0.8099,76,21
5,GAAC,0.8078,0.7483,0.7432,0.7517,0.7023,0.4876,0.8009,86,5
6,PAAC,0.8048,0.7647,0.6336,0.8519,0.6827,0.5013,0.7926,66,23
7,ProtT5,0.7324,0.7114,0.411,0.9112,0.5322,0.3824,0.7553,75,1024
8,BioBERT,0.7444,0.7291,0.5034,0.8793,0.5976,0.4205,0.7538,85,768
9,ESM2,0.7232,0.6963,0.4932,0.8314,0.5647,0.3475,0.73,51,1280
10,ESMC,0.7255,0.6799,0.4726,0.8178,0.5412,0.3109,0.7187,51,1152
11,ProtBERT,0.6224,0.6471,0.5651,0.7016,0.5612,0.2661,0.6878,71,1024
