Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_colsample_bylevel,param_min_child_weight,param_gamma,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_grow_policy
0.7825,0.7192,0.8246,0.7254,0.5454,0.8165,210,362,77,82,AAC,20,0.8298,61,1704,731,382,5,0.03845189695381788,0.6663633686536303,0.46829960356138545,0.7891287365185067,4,1.4767265327325252,0.0001798836130425844,0.10826858263054986,1.751360383743545,depthwise
0.788,0.7158,0.836,0.7295,0.5555,0.8162,209,367,72,83,DPC,400,0.8103,71,1704,731,401,10,0.06165919386995581,0.9723708407349961,0.6286958880095996,0.7746047283783422,1,0.09144096953595619,0.010631805459363404,0.19134552231792581,2.521266796895187,lossguide
0.7866,0.7363,0.82,0.7338,0.5557,0.8204,215,360,79,77,CTDC,21,0.8107,75,1704,731,460,3,0.056651549888738946,0.7455657031175384,0.43013175924972397,0.5320581128069688,4,1.7695218640536217,1.8324664105237207,0.1172690969134061,1.9488514782726094,lossguide
0.7715,0.7397,0.7927,0.7212,0.5284,0.8099,216,348,91,76,CTDT,21,0.8031,76,1704,731,491,10,0.04776669356427326,0.9831113092502822,0.5138271363537745,0.8619260186188951,2,3.5788996619708615,0.0010095506736381263,0.16255768985380614,2.3689679017293312,depthwise
0.7483,0.7432,0.7517,0.7023,0.4876,0.8009,217,330,109,75,GAAC,5,0.8078,86,1704,731,234,7,0.010232985729309198,0.9688180903600028,0.35945851440127824,0.9569255340668628,6,0.8462038317392165,9.380110928412529e-07,0.12730925718165417,2.729368207659123,depthwise
0.7647,0.6336,0.8519,0.6827,0.5013,0.7926,185,374,65,107,PAAC,23,0.8048,66,1704,731,210,8,0.01896623516738436,0.8036042698666653,0.30074476531850347,0.8403686095722857,1,0.9624485118551414,1.652876029837519e-08,0.19364799147100717,1.8867622688236525,depthwise
0.6471,0.5651,0.7016,0.5612,0.2661,0.6878,165,308,131,127,ProtBERT,1024,0.6224,71,1704,731,426,6,0.014316355578692392,0.5172639214896095,0.8972053676794917,0.8306324298328739,10,1.912192684649642,1.9724358542624067e-05,2.7741089119607745,1.77670322960943,lossguide
0.7114,0.411,0.9112,0.5322,0.3824,0.7553,120,400,39,172,ProtT5,1024,0.7324,75,1704,731,270,10,0.012174420274927863,0.8439179994942074,0.6454819803344913,0.4527069898832882,1,1.2313095598112045,1.9034248699615676e-07,0.22499769457812563,1.0117951239333718,depthwise
0.6963,0.4932,0.8314,0.5647,0.3475,0.73,144,365,74,148,ESM2,1280,0.7232,51,1704,731,466,7,0.0260928916829971,0.8951729650160692,0.3333555970547865,0.4908871292521171,7,0.5844794216086767,0.014406889912103841,0.31325284668255293,1.3448465952595114,lossguide
0.7291,0.5034,0.8793,0.5976,0.4205,0.7538,147,386,53,145,BioBERT,768,0.7444,85,1704,731,453,10,0.011633708906091007,0.6092183756099981,0.942451852612691,0.3451280599682647,1,2.459083885150201,0.00448453227606353,0.22436381687682855,1.0458991084510356,depthwise
0.6799,0.4726,0.8178,0.5412,0.3109,0.7187,138,359,80,154,ESMC,1152,0.7255,51,1704,731,470,6,0.04639415203607863,0.6506131733937238,0.3496796447540049,0.8523732467590014,4,0.8102460091636954,1.4047126130240566,1.4957126549218844,1.154172442581563,lossguide
