Dataset,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight,grow_policy,CV_AUC,Test_AUC
AAC,382,5,0.03845189695381788,0.6663633686536303,0.46829960356138545,0.7891287365185067,4,1.4767265327325252,0.0001798836130425844,0.10826858263054986,1.751360383743545,depthwise,0.8298,0.8165
DPC,401,10,0.06165919386995581,0.9723708407349961,0.6286958880095996,0.7746047283783422,1,0.09144096953595619,0.010631805459363404,0.19134552231792581,2.521266796895187,lossguide,0.8103,0.8162
CTDC,460,3,0.056651549888738946,0.7455657031175384,0.43013175924972397,0.5320581128069688,4,1.7695218640536217,1.8324664105237207,0.1172690969134061,1.9488514782726094,lossguide,0.8107,0.8204
CTDT,491,10,0.04776669356427326,0.9831113092502822,0.5138271363537745,0.8619260186188951,2,3.5788996619708615,0.0010095506736381263,0.16255768985380614,2.3689679017293312,depthwise,0.8031,0.8099
GAAC,234,7,0.010232985729309198,0.9688180903600028,0.35945851440127824,0.9569255340668628,6,0.8462038317392165,9.380110928412529e-07,0.12730925718165417,2.729368207659123,depthwise,0.8078,0.8009
PAAC,210,8,0.01896623516738436,0.8036042698666653,0.30074476531850347,0.8403686095722857,1,0.9624485118551414,1.652876029837519e-08,0.19364799147100717,1.8867622688236525,depthwise,0.8048,0.7926
ProtBERT,426,6,0.014316355578692392,0.5172639214896095,0.8972053676794917,0.8306324298328739,10,1.912192684649642,1.9724358542624067e-05,2.7741089119607745,1.77670322960943,lossguide,0.6224,0.6878
ProtT5,270,10,0.012174420274927863,0.8439179994942074,0.6454819803344913,0.4527069898832882,1,1.2313095598112045,1.9034248699615676e-07,0.22499769457812563,1.0117951239333718,depthwise,0.7324,0.7553
ESM2,466,7,0.0260928916829971,0.8951729650160692,0.3333555970547865,0.4908871292521171,7,0.5844794216086767,0.014406889912103841,0.31325284668255293,1.3448465952595114,lossguide,0.7232,0.73
BioBERT,453,10,0.011633708906091007,0.6092183756099981,0.942451852612691,0.3451280599682647,1,2.459083885150201,0.00448453227606353,0.22436381687682855,1.0458991084510356,depthwise,0.7444,0.7538
ESMC,470,6,0.04639415203607863,0.6506131733937238,0.3496796447540049,0.8523732467590014,4,0.8102460091636954,1.4047126130240566,1.4957126549218844,1.154172442581563,lossguide,0.7255,0.7187
