y_true,y_pred,prob_positive,prob_negative
0,0,0.18487789,0.8151221
0,0,0.17768002,0.82232
1,0,0.4302206,0.5697794
0,0,0.13360941,0.8663906
1,0,0.44859153,0.55140847
0,0,0.26295155,0.73704845
0,0,0.2158105,0.7841895
0,0,0.03552088,0.9644791
0,0,0.2512349,0.7487651
1,0,0.11270844,0.88729155
1,1,0.95654446,0.04345554
1,0,0.41222924,0.58777076
1,1,0.7550216,0.24497843
1,1,0.95005053,0.049949467
1,1,0.6170091,0.3829909
0,0,0.31718516,0.68281484
0,0,0.4169236,0.58307636
1,1,0.89347786,0.10652214
0,1,0.85413575,0.14586425
1,1,0.951024,0.048976004
0,0,0.18433122,0.81566876
1,1,0.9526426,0.04735738
1,1,0.94300365,0.056996346
1,0,0.18924442,0.8107556
1,1,0.9192003,0.0807997
1,1,0.9511854,0.048814595
1,1,0.87336874,0.12663126
1,1,0.9352931,0.06470692
0,1,0.50863266,0.49136734
0,0,0.15580125,0.84419876
1,0,0.15932274,0.84067726
0,0,0.09412951,0.9058705
0,0,0.2777277,0.7222723
1,1,0.5651469,0.43485308
0,0,0.21201509,0.7879849
0,0,0.39562654,0.60437346
1,0,0.32465288,0.6753471
0,0,0.13444881,0.8655512
0,0,0.079534285,0.9204657
0,1,0.5890594,0.4109406
0,0,0.1845763,0.8154237
1,1,0.82053965,0.17946035
1,0,0.36035615,0.63964385
1,1,0.9171477,0.082852304
1,1,0.8317701,0.16822988
1,1,0.85527366,0.14472634
0,0,0.29600358,0.7039964
0,0,0.30930614,0.69069386
1,1,0.9323845,0.06761551
1,1,0.95731384,0.042686164
1,1,0.9394251,0.06057489
0,0,0.09003767,0.9099623
0,0,0.28776667,0.7122333
1,1,0.84480214,0.15519786
0,0,0.23425558,0.76574445
1,1,0.9247483,0.0752517
0,0,0.17906715,0.82093287
0,0,0.20418178,0.7958182
0,0,0.13591175,0.86408824
0,0,0.04374389,0.9562561
1,0,0.2042044,0.7957956
0,0,0.07280038,0.9271996
0,0,0.25237802,0.747622
0,0,0.058036104,0.9419639
0,0,0.13841197,0.861588
1,1,0.6799286,0.3200714
1,1,0.87300396,0.12699604
0,0,0.4433658,0.5566342
0,0,0.081649505,0.9183505
1,1,0.95038724,0.04961276
0,0,0.15923226,0.84076774
0,0,0.31088755,0.6891124
0,1,0.582263,0.417737
1,0,0.25076997,0.74923
0,1,0.5825136,0.41748643
0,0,0.23343925,0.76656073
1,1,0.7507828,0.24921721
1,1,0.9614823,0.038517714
1,1,0.8199171,0.18008292
0,0,0.4467245,0.55327547
0,1,0.6817788,0.3182212
0,0,0.065760516,0.9342395
1,1,0.70892644,0.29107356
1,1,0.87103283,0.12896717
1,1,0.9223941,0.0776059
0,1,0.72856563,0.27143437
1,1,0.9183759,0.08162409
1,1,0.93647146,0.06352854
1,0,0.1783304,0.8216696
1,1,0.9661912,0.033808827
1,1,0.9116865,0.08831352
0,0,0.20389862,0.7961014
0,0,0.22930063,0.7706994
1,1,0.90133715,0.09866285
0,0,0.16329338,0.83670664
0,1,0.54524213,0.45475787
1,1,0.90856403,0.09143597
1,1,0.56085795,0.43914205
0,0,0.1911777,0.8088223
0,0,0.44522458,0.5547754
1,1,0.8261958,0.17380422
0,0,0.44349325,0.55650675
0,0,0.056897286,0.9431027
0,0,0.32627505,0.67372495
1,1,0.96429825,0.03570175
0,0,0.10307753,0.89692247
1,0,0.34990266,0.65009737
0,0,0.3894477,0.6105523
0,0,0.1582983,0.8417017
1,1,0.9674993,0.032500684
0,0,0.36468434,0.63531566
1,0,0.07033011,0.92966986
0,0,0.16361727,0.83638275
0,1,0.9145293,0.08547068
0,0,0.14510083,0.85489917
1,1,0.5926446,0.40735543
1,1,0.5186033,0.48139668
0,0,0.12226692,0.8777331
0,0,0.18280427,0.8171957
