y_true,y_pred,prob_positive,prob_negative
0,0,0.37554008,0.6244599
0,0,0.24049963,0.7595004
1,0,0.40966284,0.59033716
0,0,0.14748402,0.852516
1,0,0.18181975,0.81818026
0,0,0.13917038,0.8608296
0,1,0.7300238,0.2699762
0,0,0.24740112,0.7525989
0,0,0.3427424,0.65725756
1,0,0.26264033,0.73735964
1,1,0.9871056,0.012894392
1,0,0.24835579,0.7516442
1,0,0.45015955,0.54984045
1,1,0.97144735,0.028552651
1,1,0.8119363,0.18806368
0,0,0.4422566,0.55774343
0,0,0.20466861,0.79533136
1,1,0.93249047,0.06750953
0,1,0.90823233,0.09176767
1,1,0.90823007,0.09176993
0,0,0.26030907,0.7396909
1,1,0.7749442,0.22505581
1,1,0.520521,0.479479
1,1,0.52037334,0.47962666
1,1,0.52812487,0.47187513
1,1,0.7990506,0.20094937
1,1,0.98386866,0.016131341
1,1,0.9684424,0.03155762
0,0,0.43350896,0.566491
0,0,0.23847571,0.7615243
1,0,0.37847203,0.62152797
0,0,0.43091467,0.56908536
0,0,0.3290594,0.67094064
1,0,0.2841412,0.7158588
0,0,0.30026588,0.6997341
0,0,0.21705599,0.782944
1,0,0.16408794,0.83591205
0,0,0.1255031,0.87449694
0,0,0.18190654,0.8180935
0,0,0.37108222,0.6289178
0,0,0.34727615,0.65272385
1,1,0.7130881,0.2869119
1,1,0.7901646,0.20983541
1,1,0.89871013,0.10128987
1,0,0.38985637,0.61014366
1,1,0.5157648,0.48423523
0,0,0.31191227,0.6880877
0,0,0.31544015,0.6845598
1,1,0.91068906,0.089310944
1,1,0.9958592,0.0041407943
1,0,0.11557055,0.88442945
0,0,0.28952494,0.7104751
0,0,0.27805495,0.72194505
1,1,0.9022347,0.09776533
0,0,0.23656291,0.7634371
1,1,0.9623053,0.037694693
0,0,0.16454017,0.8354598
0,0,0.09861173,0.9013883
0,0,0.17430325,0.82569677
0,0,0.1121455,0.8878545
1,0,0.2338393,0.7661607
0,0,0.04903253,0.9509675
0,0,0.367485,0.632515
0,0,0.297817,0.702183
0,0,0.20900458,0.7909954
1,0,0.22928685,0.77071315
1,1,0.9881678,0.011832178
0,0,0.24494146,0.7550585
0,0,0.12386501,0.876135
1,1,0.8601242,0.13987583
0,0,0.06383208,0.9361679
0,1,0.58127064,0.41872936
0,0,0.19560248,0.8043975
1,1,0.69925356,0.30074644
0,0,0.45446196,0.54553807
0,0,0.44381267,0.55618733
1,1,0.9312025,0.06879753
1,1,0.93357676,0.06642324
1,1,0.78039944,0.21960056
0,0,0.28243586,0.7175641
0,1,0.5398473,0.4601527
0,0,0.04104813,0.9589519
1,1,0.83413476,0.16586524
1,0,0.44340175,0.55659825
1,0,0.3619573,0.6380427
0,1,0.5775937,0.42240632
1,1,0.93785095,0.062149048
1,1,0.8982587,0.101741314
1,0,0.29999638,0.7000036
1,1,0.9455565,0.05444348
1,1,0.7215134,0.2784866
0,0,0.47905487,0.52094513
0,0,0.37552118,0.6244788
1,0,0.33912298,0.660877
0,0,0.14128307,0.85871696
0,0,0.4792176,0.5207824
1,1,0.73926777,0.26073223
1,1,0.82535917,0.17464083
0,0,0.21008658,0.7899134
0,1,0.694573,0.305427
1,1,0.87623465,0.12376535
0,0,0.12548488,0.8745151
0,0,0.13268849,0.8673115
0,0,0.13921736,0.8607826
1,0,0.37959602,0.620404
0,0,0.11170355,0.8882964
1,0,0.37181568,0.6281843
0,1,0.574528,0.42547202
0,0,0.25451192,0.74548805
1,1,0.9771821,0.02281791
0,0,0.24431497,0.75568503
1,0,0.07668746,0.92331254
0,0,0.31236723,0.6876328
0,1,0.93218374,0.06781626
0,0,0.14101255,0.85898745
1,1,0.96854705,0.031452954
1,0,0.14181046,0.8581895
0,0,0.4728481,0.52715194
