y_true,y_pred,prob_positive,prob_negative
0,0,0.33479163,0.66520834
0,0,0.30463398,0.695366
1,1,0.5510305,0.44896948
0,0,0.21272719,0.7872728
1,0,0.16051142,0.83948857
0,0,0.2150252,0.7849748
0,0,0.3985111,0.6014889
0,0,0.28011233,0.7198877
0,0,0.2657552,0.7342448
1,0,0.2900517,0.7099483
1,1,0.8962771,0.10372287
1,0,0.14313138,0.8568686
1,1,0.62514734,0.37485266
1,1,0.74542993,0.25457007
1,0,0.3485073,0.6514927
0,0,0.19402938,0.8059706
0,0,0.2537197,0.7462803
1,0,0.3168912,0.6831088
0,1,0.76147944,0.23852056
1,1,0.76821345,0.23178655
0,0,0.07011795,0.92988205
1,1,0.8709893,0.12901068
1,1,0.8181582,0.18184179
1,1,0.6329901,0.36700988
1,1,0.8504237,0.1495763
1,1,0.9425784,0.057421625
1,1,0.89681,0.103190005
1,1,0.84987426,0.15012574
0,0,0.34205285,0.6579472
0,0,0.09117011,0.90882987
1,0,0.10618447,0.8938155
0,0,0.3189873,0.6810127
0,0,0.33679616,0.66320384
1,1,0.7422943,0.2577057
0,0,0.1385216,0.8614784
0,0,0.16101775,0.8389822
1,0,0.41346148,0.58653855
0,0,0.40224108,0.5977589
0,0,0.07330194,0.9266981
0,0,0.17312309,0.8268769
0,0,0.4902747,0.50972533
1,1,0.70828235,0.29171765
1,0,0.33388513,0.66611487
1,1,0.7006672,0.2993328
1,1,0.5692196,0.4307804
1,1,0.86667204,0.13332796
0,0,0.27304536,0.72695464
0,0,0.15130368,0.84869635
1,1,0.8952645,0.10473549
1,1,0.7961449,0.2038551
1,1,0.827145,0.17285502
0,0,0.30009055,0.69990945
0,0,0.36055705,0.6394429
1,1,0.57338715,0.42661285
0,0,0.18191083,0.8180892
1,1,0.9228858,0.077114224
0,0,0.26477495,0.7352251
0,0,0.33062112,0.6693789
0,0,0.3443337,0.6556663
0,0,0.3158067,0.6841933
1,0,0.15403269,0.8459673
0,0,0.20687933,0.7931207
0,0,0.20972799,0.790272
0,0,0.13458003,0.86542
0,0,0.25931737,0.7406826
1,1,0.675745,0.324255
1,1,0.9413516,0.058648407
0,0,0.49248174,0.5075183
0,0,0.15812178,0.84187824
1,1,0.63306624,0.36693376
0,0,0.05979847,0.9402015
0,0,0.4949415,0.5050585
0,0,0.24458502,0.75541496
1,0,0.17190045,0.82809955
0,0,0.46257058,0.53742945
0,0,0.2573174,0.7426826
1,1,0.78946877,0.21053123
1,1,0.9368103,0.063189685
1,1,0.8056887,0.19431132
0,0,0.16736817,0.8326318
0,0,0.16211438,0.8378856
0,0,0.079131,0.920869
1,1,0.7767311,0.22326893
1,1,0.6329726,0.3670274
1,1,0.86902833,0.13097167
0,0,0.4470492,0.5529508
1,1,0.9135352,0.08646482
1,1,0.8143776,0.1856224
1,0,0.3210082,0.6789918
1,1,0.66849583,0.33150417
1,1,0.6449848,0.35501522
0,0,0.31415755,0.68584245
0,0,0.1209354,0.8790646
1,1,0.76603085,0.23396915
0,0,0.44510853,0.55489147
0,0,0.3894638,0.6105362
1,1,0.9166361,0.08336389
1,1,0.726401,0.27359903
0,0,0.30973193,0.69026804
0,0,0.29093847,0.7090615
1,1,0.8608379,0.13916212
0,0,0.32129717,0.67870283
0,0,0.20534742,0.7946526
0,0,0.080407344,0.9195927
1,1,0.69705963,0.30294037
0,0,0.2716513,0.72834873
1,0,0.2035395,0.7964605
0,0,0.15277323,0.84722674
0,0,0.08326984,0.91673017
1,1,0.86344117,0.13655883
0,0,0.28126875,0.7187313
1,0,0.054213706,0.9457863
0,0,0.21141571,0.7885843
0,1,0.9282239,0.07177609
0,0,0.16783665,0.83216333
1,1,0.6654823,0.33451772
1,1,0.621179,0.37882102
0,1,0.53155774,0.46844226
0,0,0.41920134,0.5807986
1,1,0.8995013,0.10049868
0,0,0.15175319,0.8482468
1,1,0.9376101,0.06238991
0,0,0.29862514,0.7013749
1,0,0.23377307,0.76622695
1,1,0.72762626,0.27237374
0,1,0.62308544,0.37691456
0,0,0.16889772,0.83110225
0,0,0.13660955,0.86339045
0,0,0.155566,0.844434
0,0,0.2735444,0.72645557
0,0,0.35922453,0.64077544
0,1,0.8091594,0.1908406
1,1,0.90177757,0.098222435
0,0,0.35863042,0.6413696
0,0,0.16205548,0.8379445
0,0,0.15810789,0.8418921
0,0,0.4591059,0.5408941
1,1,0.8712458,0.1287542
1,0,0.26716977,0.7328302
0,0,0.2230028,0.7769972
1,1,0.78969204,0.21030796
0,1,0.6070939,0.39290613
0,0,0.35617507,0.64382493
0,0,0.08819624,0.9118038
0,1,0.8344148,0.16558522
0,0,0.11187836,0.88812166
0,1,0.59529984,0.40470016
0,1,0.85379094,0.14620906
0,0,0.19070536,0.80929464
0,1,0.88446486,0.11553514
0,0,0.1611193,0.8388807
1,0,0.30252677,0.6974732
0,1,0.5033968,0.4966032
1,0,0.27909973,0.7209003
0,1,0.5304668,0.4695332
0,0,0.34278116,0.6572188
1,1,0.8923919,0.10760808
1,1,0.65899384,0.34100616
1,1,0.96336097,0.036639035
1,1,0.9433076,0.05669242
0,0,0.42896646,0.57103354
0,0,0.10288712,0.8971129
0,0,0.4437079,0.55629206
0,0,0.116955295,0.8830447
1,1,0.9376384,0.062361598
0,1,0.967176,0.03282398
0,0,0.24500084,0.75499916
0,0,0.15891828,0.84108174
1,0,0.23322384,0.76677614
0,0,0.28389412,0.7161059
1,0,0.3045019,0.6954981
0,0,0.090668984,0.909331
0,0,0.28304434,0.71695566
0,0,0.23097116,0.76902884
1,0,0.14773975,0.85226023
0,0,0.4860378,0.5139622
0,0,0.14089452,0.85910547
0,0,0.4834129,0.51658714
0,0,0.49869236,0.5013076
0,0,0.3165493,0.6834507
0,0,0.26747388,0.7325261
0,0,0.10492865,0.8950713
1,1,0.58687544,0.41312456
0,0,0.37388712,0.6261129
1,0,0.08369379,0.9163062
1,1,0.8599352,0.14006478
0,0,0.29671136,0.7032887
1,1,0.7868996,0.21310037
0,0,0.21211787,0.78788215
0,1,0.75785434,0.24214566
1,1,0.8154095,0.18459052
1,1,0.9045553,0.09544468
0,0,0.22116278,0.7788372
1,1,0.8802086,0.11979139
1,1,0.875536,0.124463975
1,1,0.76678985,0.23321015
1,1,0.8327725,0.1672275
1,1,0.7486603,0.25133967
0,0,0.39979175,0.6002083
1,0,0.26143593,0.7385641
0,0,0.052621607,0.9473784
0,0,0.4033394,0.5966606
0,0,0.3531385,0.6468615
0,0,0.48159182,0.5184082
0,0,0.32985654,0.6701435
0,0,0.15897796,0.841022
1,0,0.23259547,0.76740456
1,1,0.74787456,0.25212544
0,0,0.09281662,0.9071834
1,1,0.6866814,0.3133186
0,1,0.61844045,0.38155955
0,0,0.13908674,0.8609133
0,0,0.43407792,0.5659221
0,0,0.19151965,0.8084804
0,0,0.29052627,0.7094737
1,1,0.89653355,0.10346645
0,0,0.20110494,0.79889506
0,0,0.055464704,0.9445353
1,0,0.38990054,0.61009943
0,0,0.13832241,0.8616776
0,0,0.4792201,0.5207799
1,1,0.8048053,0.19519472
0,1,0.6873407,0.31265932
0,0,0.12109475,0.87890524
0,1,0.6445941,0.35540593
1,0,0.23824775,0.76175225
0,1,0.52686214,0.47313786
0,0,0.26947162,0.73052835
0,0,0.0776175,0.9223825
0,1,0.8688572,0.1311428
1,1,0.83026046,0.16973954
0,0,0.22241694,0.77758306
1,1,0.8697094,0.13029063
1,1,0.7788636,0.22113639
0,1,0.5374628,0.46253723
0,0,0.38347158,0.6165284
0,0,0.18849906,0.8115009
0,0,0.18884532,0.81115466
1,1,0.92024255,0.07975745
1,1,0.78693205,0.21306795
0,1,0.51255095,0.48744905
0,0,0.39350998,0.60649
1,0,0.14178035,0.8582196
1,1,0.6250795,0.3749205
0,0,0.26854616,0.73145384
0,0,0.27602217,0.7239778
0,0,0.24062663,0.75937337
0,0,0.22122593,0.7787741
0,0,0.44443607,0.5555639
1,1,0.88215077,0.11784923
1,0,0.2171841,0.78281593
1,1,0.9344791,0.06552088
0,0,0.31385872,0.68614125
0,1,0.5233865,0.47661352
1,1,0.875309,0.12469101
0,0,0.29535854,0.70464146
0,1,0.70730454,0.29269546
1,1,0.8740408,0.12595922
1,0,0.37889344,0.62110656
0,1,0.89178956,0.108210444
0,0,0.23528482,0.7647152
1,0,0.31948233,0.6805177
0,0,0.3358123,0.66418767
0,0,0.19955754,0.80044246
0,1,0.5885375,0.4114625
1,0,0.16726793,0.8327321
0,0,0.114902265,0.88509774
1,1,0.83258444,0.16741556
0,0,0.42485267,0.57514733
1,0,0.29623735,0.70376265
1,0,0.2186754,0.7813246
0,0,0.2418373,0.75816274
0,0,0.38014525,0.61985475
1,1,0.70076495,0.29923505
1,1,0.92146075,0.07853925
0,0,0.19035202,0.809648
0,0,0.2318185,0.7681815
0,0,0.109612845,0.8903872
0,0,0.39367855,0.60632145
1,0,0.35451484,0.64548516
0,0,0.21479581,0.7852042
0,0,0.082488924,0.9175111
1,0,0.47828555,0.52171445
1,1,0.8479424,0.15205759
1,1,0.8924445,0.10755551
1,0,0.41694647,0.5830535
1,0,0.45795,0.54205
1,1,0.7320886,0.26791137
1,1,0.58842665,0.41157335
1,1,0.69550264,0.30449736
0,1,0.8307292,0.16927081
0,0,0.43931356,0.56068647
0,0,0.4365985,0.56340146
0,0,0.4571904,0.5428096
0,0,0.2013187,0.7986813
1,0,0.34171683,0.6582832
0,1,0.75402963,0.24597037
0,0,0.17295264,0.82704735
1,1,0.9395021,0.06049788
1,0,0.32187232,0.67812765
0,0,0.11932236,0.88067764
1,1,0.70061713,0.29938287
1,1,0.8129533,0.1870467
0,0,0.29203483,0.70796514
0,0,0.36135417,0.6386458
1,1,0.84339345,0.15660655
0,0,0.46478269,0.5352173
0,0,0.46575087,0.5342491
1,0,0.4875206,0.5124794
0,0,0.19189489,0.8081051
1,1,0.938047,0.06195301
1,1,0.84685904,0.15314096
0,0,0.167521,0.832479
1,1,0.93528116,0.06471884
0,0,0.28055537,0.71944463
0,0,0.09414915,0.9058508
1,0,0.4505344,0.5494656
0,1,0.60129917,0.39870083
0,0,0.20153548,0.79846454
0,0,0.14232711,0.85767287
1,1,0.75514835,0.24485165
0,0,0.24287182,0.7571282
1,0,0.23266655,0.76733345
0,0,0.16082701,0.83917296
0,0,0.09736144,0.90263855
0,0,0.18535979,0.8146402
0,0,0.10579976,0.89420027
1,1,0.7914249,0.20857513
0,0,0.12124582,0.8787542
1,1,0.763077,0.23692298
1,1,0.7824785,0.21752149
0,0,0.123815775,0.8761842
0,0,0.23732054,0.76267946
1,1,0.8951928,0.1048072
0,0,0.36468104,0.635319
0,0,0.43461463,0.56538534
1,0,0.29020014,0.7097999
1,1,0.80518335,0.19481665
0,0,0.15178508,0.8482149
0,0,0.29471397,0.705286
0,0,0.2476677,0.7523323
1,1,0.8887674,0.11123258
0,0,0.19623433,0.80376565
1,0,0.18260767,0.81739235
0,0,0.2690669,0.73093307
0,1,0.57720405,0.42279595
1,1,0.802019,0.197981
1,0,0.29484114,0.7051588
0,0,0.27063522,0.72936475
0,1,0.7130739,0.2869261
1,0,0.44841188,0.5515881
1,0,0.2568372,0.7431628
0,1,0.50129205,0.49870795
1,1,0.8748253,0.1251747
0,0,0.19934884,0.8006512
0,1,0.94560325,0.05439675
1,1,0.8532312,0.14676881
0,0,0.19038631,0.8096137
0,0,0.25667518,0.7433248
1,1,0.8149412,0.18505877
1,0,0.13493799,0.865062
1,0,0.050125185,0.9498748
0,0,0.06780239,0.93219763
1,1,0.8203363,0.17966372
0,0,0.21551453,0.78448546
1,1,0.82077163,0.17922837
0,0,0.18090169,0.8190983
1,1,0.8189987,0.1810013
1,1,0.69456136,0.30543864
0,0,0.25675693,0.7432431
0,0,0.31500614,0.68499386
0,0,0.13785662,0.8621434
0,0,0.40734017,0.59265983
0,0,0.39471427,0.60528576
1,1,0.83526224,0.16473776
0,0,0.10419089,0.8958091
0,0,0.31230387,0.6876961
1,0,0.3547833,0.6452167
1,1,0.96081924,0.039180756
1,1,0.95808935,0.04191065
1,0,0.097830884,0.9021691
1,0,0.17186576,0.82813424
0,0,0.47042114,0.52957886
0,0,0.2180572,0.7819428
0,0,0.14800633,0.8519937
1,0,0.28616846,0.71383154
0,0,0.26856223,0.7314378
0,0,0.42486563,0.5751344
0,0,0.21627022,0.7837298
0,0,0.39011022,0.60988975
0,1,0.68777573,0.31222427
0,0,0.2538887,0.7461113
1,1,0.91088194,0.08911806
1,1,0.72966695,0.27033305
1,1,0.8217942,0.17820579
1,1,0.89432925,0.10567075
0,0,0.09337404,0.906626
1,0,0.36252975,0.63747025
0,1,0.51113105,0.48886895
0,0,0.068673596,0.9313264
1,1,0.8679193,0.13208067
0,0,0.17316395,0.82683605
0,0,0.12573622,0.87426376
0,1,0.5467247,0.45327532
1,1,0.747781,0.25221902
0,0,0.45822,0.54178
1,1,0.90786684,0.092133164
0,0,0.21613675,0.78386325
1,0,0.13884397,0.86115605
0,1,0.8207293,0.17927068
0,0,0.38475943,0.6152406
0,1,0.6002306,0.39976943
0,0,0.29822227,0.7017777
0,0,0.055485077,0.94451493
1,1,0.8688399,0.13116008
0,0,0.13345791,0.8665421
0,1,0.5401694,0.45983058
1,1,0.82961476,0.17038524
1,1,0.676092,0.32390797
0,0,0.2368168,0.76318324
0,0,0.31982413,0.6801759
1,0,0.45883647,0.54116356
0,0,0.16980955,0.8301904
0,0,0.09689602,0.90310395
0,0,0.28493372,0.7150663
0,0,0.1940357,0.8059643
0,0,0.27766293,0.72233707
1,1,0.7637949,0.2362051
0,0,0.36997625,0.6300237
1,0,0.4254072,0.5745928
1,1,0.78746057,0.21253943
1,1,0.55779725,0.44220275
0,0,0.22611332,0.7738867
1,1,0.9074001,0.09259993
1,1,0.7299997,0.27000028
0,0,0.42498246,0.5750176
0,0,0.16936253,0.83063745
1,1,0.6727664,0.3272336
0,0,0.1563959,0.8436041
0,0,0.49374592,0.5062541
0,0,0.32054514,0.67945486
1,1,0.6842011,0.31579888
1,0,0.2144436,0.78555644
0,0,0.37093964,0.6290604
0,1,0.7951256,0.2048744
0,0,0.13324861,0.8667514
0,0,0.26940453,0.73059547
0,0,0.23987944,0.7601206
1,1,0.88414365,0.11585635
1,0,0.3230082,0.6769918
0,0,0.12683548,0.87316453
0,0,0.11855006,0.88144994
0,0,0.4075389,0.5924611
1,1,0.61782867,0.38217133
1,1,0.84854275,0.15145725
0,0,0.18865028,0.81134975
0,0,0.17080083,0.8291992
0,0,0.27092358,0.7290764
1,1,0.93666565,0.063334346
1,1,0.7481266,0.25187337
1,0,0.36576736,0.63423264
0,0,0.1522213,0.8477787
0,0,0.17673562,0.82326436
0,0,0.22540092,0.7745991
0,0,0.48033467,0.51966536
1,1,0.8013246,0.1986754
1,1,0.842711,0.15728903
0,1,0.52642953,0.47357047
1,1,0.8320564,0.1679436
1,1,0.6869329,0.31306708
0,0,0.14238134,0.8576187
0,0,0.2452633,0.7547367
1,1,0.87880826,0.12119174
0,0,0.39464128,0.6053587
0,0,0.16660683,0.83339316
0,0,0.2576322,0.7423678
0,0,0.24286447,0.7571355
1,1,0.7467996,0.2532004
1,1,0.9309153,0.069084704
1,0,0.17189996,0.8281
1,1,0.7065108,0.29348922
0,0,0.18394141,0.8160586
0,0,0.26861957,0.73138046
0,0,0.11130655,0.88869345
0,0,0.3430401,0.6569599
0,0,0.45936874,0.5406313
0,0,0.27143383,0.72856617
0,0,0.083927445,0.91607255
1,0,0.26854473,0.73145527
0,1,0.91114146,0.088858545
0,1,0.5174417,0.4825583
0,0,0.1552587,0.8447413
1,0,0.1483099,0.8516901
1,0,0.27133703,0.72866297
0,0,0.13381727,0.86618274
0,0,0.21718344,0.7828165
0,0,0.28938395,0.71061605
0,0,0.1111965,0.8888035
1,0,0.4064407,0.59355927
0,0,0.10974697,0.890253
0,0,0.2452054,0.7547946
0,0,0.21643507,0.7835649
0,0,0.09042667,0.9095733
0,1,0.582187,0.417813
1,1,0.89262587,0.10737413
1,1,0.9609476,0.039052427
1,1,0.7148688,0.28513122
1,0,0.3302737,0.6697263
0,0,0.2953034,0.7046966
0,0,0.11922786,0.8807721
0,0,0.3025269,0.6974731
0,0,0.30367607,0.69632393
0,0,0.1525689,0.84743106
1,0,0.14015803,0.85984194
0,0,0.21005824,0.7899418
0,0,0.43935046,0.5606495
0,0,0.3442442,0.65575576
1,0,0.18161543,0.8183846
1,1,0.8716754,0.12832463
1,1,0.73619807,0.26380193
0,1,0.8680258,0.13197422
1,1,0.8613197,0.13868028
0,0,0.33017215,0.6698278
0,0,0.16578028,0.8342197
0,0,0.31108776,0.6889123
1,1,0.77245873,0.22754127
1,0,0.31362814,0.68637186
0,1,0.7249773,0.2750227
0,0,0.095150724,0.9048493
1,1,0.77143407,0.22856593
0,0,0.16618976,0.8338102
0,0,0.3176663,0.6823337
1,1,0.92137754,0.07862246
0,0,0.2770653,0.7229347
0,0,0.17875704,0.8212429
0,0,0.121211715,0.8787883
0,1,0.5207556,0.4792444
0,0,0.16906786,0.83093214
0,0,0.15646896,0.843531
1,0,0.3710192,0.62898076
1,1,0.9093741,0.09062588
0,0,0.12211948,0.8778805
1,1,0.9309367,0.069063306
0,0,0.22733538,0.7726646
1,0,0.2561989,0.7438011
1,1,0.83576727,0.16423273
0,0,0.31763893,0.68236107
0,0,0.20250088,0.7974991
1,1,0.9037491,0.09625089
1,0,0.3036646,0.69633543
0,0,0.2029842,0.7970158
1,0,0.32075047,0.6792495
0,0,0.12487142,0.87512857
0,1,0.7214041,0.27859592
1,1,0.77593046,0.22406954
0,1,0.9134949,0.086505115
0,0,0.23730537,0.7626946
0,0,0.19330421,0.8066958
0,0,0.06619392,0.93380606
0,0,0.23814635,0.76185364
0,0,0.13077329,0.8692267
0,0,0.27728474,0.72271526
0,1,0.9095899,0.09041011
0,0,0.07387951,0.9261205
0,1,0.66356647,0.33643353
0,0,0.27459997,0.72540003
0,0,0.040120307,0.9598797
0,0,0.14317107,0.8568289
1,1,0.8673273,0.13267273
0,0,0.39476013,0.60523987
1,1,0.7247697,0.2752303
0,0,0.059999473,0.94000053
0,1,0.61278385,0.38721615
1,0,0.16194552,0.8380545
0,1,0.8620535,0.13794649
1,1,0.9314557,0.06854433
0,0,0.26292944,0.73707056
0,0,0.3002124,0.6997876
0,0,0.26297656,0.7370235
1,0,0.44589242,0.55410755
1,1,0.978032,0.021968007
0,0,0.22834688,0.7716531
1,0,0.36810842,0.6318916
1,1,0.9031074,0.096892595
1,1,0.73495585,0.26504415
1,1,0.6423812,0.3576188
0,0,0.20220815,0.79779184
1,0,0.26559862,0.73440135
1,1,0.9514086,0.048591375
1,1,0.8404312,0.15956879
1,1,0.787246,0.21275401
1,0,0.3786453,0.6213547
1,1,0.78840744,0.21159256
1,1,0.96474254,0.03525746
0,1,0.89248884,0.10751116
1,1,0.88144845,0.11855155
1,0,0.31542593,0.68457407
0,0,0.44382703,0.55617297
1,1,0.8798289,0.12017113
1,1,0.7211107,0.2788893
1,1,0.82458735,0.17541265
0,0,0.17752762,0.8224724
0,1,0.5250931,0.47490692
1,1,0.9179885,0.08201152
0,0,0.22775434,0.77224565
0,0,0.063874416,0.9361256
0,0,0.18312603,0.81687397
0,0,0.26903668,0.73096335
0,0,0.34228605,0.65771395
0,0,0.26651704,0.73348296
0,0,0.32548156,0.67451847
0,0,0.4474069,0.5525931
0,0,0.19911747,0.8008825
1,1,0.7024507,0.2975493
0,1,0.93561727,0.06438273
0,1,0.5968212,0.4031788
1,0,0.124581285,0.8754187
0,0,0.39658058,0.6034194
0,0,0.25486735,0.7451327
0,0,0.42073426,0.5792657
0,0,0.22016571,0.7798343
1,1,0.7025912,0.29740882
0,1,0.87739706,0.12260294
0,0,0.3286933,0.6713067
0,0,0.090842925,0.9091571
0,1,0.72054267,0.27945733
0,1,0.541182,0.45881802
1,0,0.2392952,0.7607048
