y_true,y_pred,prob_positive,prob_negative
0,0,0.12086359,0.87913644
0,0,0.108316764,0.8916832
1,0,0.24203624,0.7579638
0,0,0.128314,0.871686
1,0,0.42846432,0.5715357
0,0,0.42809093,0.57190907
0,1,0.6192298,0.3807702
0,0,0.35438994,0.6456101
0,0,0.31595868,0.6840413
1,0,0.070450366,0.92954963
1,1,0.9519153,0.048084676
1,1,0.68613994,0.31386006
1,1,0.88438934,0.11561066
1,1,0.84576654,0.15423346
1,1,0.631471,0.36852902
0,0,0.3383223,0.6616777
0,1,0.6162832,0.38371682
1,1,0.8758982,0.12410182
0,1,0.8773369,0.12266308
1,1,0.7882393,0.2117607
0,0,0.4345238,0.5654762
1,1,0.6089787,0.3910213
1,1,0.5331606,0.46683937
1,0,0.2672111,0.7327889
1,1,0.59798956,0.40201044
1,1,0.78359765,0.21640235
1,1,0.65212077,0.34787923
1,1,0.75632817,0.24367183
0,1,0.52493125,0.47506875
0,0,0.12402851,0.8759715
1,1,0.5794676,0.4205324
0,0,0.2959667,0.70403326
0,0,0.38195944,0.61804056
1,0,0.3970115,0.6029885
0,0,0.332583,0.667417
0,0,0.40139374,0.5986062
1,0,0.31187576,0.68812424
0,0,0.3309162,0.66908383
0,0,0.34869385,0.65130615
0,0,0.4074295,0.59257054
0,0,0.16191049,0.8380895
1,0,0.4810946,0.5189054
1,0,0.2981758,0.7018242
1,1,0.9619736,0.038026392
1,0,0.22260964,0.77739036
1,0,0.45468795,0.54531205
0,0,0.29752067,0.70247936
0,1,0.5250373,0.4749627
1,0,0.33771014,0.66228986
1,1,0.9784298,0.021570206
1,1,0.52740544,0.47259456
0,0,0.26711288,0.73288715
0,1,0.51494354,0.48505646
1,1,0.8325033,0.16749668
0,0,0.3172594,0.68274057
1,1,0.7582293,0.24177068
0,0,0.31541812,0.6845819
0,0,0.085260026,0.91473997
0,1,0.51914597,0.48085403
0,0,0.20018515,0.7998148
1,0,0.29018694,0.70981306
0,0,0.2663273,0.73367274
0,1,0.64634025,0.35365975
0,0,0.19485272,0.8051473
0,0,0.22557516,0.77442485
1,0,0.12319607,0.87680393
1,1,0.9545051,0.045494914
0,1,0.7195784,0.2804216
0,1,0.53563845,0.46436155
1,1,0.8730269,0.1269731
0,0,0.38703492,0.6129651
0,0,0.17110012,0.82889986
0,0,0.27989906,0.72010094
1,1,0.8176709,0.18232912
0,0,0.41244295,0.5875571
0,0,0.38537696,0.61462307
1,1,0.77127314,0.22872686
1,1,0.81170756,0.18829244
1,0,0.2890781,0.7109219
0,0,0.10718515,0.8928149
0,1,0.6025537,0.39744627
0,0,0.066819474,0.9331805
1,1,0.5238849,0.4761151
1,1,0.58399564,0.41600436
1,0,0.39223465,0.6077653
0,1,0.7614732,0.23852682
1,0,0.4771742,0.52282584
1,1,0.7469545,0.2530455
1,0,0.31209028,0.6879097
1,1,0.66220325,0.33779675
1,1,0.6174809,0.38251913
0,1,0.523551,0.476449
0,0,0.34268528,0.6573147
1,1,0.53135633,0.46864367
0,0,0.09596077,0.9040392
0,0,0.3350469,0.6649531
1,1,0.6393404,0.3606596
1,1,0.8060764,0.1939236
0,0,0.18316291,0.8168371
0,0,0.4129855,0.5870145
1,1,0.68833,0.31167
0,0,0.2730731,0.7269269
0,0,0.123994485,0.87600553
0,0,0.34081602,0.659184
1,0,0.48516065,0.51483935
0,0,0.062047943,0.93795204
1,1,0.5648449,0.4351551
0,1,0.5156004,0.48439962
0,0,0.16002455,0.8399755
1,1,0.8843968,0.11560321
0,0,0.2776858,0.72231424
1,0,0.10603534,0.89396465
0,0,0.33282432,0.66717565
0,0,0.17595191,0.8240481
0,0,0.13336013,0.86663985
1,1,0.7370442,0.26295578
1,1,0.519239,0.480761
0,0,0.28576684,0.71423316
0,0,0.27859354,0.72140646
1,0,0.44853714,0.5514629
0,0,0.3917849,0.6082151
1,1,0.58179146,0.41820854
0,0,0.10607437,0.8939256
1,0,0.19268194,0.8073181
1,1,0.77085733,0.22914267
0,1,0.50015837,0.49984163
0,0,0.3180965,0.6819035
0,1,0.505844,0.494156
0,1,0.5828283,0.41717172
0,0,0.12151897,0.87848103
0,0,0.46745056,0.53254944
0,0,0.49727315,0.50272685
1,0,0.254217,0.745783
0,0,0.16485868,0.8351413
0,0,0.19029014,0.80970985
0,0,0.4343946,0.5656054
0,0,0.46970683,0.53029317
1,1,0.7755663,0.22443372
1,1,0.54151374,0.45848626
0,0,0.25081643,0.74918354
1,1,0.6723404,0.3276596
0,0,0.38301468,0.6169853
0,0,0.36932296,0.63067704
0,1,0.5794496,0.4205504
0,1,0.85969234,0.14030766
0,0,0.13761133,0.8623887
0,0,0.24894659,0.7510534
0,1,0.7441423,0.2558577
0,0,0.21333563,0.78666437
0,0,0.23477341,0.7652266
0,0,0.15088207,0.84911793
1,0,0.20059821,0.79940176
0,0,0.2393732,0.7606268
1,0,0.24682063,0.7531794
0,0,0.11380721,0.8861928
0,1,0.5438426,0.4561574
1,1,0.88646525,0.11353475
1,1,0.5004802,0.49951982
1,1,0.8470624,0.15293759
1,1,0.9202612,0.079738796
0,0,0.35324353,0.6467565
0,0,0.37690577,0.6230942
0,0,0.26846638,0.73153365
0,0,0.29979628,0.7002037
1,0,0.29366216,0.7063378
0,0,0.48015603,0.51984394
0,0,0.36022335,0.63977665
0,1,0.51624024,0.48375976
1,0,0.42223054,0.57776946
0,0,0.30065998,0.69934
1,0,0.36103064,0.63896936
0,0,0.47209388,0.5279061
0,1,0.57456845,0.42543155
0,0,0.23686254,0.76313746
1,1,0.5546178,0.44538218
0,1,0.7540335,0.2459665
0,0,0.10059853,0.8994015
0,0,0.27239183,0.7276082
0,0,0.44475496,0.55524504
0,0,0.38072297,0.619277
0,0,0.143376,0.856624
0,1,0.61522347,0.38477653
1,0,0.34617007,0.65382993
0,0,0.33515388,0.6648461
1,0,0.31063128,0.6893687
1,1,0.9001559,0.0998441
0,0,0.33500525,0.6649947
1,0,0.41692466,0.58307534
0,0,0.38021123,0.61978877
0,1,0.6001429,0.3998571
1,1,0.73014444,0.26985556
1,1,0.84378207,0.15621793
0,0,0.27461126,0.72538877
1,1,0.7110821,0.2889179
1,0,0.10645194,0.8935481
1,1,0.61243266,0.38756734
1,0,0.15586843,0.8441316
1,1,0.64052624,0.35947376
0,0,0.20711105,0.79288894
1,0,0.17023215,0.8297678
0,0,0.1866128,0.8133872
0,1,0.632655,0.36734498
0,0,0.18120568,0.8187943
0,0,0.27233893,0.7276611
0,0,0.38417166,0.61582834
0,0,0.1595092,0.8404908
1,0,0.4228343,0.5771657
1,0,0.41240767,0.58759236
0,0,0.39510807,0.6048919
1,1,0.5154067,0.48459327
0,0,0.17555498,0.824445
0,0,0.36730394,0.63269603
0,0,0.27236912,0.72763085
0,0,0.19612499,0.803875
0,0,0.3456588,0.6543412
1,0,0.30519095,0.6948091
0,0,0.4733073,0.5266927
0,1,0.5687195,0.4312805
1,0,0.15044698,0.849553
0,0,0.25453728,0.7454627
0,1,0.6287033,0.3712967
1,1,0.6878478,0.3121522
0,1,0.78087664,0.21912336
0,0,0.43985525,0.5601448
0,0,0.14814141,0.8518586
1,1,0.6519292,0.3480708
0,0,0.35130683,0.6486932
0,0,0.19513652,0.80486345
0,1,0.62377256,0.37622744
0,0,0.32742387,0.6725761
1,0,0.39844367,0.6015563
0,0,0.10830359,0.8916964
1,1,0.7092369,0.29076308
1,0,0.34625825,0.6537417
0,1,0.5619039,0.4380961
0,0,0.35524026,0.6447598
0,0,0.2842008,0.7157992
0,0,0.20798464,0.7920154
1,1,0.5518956,0.44810438
1,1,0.7725615,0.22743851
0,1,0.53436375,0.46563625
0,0,0.39065233,0.6093477
1,0,0.40037397,0.59962606
1,0,0.22142237,0.7785776
0,0,0.2379913,0.76200867
0,0,0.12554766,0.87445235
0,0,0.103035845,0.89696413
0,0,0.16836147,0.8316385
0,0,0.2351316,0.7648684
1,1,0.6922811,0.30771887
1,0,0.25537348,0.7446265
1,1,0.6774748,0.3225252
0,0,0.244934,0.75506604
0,0,0.26228988,0.7377101
1,1,0.78571534,0.21428466
0,0,0.1656722,0.8343278
0,1,0.76994157,0.23005843
1,0,0.45005697,0.54994303
1,0,0.36432576,0.63567424
0,1,0.83893186,0.16106814
0,1,0.8405256,0.15947437
1,0,0.30707806,0.69292194
0,0,0.34204283,0.6579572
0,1,0.50691503,0.49308497
0,1,0.8212091,0.17879093
1,0,0.4003886,0.5996114
0,0,0.21569598,0.784304
1,0,0.38707322,0.6129268
0,0,0.1691898,0.8308102
1,0,0.4660751,0.53392494
1,1,0.52422416,0.47577584
0,1,0.5367577,0.4632423
0,1,0.66317,0.33683002
1,0,0.27583247,0.7241675
1,1,0.53866315,0.46133685
0,1,0.5158156,0.48418438
0,0,0.40637314,0.59362686
0,0,0.34032604,0.6596739
0,0,0.2863649,0.7136351
1,1,0.7879813,0.21201873
0,1,0.57623446,0.42376554
0,0,0.3146812,0.6853188
1,1,0.7284927,0.27150732
1,0,0.22014697,0.77985305
1,1,0.85934,0.14065999
1,1,0.98851645,0.01148355
1,1,0.5503664,0.4496336
1,0,0.49725497,0.50274503
1,1,0.55258286,0.44741714
1,1,0.74098754,0.25901246
0,1,0.7839258,0.21607423
0,1,0.54752076,0.45247924
0,0,0.1833805,0.8166195
0,0,0.46170205,0.53829795
0,0,0.16322441,0.8367756
1,0,0.3778345,0.6221655
0,1,0.85673225,0.14326775
0,0,0.17116688,0.8288331
1,1,0.6462184,0.35378158
1,0,0.21132682,0.78867316
0,0,0.40490204,0.59509796
1,1,0.75844884,0.24155116
1,0,0.33582973,0.66417027
0,0,0.21136154,0.7886385
0,0,0.06835239,0.9316476
1,1,0.70044386,0.29955614
0,1,0.7436047,0.25639528
0,0,0.32437128,0.6756287
1,0,0.0938169,0.9061831
0,0,0.16699935,0.83300066
1,0,0.23103695,0.76896304
1,1,0.83498245,0.16501755
