y_true,y_pred,prob_positive,prob_negative
0,0,0.17222752,0.8277725
0,0,0.10433349,0.8956665
1,0,0.42415282,0.57584715
0,0,0.052705567,0.9472944
1,0,0.4525574,0.54744256
0,0,0.4801836,0.5198164
0,0,0.340948,0.659052
0,0,0.25238827,0.74761176
0,0,0.2368143,0.7631857
1,0,0.14395064,0.85604936
1,1,0.8798384,0.12016159
1,0,0.36136633,0.63863367
1,0,0.45426556,0.5457344
1,1,0.9428421,0.057157874
1,1,0.6831713,0.31682873
0,1,0.5542493,0.4457507
0,1,0.51677555,0.48322445
1,1,0.5392629,0.4607371
0,1,0.65210843,0.34789157
1,1,0.9659364,0.034063578
0,0,0.17133406,0.828666
1,1,0.92886114,0.07113886
1,1,0.7217841,0.2782159
1,1,0.6859678,0.3140322
1,0,0.38117415,0.61882585
1,0,0.34226018,0.6577398
1,1,0.6939931,0.3060069
1,1,0.72912705,0.27087295
0,0,0.21981496,0.78018504
0,0,0.090589575,0.9094104
1,0,0.3797694,0.62023056
0,0,0.21888429,0.7811157
0,0,0.1601569,0.8398431
1,1,0.65668607,0.34331393
0,1,0.5442198,0.4557802
0,0,0.3663561,0.63364387
1,0,0.11114034,0.8888596
0,0,0.12997471,0.8700253
0,0,0.28682446,0.71317554
0,1,0.7819958,0.21800423
0,0,0.26936272,0.7306373
1,0,0.34517342,0.6548266
1,0,0.09801624,0.90198374
1,1,0.8240592,0.17594081
1,0,0.3904161,0.6095839
1,0,0.29976192,0.7002381
0,0,0.2367154,0.76328456
0,1,0.5266691,0.47333091
1,0,0.3452098,0.65479016
1,1,0.9388891,0.061110914
1,0,0.44791803,0.55208194
0,0,0.25412112,0.7458789
0,0,0.18529002,0.81470996
1,1,0.6290321,0.37096792
0,0,0.12785845,0.87214154
1,1,0.932615,0.06738502
0,0,0.041875523,0.95812446
0,0,0.14021215,0.8597878
0,0,0.32491782,0.6750822
0,0,0.23523779,0.7647622
1,1,0.53272945,0.46727055
0,0,0.14621869,0.85378134
0,0,0.27370083,0.72629917
0,0,0.12873197,0.87126803
0,1,0.73100877,0.26899123
1,0,0.34133443,0.65866554
1,1,0.90550095,0.09449905
0,1,0.58360267,0.41639733
0,0,0.2406671,0.7593329
1,1,0.8812193,0.11878067
0,0,0.3501307,0.6498693
0,0,0.27119124,0.72880876
0,0,0.47201872,0.5279813
1,1,0.8621085,0.13789147
0,0,0.22654003,0.77346
0,0,0.19824031,0.8017597
1,1,0.652307,0.34769303
1,1,0.9348353,0.065164685
1,1,0.8808184,0.11918157
0,0,0.20214747,0.7978525
0,0,0.2682116,0.7317884
0,0,0.21981928,0.7801807
1,1,0.6308779,0.3691221
1,0,0.46291628,0.53708375
1,1,0.5168969,0.4831031
0,0,0.4815608,0.5184392
1,1,0.9820774,0.01792258
1,1,0.9853425,0.014657497
1,0,0.16269481,0.8373052
1,1,0.73508936,0.26491064
1,1,0.8388098,0.16119021
0,1,0.80929124,0.19070876
0,0,0.36017227,0.6398277
1,1,0.5040945,0.49590552
0,0,0.09724048,0.90275955
0,1,0.6847311,0.31526887
1,0,0.22476713,0.77523285
1,0,0.2902322,0.7097678
0,0,0.1448684,0.8551316
0,0,0.49349624,0.50650376
1,1,0.59031737,0.40968263
0,0,0.31121573,0.68878424
0,0,0.19972704,0.80027294
0,0,0.43756574,0.56243426
1,0,0.34050754,0.6594925
0,0,0.11254303,0.88745695
1,1,0.6711809,0.3288191
0,0,0.2415304,0.7584696
0,0,0.28205824,0.71794176
1,1,0.8959906,0.10400939
0,0,0.33355397,0.66644603
1,0,0.15522273,0.8447773
0,0,0.44110063,0.5588994
0,0,0.32786325,0.6721368
0,0,0.09679446,0.9032055
1,1,0.83124626,0.16875374
1,0,0.21827514,0.7817249
0,0,0.3629814,0.63701856
0,0,0.4558288,0.5441712
1,0,0.24932703,0.75067294
0,0,0.39244714,0.6075529
1,1,0.7597739,0.24022609
0,0,0.18091577,0.8190842
1,0,0.11880131,0.8811987
1,0,0.22830565,0.77169436
0,0,0.4428841,0.5571159
0,0,0.299024,0.700976
0,0,0.27867928,0.72132075
0,1,0.5721744,0.42782563
0,0,0.11762778,0.8823722
0,0,0.12032255,0.8796775
0,0,0.29398048,0.7060195
1,1,0.5911762,0.4088238
0,0,0.20693885,0.79306114
0,0,0.16123565,0.83876437
0,0,0.4122111,0.58778894
0,1,0.56735194,0.43264806
1,1,0.6977816,0.30221838
1,1,0.6429593,0.3570407
0,0,0.1283148,0.8716852
1,1,0.73500377,0.26499623
0,0,0.3733841,0.6266159
0,0,0.33332407,0.6666759
0,0,0.18611622,0.8138838
0,1,0.96768624,0.032313764
0,0,0.34014323,0.6598568
0,1,0.5128188,0.4871812
0,1,0.753675,0.24632502
0,0,0.29698876,0.7030113
0,0,0.4467312,0.5532688
0,0,0.13065611,0.8693439
1,0,0.27234745,0.72765255
0,0,0.18788701,0.812113
1,1,0.6460722,0.3539278
0,0,0.37010664,0.62989336
0,1,0.66679037,0.33320963
1,1,0.8677095,0.13229048
1,1,0.56177735,0.43822265
1,1,0.8730529,0.1269471
1,1,0.91103107,0.08896893
0,0,0.31483388,0.6851661
0,0,0.30858758,0.69141245
0,0,0.12797517,0.87202483
0,0,0.117991544,0.88200843
1,0,0.36873806,0.63126194
0,1,0.8140808,0.18591923
0,0,0.35018364,0.6498164
0,1,0.68804175,0.31195825
1,0,0.46071446,0.53928554
0,0,0.2588756,0.7411244
1,0,0.24145852,0.75854146
0,0,0.38606417,0.6139358
0,0,0.17581487,0.82418513
0,0,0.34023637,0.65976363
1,0,0.40315604,0.59684396
0,0,0.4385929,0.5614071
0,0,0.07808874,0.92191124
0,0,0.19615658,0.80384344
0,1,0.602434,0.39756602
0,0,0.16753146,0.8324685
0,0,0.23190318,0.7680968
0,0,0.20110412,0.7988959
1,0,0.2695781,0.7304219
0,0,0.21273644,0.7872636
1,1,0.55877316,0.44122684
1,1,0.5253685,0.4746315
0,0,0.2553485,0.7446515
1,0,0.36938348,0.63061655
0,0,0.43679327,0.56320673
0,1,0.75117207,0.24882793
1,0,0.4278214,0.5721786
1,1,0.70390975,0.29609025
0,0,0.17439562,0.8256044
1,1,0.7099033,0.2900967
1,0,0.16627741,0.8337226
1,1,0.72283703,0.27716297
1,0,0.10530857,0.8946914
1,1,0.973512,0.026488006
0,0,0.22213824,0.7778618
1,0,0.480702,0.51929796
0,0,0.07043249,0.9295675
0,0,0.13307473,0.86692524
0,0,0.15082082,0.84917915
0,0,0.23546642,0.7645336
0,0,0.49166435,0.50833565
0,0,0.35282958,0.6471704
1,0,0.22377896,0.77622104
1,0,0.4850077,0.5149923
0,0,0.16551659,0.8344834
1,0,0.106125265,0.89387476
0,0,0.23766708,0.7623329
0,1,0.6603192,0.3396808
0,0,0.19281238,0.8071876
0,0,0.44440064,0.55559933
0,1,0.6048092,0.39519078
1,0,0.43628046,0.5637195
0,0,0.42145482,0.5785452
0,0,0.4198592,0.5801408
1,0,0.14930603,0.85069394
0,0,0.42585942,0.57414055
0,0,0.2478601,0.7521399
1,0,0.31384277,0.6861572
0,1,0.7428455,0.25715452
0,0,0.19150753,0.8084925
0,0,0.17476663,0.82523334
1,1,0.7393465,0.2606535
0,1,0.639095,0.360905
0,0,0.096654095,0.9033459
0,0,0.36901543,0.63098454
0,1,0.793821,0.20617902
1,0,0.45303628,0.5469637
0,0,0.060546625,0.93945336
1,1,0.7328944,0.26710558
1,0,0.36767474,0.6323253
0,0,0.19560604,0.80439395
0,1,0.52610993,0.47389007
0,0,0.36740634,0.63259363
0,0,0.277647,0.722353
1,1,0.9515025,0.048497498
1,0,0.1235286,0.8764714
0,0,0.07853636,0.9214636
0,0,0.20353945,0.79646057
1,0,0.38788554,0.6121144
1,1,0.6596662,0.34033382
0,0,0.32483494,0.67516506
0,0,0.15495172,0.8450483
0,0,0.12248482,0.8775152
0,0,0.38211322,0.6178868
0,0,0.46476322,0.5352368
1,1,0.5821579,0.4178421
1,0,0.2447481,0.7552519
1,1,0.797373,0.202627
0,0,0.11134959,0.8886504
0,0,0.115872666,0.8841273
1,1,0.87852854,0.121471465
0,0,0.3713889,0.6286111
0,1,0.65836567,0.34163433
1,1,0.6881312,0.3118688
