y_true,y_pred,prob_positive,prob_negative
0,0,0.23705322,0.7629468
0,0,0.19756721,0.8024328
1,0,0.4369663,0.5630337
0,0,0.10809157,0.8919084
1,0,0.15828729,0.8417127
0,0,0.33881652,0.6611835
0,0,0.36404458,0.63595545
0,0,0.082870804,0.9171292
0,0,0.35986412,0.6401359
1,0,0.12817347,0.8718265
1,1,0.7098437,0.2901563
1,0,0.25378725,0.7462127
1,1,0.76677966,0.23322034
1,1,0.89918315,0.100816846
1,1,0.56113565,0.43886435
0,0,0.44114107,0.55885893
0,0,0.30257484,0.6974251
1,1,0.9468326,0.053167403
0,1,0.8067891,0.1932109
1,1,0.8439963,0.15600371
0,0,0.1531918,0.8468082
1,1,0.9428301,0.057169914
1,0,0.48386943,0.51613057
1,0,0.1232775,0.8767225
1,1,0.8621443,0.13785571
1,1,0.90302664,0.09697336
1,1,0.6270399,0.3729601
1,1,0.92855245,0.07144755
0,1,0.5846474,0.41535258
0,0,0.10619404,0.893806
1,0,0.19162135,0.80837864
0,0,0.07643129,0.9235687
0,1,0.5301047,0.4698953
1,0,0.29188854,0.70811146
0,0,0.19639207,0.80360794
0,0,0.35122296,0.648777
1,0,0.4423593,0.5576407
0,0,0.13074328,0.86925673
0,0,0.11076715,0.8892329
0,0,0.33658805,0.663412
0,0,0.084722444,0.91527754
1,1,0.7944797,0.20552027
1,0,0.43294525,0.56705475
1,1,0.7880423,0.2119577
1,1,0.6205216,0.3794784
1,0,0.34462136,0.65537864
0,0,0.42247748,0.5775225
0,0,0.35119763,0.6488024
1,1,0.8301112,0.1698888
1,1,0.8391742,0.16082579
1,0,0.18150876,0.8184912
0,0,0.2704161,0.72958386
0,0,0.34834692,0.65165305
1,1,0.89228874,0.107711256
0,0,0.39166737,0.60833263
1,1,0.88005006,0.11994994
0,0,0.18002525,0.8199748
0,0,0.24349417,0.75650585
0,0,0.09485669,0.9051433
0,0,0.12341738,0.8765826
1,0,0.13202488,0.8679751
0,0,0.15822521,0.8417748
0,0,0.27887884,0.7211212
0,0,0.06243624,0.9375638
0,0,0.24142537,0.7585746
1,1,0.5645323,0.43546772
1,1,0.800644,0.19935602
0,0,0.24579196,0.754208
0,0,0.13978003,0.86021996
1,1,0.8398315,0.16016853
0,0,0.07392468,0.92607534
0,0,0.27357864,0.72642136
0,0,0.46756595,0.53243405
1,0,0.35444725,0.64555275
0,1,0.7425108,0.2574892
0,0,0.23309757,0.76690245
1,1,0.7120401,0.28795987
1,1,0.9330175,0.06698251
1,1,0.6587056,0.3412944
0,1,0.5016778,0.4983222
0,1,0.6038949,0.3961051
0,0,0.049142864,0.95085716
1,1,0.8518923,0.14810771
1,1,0.8418411,0.1581589
1,1,0.94689626,0.053103745
0,1,0.86527824,0.13472176
1,1,0.9394057,0.06059432
1,1,0.90402853,0.095971465
1,0,0.2797448,0.7202552
1,1,0.9239287,0.07607132
1,1,0.92191064,0.07808936
0,0,0.3175732,0.6824268
0,0,0.062274415,0.9377256
1,1,0.79392445,0.20607555
0,0,0.105949506,0.8940505
0,0,0.35380363,0.64619637
1,1,0.8991057,0.10089427
1,1,0.5140968,0.4859032
0,0,0.2355954,0.7644046
0,0,0.43199337,0.56800663
1,1,0.6683125,0.3316875
0,1,0.6236516,0.37634838
0,0,0.099824525,0.90017545
0,0,0.49725133,0.50274867
1,1,0.91183186,0.088168144
0,0,0.07218302,0.927817
1,0,0.25115696,0.7488431
0,0,0.31679627,0.6832037
0,0,0.27404046,0.72595954
1,1,0.8760822,0.12391782
0,0,0.2058813,0.7941187
1,0,0.15208171,0.8479183
0,0,0.30023465,0.6997653
0,1,0.9177865,0.08221352
0,0,0.16773659,0.8322634
1,1,0.67471015,0.32528985
1,0,0.35951173,0.64048827
0,0,0.20682617,0.79317385
0,0,0.44385767,0.55614233
1,0,0.34618083,0.6538192
0,0,0.32082608,0.67917395
1,1,0.8407457,0.15925431
0,0,0.04092749,0.95907253
1,0,0.368486,0.631514
1,0,0.34547618,0.65452385
0,1,0.5535936,0.44640642
0,0,0.23679487,0.7632051
0,0,0.28184167,0.71815836
0,0,0.47080427,0.5291957
0,0,0.10290985,0.89709014
0,0,0.31244314,0.68755686
0,1,0.586314,0.41368598
1,1,0.6425902,0.35740978
0,0,0.3004661,0.69953394
0,0,0.24058925,0.75941074
0,0,0.3833866,0.6166134
0,0,0.46012908,0.5398709
1,1,0.84617716,0.15382284
1,0,0.22128752,0.7787125
0,0,0.10319791,0.89680207
1,1,0.6079325,0.3920675
0,0,0.48470718,0.5152928
0,1,0.5217993,0.47820067
0,0,0.38537896,0.61462104
0,1,0.9218752,0.07812482
0,0,0.14879496,0.85120505
0,0,0.23855345,0.76144654
0,1,0.77856934,0.22143066
0,0,0.17033081,0.8296692
0,1,0.5376586,0.46234143
0,0,0.21456234,0.78543764
1,0,0.4396193,0.5603807
0,0,0.26425624,0.73574376
1,0,0.25526702,0.744733
0,0,0.20029292,0.79970706
0,0,0.32635134,0.67364866
1,1,0.8781364,0.1218636
1,0,0.48968673,0.5103133
1,1,0.88433695,0.11566305
1,1,0.84506834,0.15493166
0,0,0.23893312,0.7610669
0,0,0.41219288,0.5878071
0,0,0.21366274,0.78633726
0,0,0.10973342,0.8902666
1,1,0.9502336,0.04976642
0,1,0.7314355,0.26856452
0,0,0.28976426,0.7102357
0,0,0.17871188,0.8212881
1,0,0.38273948,0.6172605
0,0,0.3301511,0.6698489
